"year","month","T_ID","VS_T_ID","TB_SC","P_ID","BAT_ORDER_NO","PA","AB","RBI","RUN","HIT","H2","H3","HR","SB","CS","SH","SF","BB","IB","HP","KK","GD","ERR","LOB","P_AB_CN","P_HIT_CN"
2017,3,"HH","OB","T",61700,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2017,3,"OB","HH","B",62234,6,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2017,3,"HH","OB","T",62768,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"HH","OB","T",64086,9,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2017,3,"OB","HH","B",66209,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,3,"OB","HH","B",66244,3,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2017,3,"HH","OB","T",66702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,3,"HH","OB","T",66740,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2017,3,"HH","OB","T",71347,2,4,3,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0
2017,3,"HH","OB","T",71752,3,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0
2017,3,"HH","OB","T",73602,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"HH","OB","T",73725,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"OB","HH","B",74206,9,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0
2017,3,"HH","OB","T",74729,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2017,3,"OB","HH","B",75334,6,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,3,"HH","OB","T",75808,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"OB","HH","B",76232,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2017,3,"OB","HH","B",76249,1,4,3,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0
2017,3,"HH","OB","T",76753,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,3,"OB","HH","B",77248,2,4,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0
2017,3,"HH","OB","T",77464,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2017,3,"OB","HH","B",78224,4,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2017,3,"OB","HH","B",79215,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"OB","HH","B",79240,8,3,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
2017,3,"HH","OB","T",98144,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2017,3,"SS","HT","B",60456,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"HT","SS","T",60648,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"SS","HT","B",61104,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"SS","HT","B",61404,2,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2017,3,"SS","HT","B",62404,3,4,4,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2017,3,"SS","HT","B",62415,1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2017,3,"HT","SS","T",63634,8,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2017,3,"HT","SS","T",63704,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,3,"HT","SS","T",63722,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"SS","HT","B",64610,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,3,"SS","HT","B",67450,4,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
2017,3,"HT","SS","T",67650,1,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2017,3,"HT","SS","T",70410,3,5,4,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2017,3,"HT","SS","T",70756,6,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,3,"HT","SS","T",72443,4,5,4,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1
2017,3,"SS","HT","B",72466,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,3,"HT","SS","T",72559,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,3,"HT","SS","T",73606,2,5,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017,3,"HT","SS","T",74605,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"SS","HT","B",75566,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"HT","SS","T",77648,6,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2017,3,"SS","HT","B",78454,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,3,"HT","SS","T",78603,9,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
2017,3,"HT","SS","T",78629,5,5,3,5,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,1,2,1
2017,3,"SS","HT","B",79456,7,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2017,3,"SS","HT","B",79465,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,3,"SS","HT","B",95436,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2017,3,"KT","SK","T",60343,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
2017,3,"SK","KT","B",61869,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,3,"SK","KT","B",62802,9,4,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,3,"SK","KT","B",62895,7,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"KT","SK","T",64006,9,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2017,3,"SK","KT","B",66838,6,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2017,3,"KT","SK","T",67005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"KT","SK","T",67024,4,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0
2017,3,"KT","SK","T",70553,8,4,4,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,3,"SK","KT","B",71837,1,4,4,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,1
2017,3,"KT","SK","T",73113,5,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2017,3,"KT","SK","T",73153,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
2017,3,"KT","SK","T",74339,3,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
2017,3,"SK","KT","B",74846,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,3,"SK","KT","B",75151,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0
2017,3,"SK","KT","B",75847,3,4,3,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
2017,3,"SK","KT","B",76802,2,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
2017,3,"SK","KT","B",76812,8,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"KT","SK","T",78517,2,4,4,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2017,3,"KT","SK","T",99810,6,4,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0
2017,3,"WO","LG","B",61353,7,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
2017,3,"WO","LG","B",62332,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"WO","LG","B",62353,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2017,3,"LG","WO","T",63077,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,3,"LG","WO","T",63913,6,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,3,"LG","WO","T",64153,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,3,"WO","LG","B",64300,8,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2017,3,"LG","WO","T",65103,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2017,3,"WO","LG","B",65399,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,3,"WO","LG","B",66306,5,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"WO","LG","B",67341,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,"LG","WO","T",71842,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2017,3,"LG","WO","T",72133,3,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
