"","year","P_ID","PA","AB","HIT","H2","H3","HR","SB","CS","SF","BB","HP","KK","GD"
"1",2016,60404,12,12,2,0,0,0,0,0,0,0,0,3,0
"2",2016,60667,10,9,3,1,0,0,0,0,0,1,0,5,1
"3",2016,60757,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2016,60805,1,0,0,0,0,0,0,0,0,1,0,0,0
"5",2016,61700,36,31,6,1,0,1,0,0,0,4,1,7,3
"6",2016,62700,67,61,17,4,0,2,0,2,0,2,2,15,0
"7",2016,62797,3,3,1,0,0,0,0,0,0,0,0,2,0
"8",2016,64086,78,69,18,5,0,3,0,1,0,5,1,25,2
"9",2016,66740,80,75,23,5,0,1,0,1,0,3,1,24,2
"10",2016,71347,36,32,6,1,1,0,0,0,0,2,0,8,1
"11",2016,71610,56,45,13,2,0,1,2,0,1,8,0,13,1
"12",2016,71752,101,85,25,5,0,1,0,0,1,15,0,15,2
"13",2016,73136,71,67,17,2,1,0,0,0,0,1,2,18,1
"14",2016,73602,53,46,12,2,0,0,0,0,1,4,0,8,2
"15",2016,73750,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2016,74163,67,55,12,2,0,0,3,0,0,9,1,2,1
"17",2016,74729,65,52,19,1,0,1,0,0,0,10,2,10,1
"18",2016,74731,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2016,74857,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2016,75808,99,88,26,5,0,3,3,1,0,8,2,9,3
"21",2016,76746,1,0,0,0,0,0,0,0,0,0,1,0,0
"22",2016,76753,23,21,7,0,0,1,0,0,1,1,0,4,0
"23",2016,77243,5,5,0,0,0,0,0,0,0,0,0,1,0
"24",2016,78745,8,8,0,0,0,0,0,0,0,0,0,2,2
"25",2016,78756,9,7,0,0,0,0,0,0,0,2,0,1,0
"26",2016,95158,7,6,1,0,0,0,0,0,0,0,1,2,0
"27",2016,98144,24,20,2,0,0,0,0,0,0,0,1,7,0
"28",2016,99737,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2016,61643,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2016,61666,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2016,61743,34,31,8,1,2,0,0,1,0,2,0,8,1
"32",2016,62668,11,10,3,0,0,1,0,0,0,0,0,5,0
"33",2016,63634,17,16,5,2,0,0,0,0,0,1,0,6,0
