"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","RBI","BB","HP","KK","GD","AVG","PA","SB","CS","SF"
2020,7,65207,"LG",2,2,0,0,0,3,0,0,0,0,1,2,0,1,0
2020,7,69992,"NC",2,2,2,0,0,1,0,0,0,0,1,2,0,0,0
2020,7,50066,"KT",1,1,0,0,1,1,0,0,0,0,1,1,0,0,0
2020,7,61554,"HH",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2020,7,78603,"HT",17,12,3,0,0,4,1,1,1,0,0.706,20,0,0,1
2020,7,66606,"HT",5,3,0,0,0,3,0,0,0,0,0.6,5,0,0,0
2020,7,64407,"SS",12,7,1,0,0,3,2,1,1,0,0.583,15,0,0,0
2020,7,68204,"OB",2,1,0,0,0,0,1,0,1,0,0.5,3,0,0,0
2020,7,67207,"OB",6,3,0,0,0,1,0,0,0,0,0.5,7,2,0,1
2020,7,79240,"OB",83,41,5,0,0,12,6,2,5,2,0.494,92,6,3,1
2020,7,68912,"NC",7,3,0,0,0,2,0,0,1,0,0.429,7,0,0,0
2020,7,67025,"KT",85,35,10,0,8,20,11,1,24,3,0.412,97,0,0,0
2020,7,61208,"HH",25,10,5,0,1,4,6,0,3,1,0.4,32,2,1,1
2020,7,62404,"SS",75,29,4,0,2,13,9,1,19,0,0.387,85,3,3,0
2020,7,79402,"SS",78,30,4,1,3,11,15,0,4,4,0.385,93,2,1,0
2020,7,74540,"SS",69,26,5,0,5,18,7,0,10,2,0.377,76,0,0,0
2020,7,77463,"SK",64,24,1,0,4,15,10,0,12,1,0.375,74,0,0,0
2020,7,77564,"LG",32,12,2,0,2,12,3,0,3,1,0.375,35,0,0,0
2020,7,50150,"LG",8,3,1,0,0,1,0,0,2,0,0.375,8,1,0,0
2020,7,74465,"NC",67,25,5,0,4,16,9,0,8,1,0.373,77,0,0,1
2020,7,62244,"OB",54,20,2,0,1,13,4,2,3,1,0.37,63,1,1,3
2020,7,76313,"KT",98,36,8,0,6,16,6,0,14,2,0.367,104,0,1,0
2020,7,62864,"HT",30,11,1,1,0,6,2,0,5,0,0.367,32,0,0,0
2020,7,79456,"WO",52,19,2,0,0,3,3,1,4,2,0.365,57,0,0,1
2020,7,75847,"SK",72,26,6,0,9,22,12,3,13,0,0.361,89,2,0,2
2020,7,64004,"KT",25,9,1,0,0,2,3,0,4,0,0.36,29,1,0,1
2020,7,50350,"WO",14,5,2,0,1,5,0,1,2,1,0.357,15,0,0,0
2020,7,61743,"SK",56,20,6,0,2,8,5,1,14,0,0.357,62,0,1,0
2020,7,64560,"HT",71,25,6,1,0,6,8,1,14,1,0.352,80,0,1,0
2020,7,76290,"LG",91,32,5,0,9,29,14,0,10,3,0.352,106,0,1,1
2020,7,64166,"KT",81,28,2,0,5,13,10,1,27,0,0.346,93,8,4,1
2020,7,77532,"LT",84,29,6,0,0,10,9,1,14,0,0.345,96,2,0,2
2020,7,62907,"NC",71,24,3,0,0,6,6,0,10,1,0.338,78,3,2,1
2020,7,79109,"LG",95,32,7,1,5,20,4,1,17,0,0.337,101,4,0,1
2020,7,50202,"OB",6,2,0,0,0,2,0,0,1,0,0.333,7,1,0,1
2020,7,64300,"WO",93,31,3,0,7,24,13,1,10,2,0.333,110,4,0,3
2020,7,66917,"NC",12,4,1,0,0,2,0,0,2,0,0.333,15,1,1,3
2020,7,63634,"KT",3,1,0,0,0,0,0,0,1,0,0.333,3,0,0,0
2020,7,78643,"HT",12,4,0,0,2,4,4,0,3,0,0.333,17,0,0,1
2020,7,61566,"LT",9,3,0,0,0,3,1,0,1,0,0.333,10,0,0,0
2020,7,75334,"OB",97,32,7,0,1,15,6,0,11,2,0.33,104,0,0,1
2020,7,69209,"OB",91,30,3,0,7,20,11,4,6,1,0.33,106,0,0,0
2020,7,72443,"HT",88,29,7,0,2,15,9,3,17,3,0.33,100,0,0,0
2020,7,62415,"SS",85,28,3,2,1,10,7,1,13,3,0.329,95,5,6,2
2020,7,62947,"NC",73,24,5,1,5,12,7,1,20,1,0.329,82,0,0,1
2020,7,60523,"LT",92,30,6,0,4,20,10,2,23,0,0.326,104,3,1,0
2020,7,78629,"HT",83,27,3,0,3,20,10,5,10,1,0.325,99,0,0,1
2020,7,50506,"LT",77,25,4,0,2,13,9,0,6,4,0.325,87,1,0,1
2020,7,78224,"OB",87,28,5,0,3,16,12,0,24,3,0.322,100,1,0,1
2020,7,76267,"OB",84,27,3,1,2,16,6,2,15,2,0.321,92,1,1,0
2020,7,67341,"WO",94,30,6,1,5,22,9,0,8,2,0.319,105,3,1,2
2020,7,50357,"WO",19,6,2,0,0,1,0,0,7,0,0.316,19,0,1,0
2020,7,74215,"SK",32,10,1,0,3,9,2,0,3,0,0.313,35,0,0,1
2020,7,79231,"OB",68,21,2,2,1,6,6,1,6,1,0.309,77,3,0,2
2020,7,62356,"WO",13,4,1,0,0,1,1,0,2,0,0.308,14,0,0,0
2020,7,66113,"LG",39,12,2,0,2,5,4,0,5,0,0.308,43,0,0,0
2020,7,62925,"NC",78,24,3,0,1,12,3,0,6,2,0.308,81,1,0,0
2020,7,50054,"KT",13,4,0,0,0,1,1,0,1,0,0.308,14,0,1,0
2020,7,74339,"KT",72,22,4,0,1,12,5,0,10,1,0.306,77,0,0,0
2020,7,64657,"WO",56,17,2,0,0,4,18,3,17,2,0.304,77,1,0,0
2020,7,76232,"NC",63,19,2,0,3,15,8,3,11,0,0.302,74,0,0,0
2020,7,75566,"SS",64,19,1,0,3,21,15,1,10,1,0.297,85,0,1,5
2020,7,62700,"HH",71,21,3,0,0,7,3,0,13,0,0.296,75,1,1,1
2020,7,61186,"LG",51,15,2,0,0,7,8,3,6,0,0.294,63,1,0,1
2020,7,79150,"LG",68,20,3,3,0,9,7,0,8,0,0.294,76,3,3,1
2020,7,62934,"NC",34,10,1,0,2,6,0,1,5,0,0.294,35,5,2,0
2020,7,68525,"LT",68,20,3,0,7,22,7,1,16,4,0.294,79,0,0,3
2020,7,71564,"LT",82,24,6,0,2,13,8,0,9,4,0.293,91,0,0,1
2020,7,64868,"KT",62,18,0,0,0,3,9,1,17,0,0.29,72,4,2,0
2020,7,78548,"KT",59,17,2,0,3,17,8,0,7,1,0.288,69,0,0,2
2020,7,79608,"LT",80,23,4,0,1,6,5,2,8,3,0.288,90,3,0,3
