"","year","P_ID","PA","AB","BB","HP","HIT","HR","KK"
"1",2016,60404,12,12,0,0,2,0,3
"2",2016,60667,10,9,1,0,3,0,5
"3",2016,60757,0,0,0,0,0,0,0
"4",2016,60805,1,0,1,0,0,0,0
"5",2016,61700,36,31,4,1,6,1,7
"6",2016,62700,67,61,2,2,17,2,15
"7",2016,62797,3,3,0,0,1,0,2
"8",2016,64086,78,69,5,1,18,3,25
"9",2016,66740,80,75,3,1,23,1,24
"10",2016,71347,36,32,2,0,6,0,8
"11",2016,71610,56,45,8,0,13,1,13
"12",2016,71752,101,85,15,0,25,1,15
"13",2016,73136,71,67,1,2,17,0,18
"14",2016,73602,53,46,4,0,12,0,8
"15",2016,73750,0,0,0,0,0,0,0
"16",2016,74163,67,55,9,1,12,0,2
"17",2016,74729,65,52,10,2,19,1,10
"18",2016,74731,0,0,0,0,0,0,0
"19",2016,74857,0,0,0,0,0,0,0
"20",2016,75808,99,88,8,2,26,3,9
"21",2016,76746,1,0,0,1,0,0,0
"22",2016,76753,23,21,1,0,7,1,4
"23",2016,77243,5,5,0,0,0,0,1
"24",2016,78745,8,8,0,0,0,0,2
"25",2016,78756,9,7,2,0,0,0,1
"26",2016,95158,7,6,0,1,1,0,2
"27",2016,98144,24,20,0,1,2,0,7
"28",2016,99737,0,0,0,0,0,0,0
"29",2016,61643,0,0,0,0,0,0,0
"30",2016,61666,0,0,0,0,0,0,0
"31",2016,61743,34,31,2,0,8,0,8
"32",2016,62668,11,10,0,0,3,1,5
"33",2016,63634,17,16,1,0,5,0,6
"34",2016,63636,2,2,0,0,1,0,0
"35",2016,63704,55,48,5,0,16,1,15
"36",2016,64610,13,13,0,0,3,0,2
"37",2016,64646,5,5,0,0,0,0,1
"38",2016,64699,83,77,6,0,27,3,11
"39",2016,65653,8,8,0,0,3,0,3
"40",2016,66643,0,0,0,0,0,0,0
"41",2016,70142,0,0,0,0,0,0,0
"42",2016,70410,99,93,4,1,26,1,13
"43",2016,70756,93,82,8,2,25,4,13
"44",2016,71184,31,27,1,1,6,0,4
"45",2016,71207,62,51,11,0,11,0,12
"46",2016,72303,38,33,5,0,5,0,10
"47",2016,72559,36,32,2,2,8,1,8
"48",2016,73606,33,28,4,1,8,3,7
"49",2016,74605,92,80,11,1,22,4,13
"50",2016,77648,4,4,0,0,0,0,2
"51",2016,78629,57,45,10,1,15,1,12
"52",2016,78643,54,48,6,0,8,2,18
"53",2016,78765,40,36,2,2,10,1,13
"54",2016,79617,0,0,0,0,0,0,0
"55",2016,64004,7,6,1,0,0,0,2
"56",2016,64006,16,14,2,0,4,0,2
"57",2016,64007,16,16,0,0,4,1,5
"58",2016,64166,8,7,1,0,0,0,3
"59",2016,65005,89,82,7,0,19,5,14
"60",2016,70553,66,58,7,0,14,0,12
"61",2016,70646,81,71,7,1,14,4,21
"62",2016,73113,92,77,12,2,24,3,15
"63",2016,73153,107,91,15,0,26,0,14
"64",2016,74339,100,87,10,2,33,4,7
"65",2016,76304,6,6,0,0,3,0,1
"66",2016,77104,2,2,0,0,1,0,0
"67",2016,77462,3,3,0,0,0,0,1
"68",2016,77609,64,57,4,0,11,1,16
"69",2016,78361,20,19,1,0,5,0,5
"70",2016,78517,75,70,2,1,16,1,21
"71",2016,78753,3,3,0,0,2,0,0
"72",2016,78892,53,47,5,1,7,1,8
"73",2016,79364,45,35,3,1,8,0,6
"74",2016,79453,18,17,1,0,5,0,1
"75",2016,99810,96,79,15,1,28,4,10
"76",2016,60146,0,0,0,0,0,0,0
"77",2016,61102,39,36,2,1,8,0,8
"78",2016,61186,78,71,5,1,19,2,18
"79",2016,61891,0,0,0,0,0,0,0
"80",2016,62164,71,56,14,1,20,2,19
"81",2016,63077,18,18,0,0,3,0,6
"82",2016,63123,16,15,1,0,1,0,7
"83",2016,64153,33,30,2,0,6,0,5
"84",2016,65103,94,83,8,2,24,9,12
"85",2016,65115,13,9,4,0,1,0,3
"86",2016,71842,45,37,6,1,6,0,11
"87",2016,72133,85,75,10,0,21,2,13
"88",2016,72456,5,3,0,0,1,0,0
"89",2016,73824,7,4,2,1,0,0,2
"90",2016,74823,12,9,2,0,1,0,1
"91",2016,76100,76,68,6,1,21,4,16
"92",2016,78135,23,23,0,0,8,0,4
"93",2016,78217,5,4,1,0,0,0,1
"94",2016,79109,57,49,8,0,12,3,10
"95",2016,79150,81,71,9,0,15,1,26
"96",2016,79192,59,54,1,2,14,2,13
"97",2016,79198,4,4,0,0,0,0,1
"98",2016,96462,0,0,0,0,0,0,0
"99",2016,99606,63,51,8,1,18,1,6
"100",2016,60523,105,91,7,5,22,0,29
"101",2016,60558,23,23,0,0,6,0,5
"102",2016,61554,1,1,0,0,0,0,1
"103",2016,62559,4,4,0,0,1,0,1
"104",2016,64022,10,10,0,0,1,0,2
"105",2016,65506,0,0,0,0,0,0,0
"106",2016,65513,10,9,1,0,0,0,4
"107",2016,65523,97,88,7,0,27,2,23
"108",2016,65546,0,0,0,0,0,0,0
"109",2016,71552,105,85,19,0,25,4,25
"110",2016,71562,86,76,6,0,22,0,10
"111",2016,71565,27,23,4,0,3,0,4
"112",2016,72546,64,57,3,0,15,1,9
"113",2016,72551,0,0,0,0,0,0,0
"114",2016,73226,0,0,0,0,0,0,0
"115",2016,74540,91,74,13,3,22,6,23
"116",2016,76313,103,96,6,0,31,6,8
"117",2016,76509,97,86,10,0,37,1,10
"118",2016,76536,19,17,0,1,3,0,3
"119",2016,77532,114,99,15,0,33,3,21
"120",2016,77669,8,8,0,0,2,0,3
"121",2016,78566,4,4,0,0,0,0,2
"122",2016,78850,0,0,0,0,0,0,0
"123",2016,79356,7,7,0,0,1,0,2
"124",2016,60263,0,0,0,0,0,0,0
"125",2016,62907,50,46,4,0,14,1,9
"126",2016,62908,1,1,0,0,0,0,0
"127",2016,62934,31,27,1,1,3,0,7
"128",2016,62947,101,90,9,0,27,2,30
"129",2016,63920,35,27,7,0,12,0,8
"130",2016,64906,2,2,0,0,0,0,1
"131",2016,64914,97,85,11,1,28,5,20
"132",2016,65933,0,0,0,0,0,0,0
"133",2016,66928,0,0,0,0,0,0,0
"134",2016,66968,3,3,0,0,0,0,0
"135",2016,73213,89,80,4,2,20,2,12
"136",2016,73306,57,50,3,2,10,3,12
"137",2016,73339,80,72,7,0,19,1,8
"138",2016,74223,14,13,1,0,0,0,4
"139",2016,74358,4,3,1,0,0,0,1
"140",2016,74465,97,77,14,4,21,3,21
"141",2016,75441,21,17,3,0,6,1,5
"142",2016,75867,0,0,0,0,0,0,0
"143",2016,77454,58,52,5,0,16,0,13
"144",2016,78122,69,64,1,2,11,0,8
"145",2016,78352,0,0,0,0,0,0,0
"146",2016,94629,76,62,13,0,20,3,9
"147",2016,61204,12,11,0,0,2,0,0
"148",2016,61208,8,5,2,1,2,0,0
"149",2016,61214,0,0,0,0,0,0,0
"150",2016,62234,8,7,1,0,1,0,3
"151",2016,62244,21,15,5,1,3,0,5
"152",2016,63260,1,1,0,0,0,0,1
"153",2016,66209,8,8,0,0,2,0,3
"154",2016,66244,74,61,10,2,10,1,18
"155",2016,74206,89,68,14,1,21,1,11
"156",2016,75334,79,66,11,1,26,3,11
"157",2016,76232,89,77,8,3,27,4,7
"158",2016,76249,107,93,12,2,33,5,15
"159",2016,76267,43,39,2,1,9,1,6
"160",2016,77248,87,74,10,2,22,1,20
"161",2016,78224,37,33,4,0,9,5,7
"162",2016,78288,0,0,0,0,0,0,0
"163",2016,79215,62,56,2,1,17,0,11
"164",2016,79231,113,95,12,3,24,1,17
"165",2016,79240,115,96,11,5,21,0,12
"166",2016,99222,2,2,0,0,1,0,0
"167",2016,62056,0,0,0,0,0,0,0
"168",2016,62864,14,10,4,0,2,0,2
"169",2016,62893,36,31,1,2,11,0,9
"170",2016,64890,3,3,0,0,0,0,2
"171",2016,66805,59,56,2,1,11,3,14
"172",2016,66833,4,4,0,0,0,0,2
"173",2016,66838,2,2,0,0,1,0,1
"174",2016,71837,85,73,6,2,19,2,17
"175",2016,71845,0,0,0,0,0,0,0
"176",2016,71848,67,53,9,1,12,0,5
"177",2016,71857,59,51,5,0,11,1,7
"178",2016,72860,8,6,1,0,0,0,2
"179",2016,74846,96,88,5,1,23,3,19
"180",2016,75138,0,0,0,0,0,0,0
"181",2016,75151,109,101,5,2,32,5,21
"182",2016,75250,0,0,0,0,0,0,0
"183",2016,75340,0,0,0,0,0,0,0
"184",2016,75847,111,88,16,6,23,5,24
"185",2016,76158,18,18,0,0,5,0,7
"186",2016,76802,98,92,5,0,29,3,5
"187",2016,76812,98,88,7,2,28,1,14
"188",2016,76849,81,67,9,2,15,0,13
"189",2016,76858,1,1,0,0,0,0,1
"190",2016,76869,0,0,0,0,0,0,0
"191",2016,60456,74,65,5,1,15,0,14
"192",2016,61463,1,1,0,0,0,0,0
"193",2016,62404,100,87,10,1,32,2,14
"194",2016,62415,93,81,5,0,14,1,18
"195",2016,63440,26,24,1,1,7,0,4
"196",2016,64468,0,0,0,0,0,0,0
"197",2016,64493,8,7,1,0,1,0,3
"198",2016,64499,16,14,1,0,4,0,2
"199",2016,66452,86,73,11,1,17,1,9
"200",2016,71432,33,28,4,1,8,0,8
"201",2016,72443,103,87,16,0,29,6,14
"202",2016,72466,36,27,6,2,3,2,7
"203",2016,77927,0,0,0,0,0,0,0
"204",2016,78467,14,12,2,0,4,0,6
"205",2016,79402,73,68,0,2,18,0,8
"206",2016,79456,66,58,5,2,19,2,4
"207",2016,79465,85,70,14,1,19,1,11
"208",2016,95436,95,85,8,0,25,3,12
"209",2016,61353,87,84,2,0,30,0,23
"210",2016,61366,22,19,0,3,4,0,6
"211",2016,62332,8,7,0,1,3,0,1
"212",2016,62353,26,21,3,1,5,0,7
"213",2016,63360,11,7,3,1,1,0,1
"214",2016,64300,99,87,9,2,24,4,19
"215",2016,64346,62,54,7,0,9,0,21
"216",2016,66306,108,91,13,2,22,5,16
"217",2016,73342,86,74,11,0,22,1,8
"218",2016,74215,16,13,2,1,5,0,1
"219",2016,76368,17,14,2,0,2,0,4
"220",2016,77463,100,85,14,1,26,1,29
"221",2016,77564,97,82,12,2,25,1,17
"222",2016,78168,109,97,10,0,25,0,13
"223",2016,79300,5,4,1,0,1,0,1
"224",2016,79334,0,0,0,0,0,0,0
"225",2016,79365,92,85,4,1,22,4,25
"226",2016,60404,23,19,2,0,2,0,4
"227",2016,60667,6,5,1,0,1,0,2
"228",2016,60768,1,1,0,0,0,0,1
"229",2016,60805,16,16,0,0,2,0,4
"230",2016,61700,2,2,0,0,0,0,0
"231",2016,62700,93,85,6,1,28,2,23
"232",2016,62768,9,8,1,0,2,0,5
"233",2016,62797,64,58,5,1,22,2,11
"234",2016,64086,9,8,1,0,1,0,4
"235",2016,65742,0,0,0,0,0,0,0
"236",2016,66740,111,102,8,0,31,9,12
"237",2016,71347,32,29,2,0,4,0,7
"238",2016,71610,44,40,3,1,5,0,12
"239",2016,71752,112,83,25,2,27,2,17
"240",2016,73136,24,20,1,3,5,1,5
"241",2016,73602,40,34,3,0,7,1,7
"242",2016,74163,120,102,16,1,36,1,7
"243",2016,74729,20,18,1,0,4,0,6
"244",2016,75808,109,91,15,2,29,3,9
"245",2016,76746,4,4,0,0,1,0,3
"246",2016,76753,102,90,9,0,34,4,18
