"PA","BB_rate","HR_rate","AVG","OBP","SLG","OPS","SB_rate","BABIP","H2_rate","H3_rate","T_ID","year","month","P_ID","BAT_ORDER","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO"
7,0.113207547169811,0,0.322188449848024,0.398921832884097,0.40273556231003,0.801657395194127,0.0377358490566038,0.315789473684211,0.25,0,"KT",2020,7,50054,7,0,1,0,1,0,3,0,1,0,0
27,0.113207547169811,0,0.250591016548463,0.335429769392033,0.313238770685579,0.648668540077612,0.0377358490566038,0.315789473684211,0.25,0,"KT",2020,8,50054,7,3,2,0,2,0,2,3,4,2,5
32,0.113207547169811,0,0.246675531914894,0.331957547169811,0.308344414893617,0.640301962063428,0.0377358490566038,0.315789473684211,0.25,0,"KT",2020,9,50054,7,2,2,0,2,4,2,4,5,4,2
29,0.113207547169811,0,0.272193690388848,0.354586857514639,0.34024211298606,0.694828970500699,0.0377358490566038,0.315789473684211,0.25,0,"KT",2020,10,50054,7,2,2,0,5,3,0,4,3,2,3
0,0.0740740740740741,0.166666666666667,0,0,0,0,0,0.277777777777778,0.333333333333333,0,"KT",2020,7,50066,3,0,1,0,1,0,3,0,1,0,0
0,0.0740740740740741,0.166666666666667,0,0,0,0,0,0.277777777777778,0.333333333333333,0,"KT",2020,8,50066,3,3,2,0,2,0,2,3,4,2,5
0,0.0740740740740741,0.166666666666667,0,0,0,0,0,0.277777777777778,0.333333333333333,0,"KT",2020,9,50066,3,2,2,0,2,4,2,4,5,4,2
0,0.0740740740740741,0.166666666666667,0,0,0,0,0,0.277777777777778,0.333333333333333,0,"KT",2020,10,50066,3,2,2,0,5,3,0,4,3,2,3
8,0,0,0.375,0.375,0.482142857142857,0.857142857142857,0.142857142857143,0.411764705882353,0.285714285714286,0,"LG",2020,7,50150,7,1,0,1,0,0,0,3,3,0,0
13,0,0,0.307692307692308,0.307692307692308,0.395604395604396,0.703296703296703,0.142857142857143,0.411764705882353,0.285714285714286,0,"LG",2020,8,50150,7,3,8,2,0,0,3,2,0,2,5
14,0,0,0.357142857142857,0.357142857142857,0.459183673469388,0.816326530612245,0.142857142857143,0.411764705882353,0.285714285714286,0,"LG",2020,9,50150,7,2,2,2,0,6,4,2,4,2,2
11,0,0,0.363636363636364,0.363636363636364,0.467532467532468,0.831168831168831,0.142857142857143,0.411764705882353,0.285714285714286,0,"LG",2020,10,50150,7,1,3,5,0,4,5,0,0,3,0
60,0.106995884773663,0.246153846153846,0.225944115964143,0.318321155622743,0.421644879149817,0.73996603477256,0,0.357664233576642,0.153846153846154,0,"LG",2020,7,50165,4,1,0,1,0,0,0,3,3,0,0
93,0.106995884773663,0.246153846153846,0.242950662327035,0.333298114148089,0.453381590483674,0.786679704631763,0,0.357664233576642,0.153846153846154,0,"LG",2020,8,50165,4,3,8,2,0,0,3,2,0,2,5
95,0.106995884773663,0.246153846153846,0.237835911541203,0.328793765719414,0.443836714894544,0.772630480613957,0,0.357664233576642,0.153846153846154,0,"LG",2020,9,50165,4,2,2,2,0,6,4,2,4,2,2
77,0.106995884773663,0.246153846153846,0.234747133469239,0.326073607252746,0.438072601714095,0.764146208966841,0,0.357664233576642,0.153846153846154,0,"LG",2020,10,50165,4,1,3,5,0,4,5,0,0,3,0
4,0.0416666666666667,0,0,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0.263157894736842,0,0,"OB",2020,7,50202,4,0,0,0,3,0,1,0,0,0,3
4,0.0416666666666667,0,0,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0.263157894736842,0,0,"OB",2020,8,50202,4,0,2,3,2,6,4,0,2,6,0
1,0.0416666666666667,0,0,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0.263157894736842,0,0,"OB",2020,9,50202,4,6,2,4,2,0,2,0,2,4,5
1,0.0416666666666667,0,0,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0.263157894736842,0,0,"OB",2020,10,50202,4,4,3,4,0,2,0,0,3,0,5
0,0,0,0,0,0,0,0,0,0,0,"OB",2020,7,50204,6,0,0,0,3,0,1,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,"OB",2020,8,50204,6,0,2,3,2,6,4,0,2,6,0
1,0,0,0,0,0,0,0,0,0,0,"OB",2020,9,50204,6,6,2,4,2,0,2,0,2,4,5
1,0,0,0,0,0,0,0,0,0,0,"OB",2020,10,50204,6,4,3,4,0,2,0,0,3,0,5
1,0,0,0,0,0,0,0,0,0,0,"OB",2020,7,50208,0,0,0,0,3,0,1,0,0,0,3
2,0,0,0,0,0,0,0,0,0,0,"OB",2020,8,50208,0,0,2,3,2,6,4,0,2,6,0
2,0,0,0,0,0,0,0,0,0,0,"OB",2020,9,50208,0,6,2,4,2,0,2,0,2,4,5
2,0,0,0,0,0,0,0,0,0,0,"OB",2020,10,50208,0,4,3,4,0,2,0,0,3,0,5
5,0.157894736842105,0,0.253333333333333,0.410526315789473,0.2375,0.648026315789473,0,0.230769230769231,0,0,"OB",2020,7,50293,0,0,0,0,3,0,1,0,0,0,3
19,0.157894736842105,0,0.2,0.368421052631579,0.1875,0.555921052631579,0,0.230769230769231,0,0,"OB",2020,8,50293,0,0,2,3,2,6,4,0,2,6,0
21,0.157894736842105,0,0.180952380952381,0.353383458646616,0.169642857142857,0.523026315789473,0,0.230769230769231,0,0,"OB",2020,9,50293,0,6,2,4,2,0,2,0,2,4,5
16,0.157894736842105,0,0.2375,0.398026315789473,0.22265625,0.620682565789473,0,0.230769230769231,0,0,"OB",2020,10,50293,0,4,3,4,0,2,0,0,3,0,5
0,0,0,0,0,0,0,0,0,0,0,"OB",2020,7,50296,0,0,0,0,3,0,1,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,"OB",2020,8,50296,0,0,2,3,2,6,4,0,2,6,0
0,0,0,0,0,0,0,0,0,0,0,"OB",2020,9,50296,0,6,2,4,2,0,2,0,2,4,5
0,0,0,0,0,0,0,0,0,0,0,"OB",2020,10,50296,0,4,3,4,0,2,0,0,3,0,5
11,0.027027027027027,0.25,0.124579124579125,0.148239148239148,0.218013468013468,0.366252616252616,0,0.12,0,0,"WO",2020,7,50300,0,0,0,0,0,3,0,3,0,1,0
40,0.027027027027027,0.25,0.102777777777778,0.127027027027027,0.179861111111111,0.306888138138138,0,0.12,0,0,"WO",2020,8,50300,0,3,2,5,5,5,2,0,0,4,0
42,0.027027027027027,0.25,0.0978835978835979,0.122265122265122,0.171296296296296,0.293561418561419,0,0.12,0,0,"WO",2020,9,50300,0,4,4,2,2,2,2,5,4,2,0
28,0.027027027027027,0.25,0.0978835978835979,0.122265122265122,0.171296296296296,0.293561418561418,0,0.12,0,0,"WO",2020,10,50300,0,3,1,3,0,0,3,5,3,0,0
0,0,0,0,0,0,0,0,0,0,0,"WO",2020,7,50304,0,0,0,0,0,3,0,3,0,1,0
1,0,0,0,0,0,0,0,0,0,0,"WO",2020,8,50304,0,3,2,5,5,5,2,0,0,4,0
1,0,0,0,0,0,0,0,0,0,0,"WO",2020,9,50304,0,4,4,2,2,2,2,5,4,2,0
1,0,0,0,0,0,0,0,0,0,0,"WO",2020,10,50304,0,3,1,3,0,0,3,5,3,0,0
5,0,0,0.2,0.2,0.266666666666667,0.466666666666667,0,0.5,0.333333333333333,0,"WO",2020,7,50357,2,0,0,0,0,3,0,3,0,1,0
17,0,0,0.294117647058824,0.294117647058824,0.392156862745098,0.686274509803921,0,0.5,0.333333333333333,0,"WO",2020,8,50357,2,3,2,5,5,5,2,0,0,4,0
17,0,0,0.294117647058824,0.294117647058824,0.392156862745098,0.686274509803921,0,0.5,0.333333333333333,0,"WO",2020,9,50357,2,4,4,2,2,2,2,5,4,2,0
12,0,0,0.25,0.25,0.333333333333333,0.583333333333333,0,0.5,0.333333333333333,0,"WO",2020,10,50357,2,3,1,3,0,0,3,5,3,0,0
26,0.0545454545454545,0,0.162721893491124,0.208391608391608,0.189842209072978,0.398233817464587,0.0727272727272727,0.275862068965517,0.0833333333333333,0.0416666666666667,"SS",2020,7,50458,9,2,2,0,0,0,1,0,0,0,1
56,0.0545454545454545,0,0.207760989010989,0.250974025974026,0.242387820512821,0.493361846486846,0.0727272727272727,0.275862068965517,0.0833333333333333,0.0416666666666667,"SS",2020,8,50458,9,5,0,2,2,2,0,6,4,0,4
61,0.0545454545454545,0,0.208070617906683,0.251266766020864,0.242749054224464,0.494015820245328,0.0727272727272727,0.275862068965517,0.0833333333333333,0.0416666666666667,"SS",2020,9,50458,9,3,4,4,2,2,4,4,2,0,2
47,0.0545454545454545,0,0.20253682487725,0.246034816247582,0.236292962356792,0.482327778604374,0.0727272727272727,0.275862068965517,0.0833333333333333,0.0416666666666667,"SS",2020,10,50458,9,3,1,2,3,3,5,0,4,0,0
16,0.141104294478528,0.162162162162162,0.182846228474412,0.333242628141698,0.295766129032258,0.629008757173956,0.0429447852760736,0.36046511627907,0.216216216216216,0,"SS",2020,7,50468,2,2,2,0,0,0,1,0,0,0,1
9,0.141104294478528,0.162162162162162,0.162529980866144,0.316665567209799,0.262903225806452,0.57956879301625,0.0429447852760736,0.36046511627907,0.216216216216216,0,"SS",2020,8,50468,2,5,0,2,2,2,0,6,4,0,4
0,0.141104294478528,0.162162162162162,0,0,0,0,0.0429447852760736,0.36046511627907,0.216216216216216,0,"SS",2020,9,50468,2,3,4,4,2,2,4,4,2,0,2
0,0.141104294478528,0.162162162162162,0,0,0,0,0.0429447852760736,0.36046511627907,0.216216216216216,0,"SS",2020,10,50468,2,3,1,2,3,3,5,0,4,0,0
46,0.08,0.0634920634920635,0.203622541985029,0.273703758290346,0.285155874531415,0.558859632821761,0.028,0.305699481865285,0.19047619047619,0.0158730158730159,"LT",2020,7,50506,5,0,1,0,0,0,1,0,1,0,3
86,0.08,0.0634920634920635,0.231443063709728,0.299076074103272,0.324116124830765,0.623192198934037,0.028,0.305699481865285,0.19047619047619,0.0158730158730159,"LT",2020,8,50506,5,2,2,0,0,0,2,6,4,2,5
