"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","GD","PA","SB","CS","SF","BAT_ORDER","stadium_MH","stadium_MS","stadium_JS","stadium_SW","stadium_DJ","stadium_DG","stadium_GJ","stadium_GC","stadium_SJ","stadium_PH","stadium_US","stadium_CJ","stadium_CW","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","HOME","AWAY"
2016,4,60146,"LG",0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,60263,"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,60404,"HH",12,2,0,0,0,0,0,3,0,12,0,0,0,9,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,60456,"SS",65,15,3,1,0,5,1,14,5,74,1,1,3,7,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,60523,"LT",91,22,4,1,0,7,5,29,3,105,1,1,2,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,60558,"LT",23,6,1,0,0,0,0,5,1,23,1,0,0,7,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,60667,"HH",9,3,1,0,0,1,0,5,1,10,0,0,0,8,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,60757,"HH",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,60805,"HH",0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,61102,"LG",36,8,0,0,0,2,1,8,0,39,0,0,0,8,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
