,year,month,T_ID,P_ID,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_AB_CN,P_HIT_CN,VS_T_ID_HH,VS_T_ID_HT,VS_T_ID_KT,VS_T_ID_LG,VS_T_ID_LT,VS_T_ID_NC,VS_T_ID_OB,VS_T_ID_SK,VS_T_ID_SS,VS_T_ID_WO,BAT_ORDER,HOME,AWAY,AVG,OBP,SLG,OPS
0,2016,4,HH,60404,12,12,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,2,0,2,1,0,0,2,9,3,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
1,2016,4,HH,60667,10,9,2,1,3,1,0,0,0,0,0,0,1,1,0,5,1,0,1,4,1,0,0,0,2,3,0,3,0,0,0,8,4,4,0.3333333333333333,0.4,0.4444444444444444,0.8444444444444444
2,2016,4,HH,60757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0.0,0.0,0.0,0.0
3,2016,4,HH,60805,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0.0,1.0,0.0,1.0
4,2016,4,HH,61700,36,31,2,6,6,1,0,1,0,0,0,0,4,0,1,7,3,4,8,5,0,0,1,0,3,3,3,3,0,0,3,8,9,7,0.1935483870967742,0.3055555555555556,0.3225806451612903,0.6281362007168458
5,2016,4,HH,62700,67,61,11,8,17,4,0,2,0,2,2,0,2,0,2,15,0,6,14,17,6,0,2,0,4,3,2,6,0,2,3,7,12,10,0.2786885245901639,0.3230769230769231,0.4426229508196721,0.7656998738965952
6,2016,4,HH,62797,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
7,2016,4,HH,64086,78,69,8,8,18,5,0,3,0,1,3,0,5,0,1,25,2,5,12,19,3,0,2,0,4,3,2,6,0,2,3,7,12,10,0.2608695652173913,0.32,0.463768115942029,0.783768115942029
8,2016,4,HH,66740,80,75,6,8,23,5,0,1,0,1,1,0,3,0,1,24,2,0,12,20,7,0,1,0,4,3,3,6,0,2,3,6,11,11,0.30666666666666664,0.34177215189873417,0.41333333333333333,0.7551054852320676
9,2016,4,HH,71347,36,32,3,5,6,1,1,0,0,0,2,0,2,0,0,8,1,0,7,8,1,0,0,0,4,2,3,2,0,0,2,2,6,7,0.1875,0.23529411764705882,0.28125,0.5165441176470589
10,2016,4,HH,71610,56,45,3,4,13,2,0,1,2,0,2,1,8,0,0,13,1,0,14,8,0,0,2,0,2,3,1,3,0,2,3,3,7,9,0.28888888888888886,0.3888888888888889,0.4,0.788888888888889
11,2016,4,HH,71752,101,85,12,9,25,5,0,1,0,0,0,1,15,3,0,15,2,2,26,25,9,0,2,0,4,3,3,6,0,2,3,4,12,11,0.29411764705882354,0.39603960396039606,0.38823529411764707,0.7842748980780432
12,2016,4,HH,73136,71,67,5,6,17,2,1,0,0,0,1,0,1,0,2,18,1,0,12,22,5,0,1,0,4,2,3,5,0,2,3,3,11,9,0.2537313432835821,0.2857142857142857,0.31343283582089554,0.5991471215351812
13,2016,4,HH,73602,53,46,4,5,12,2,0,0,0,0,2,1,4,0,0,8,2,1,9,12,2,0,2,0,3,3,2,5,0,2,2,9,10,9,0.2608695652173913,0.3137254901960784,0.30434782608695654,0.618073316283035
14,2016,4,HH,73750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0
15,2016,4,HH,74163,67,55,5,6,12,2,0,0,3,0,2,0,9,1,1,2,1,1,16,10,4,0,2,0,2,3,0,6,0,2,0,2,9,6,0.21818181818181817,0.3384615384615385,0.2545454545454545,0.593006993006993
16,2016,4,HH,74729,65,52,5,3,19,1,0,1,0,0,1,0,10,0,2,10,1,0,24,9,4,0,2,0,4,3,2,6,0,2,3,6,12,10,0.36538461538461536,0.484375,0.4423076923076923,0.9266826923076923
17,2016,4,HH,74731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0.0,0.0,0.0,0.0
18,2016,4,HH,74857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,1,0.0,0.0,0.0,0.0
19,2016,4,HH,75808,99,88,12,15,26,5,0,3,3,1,1,0,8,0,2,9,3,2,20,25,7,0,2,0,3,3,3,6,0,2,3,1,11,11,0.29545454545454547,0.3673469387755102,0.45454545454545453,0.8218923933209648
20,2016,4,HH,76746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0.0,1.0,0.0,1.0
21,2016,4,HH,76753,23,21,2,2,7,0,0,1,0,0,0,1,1,0,0,4,0,2,3,3,0,0,2,0,0,0,0,2,0,2,0,5,4,2,0.3333333333333333,0.34782608695652173,0.47619047619047616,0.8240165631469979
22,2016,4,HH,77243,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,2,2,0,2,0,0,0,9,3,3,0.0,0.0,0.0,0.0
23,2016,4,HH,78745,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,5,3,0,0.0,0.0,0.0,0.0
24,2016,4,HH,78756,9,7,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,0,0,0,0,2,3,0,4,0,0,0,2,5,4,0.0,0.2222222222222222,0.0,0.2222222222222222
25,2016,4,HH,95158,7,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,2,0,1,0,0,0,2,2,2,3,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.45238095238095233
26,2016,4,HH,98144,24,20,1,0,2,0,0,0,0,0,3,0,0,0,1,7,0,1,1,8,1,0,0,0,2,0,2,1,0,0,3,9,4,4,0.1,0.14285714285714285,0.1,0.24285714285714285
27,2016,4,HH,99737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0.0,0.0,0.0,0.0
28,2016,4,HT,61643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2,0.0,0.0,0.0,0.0
29,2016,4,HT,61666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0.0,0.0,0.0,0.0
30,2016,4,HT,61743,34,31,1,2,8,1,2,0,0,1,1,0,2,0,0,8,1,0,7,5,1,0,0,2,2,0,2,0,3,0,2,1,4,7,0.25806451612903225,0.30303030303030304,0.41935483870967744,0.7223851417399805
31,2016,4,HT,62668,11,10,1,3,3,0,0,1,0,0,1,0,0,0,0,5,0,0,2,3,0,2,0,1,1,2,1,1,1,2,1,9,5,7,0.3,0.3,0.6,0.8999999999999999
32,2016,4,HT,63634,17,16,2,1,5,2,0,0,0,0,0,0,1,0,0,6,0,1,3,6,2,0,0,2,1,0,1,0,2,0,1,8,2,5,0.3125,0.35294117647058826,0.4375,0.7904411764705883
33,2016,4,HT,63636,2,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,3,0,1,6,2,5,0.5,0.5,0.5,1.0
34,2016,4,HT,63704,55,48,5,10,16,1,1,1,4,0,2,0,5,0,0,15,0,0,9,11,3,2,0,1,0,3,0,1,3,3,2,2,6,9,0.3333333333333333,0.39622641509433965,0.4583333333333333,0.854559748427673
35,2016,4,HT,64610,13,13,0,2,3,1,1,0,0,0,0,0,0,0,0,2,0,0,6,3,0,1,0,0,0,3,0,2,0,2,0,8,4,4,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.6923076923076923
36,2016,4,HT,64646,5,5,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1,0,1,0,1,1,3,2,1,3,3,2,5,7,10,0.0,0.0,0.0,0.0
37,2016,4,HT,64699,83,77,12,12,27,8,0,3,2,0,0,0,6,0,0,11,4,2,19,18,7,2,0,3,1,2,2,2,3,3,2,4,8,12,0.35064935064935066,0.39759036144578314,0.5714285714285714,0.9690189328743546
38,2016,4,HT,65653,8,8,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,2,1,2,0.375,0.375,0.5,0.875
39,2016,4,HT,66643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0.0,0.0,0.0,0.0
40,2016,4,HT,70142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0.0,0.0,0.0,0.0
41,2016,4,HT,70410,99,93,16,15,26,7,1,1,1,3,0,1,4,0,1,13,3,1,15,24,10,2,0,3,2,3,2,2,3,3,2,3,9,13,0.27956989247311825,0.31313131313131315,0.40860215053763443,0.7217334636689476
42,2016,4,HT,70756,93,82,14,13,25,5,0,4,1,1,0,1,8,1,2,13,1,1,16,25,6,2,0,3,2,3,2,2,3,3,2,5,9,13,0.3048780487804878,0.3763440860215054,0.5121951219512195,0.8885392079727249
43,2016,4,HT,71184,31,27,2,2,6,1,0,0,0,0,1,1,1,0,1,4,1,0,5,4,0,2,0,1,0,2,1,2,3,2,2,8,6,9,0.2222222222222222,0.26666666666666666,0.25925925925925924,0.5259259259259259
44,2016,4,HT,71207,62,51,9,6,11,3,0,0,1,0,0,0,11,0,0,12,2,0,12,14,5,1,0,3,2,2,2,2,3,2,2,1,8,11,0.21568627450980393,0.3548387096774194,0.27450980392156865,0.629348513598988
45,2016,4,HT,72303,38,33,3,1,5,0,0,0,0,0,0,0,5,0,0,10,1,0,8,7,2,0,0,3,2,0,2,0,3,0,2,9,4,8,0.15151515151515152,0.2631578947368421,0.15151515151515152,0.41467304625199364
46,2016,4,HT,72559,36,32,6,5,8,2,0,1,1,1,0,0,2,0,2,8,0,0,7,7,3,2,0,0,0,3,0,1,0,3,0,1,4,5,0.25,0.3333333333333333,0.40625,0.7395833333333333
47,2016,4,HT,73606,33,28,8,6,8,1,0,3,1,0,0,0,4,0,1,7,0,1,5,5,3,2,0,0,0,3,0,2,0,3,0,9,5,5,0.2857142857142857,0.3939393939393939,0.6428571428571429,1.0367965367965368
48,2016,4,HT,74605,92,80,6,10,22,3,0,4,0,1,0,0,11,0,1,13,1,6,14,13,2,2,0,3,2,3,2,2,3,3,2,6,9,13,0.275,0.3695652173913043,0.4625,0.8320652173913043
49,2016,4,HT,77648,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,8,2,2,0.0,0.0,0.0,0.0
50,2016,4,HT,78629,57,45,8,9,15,4,0,1,2,0,0,1,10,0,1,12,1,1,12,15,4,2,0,1,2,3,2,2,0,3,0,4,7,8,0.3333333333333333,0.45614035087719296,0.4888888888888889,0.9450292397660818
51,2016,4,HT,78643,54,48,4,2,8,1,0,2,1,1,0,0,6,0,0,18,0,2,8,15,2,2,0,2,2,3,2,2,3,3,2,8,9,12,0.16666666666666666,0.25925925925925924,0.3125,0.5717592592592593
