,year,month,T_ID,P_ID,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_AB_CN,P_HIT_CN,VS_T_ID_HH,VS_T_ID_HT,VS_T_ID_KT,VS_T_ID_LG,VS_T_ID_LT,VS_T_ID_NC,VS_T_ID_OB,VS_T_ID_SK,VS_T_ID_SS,VS_T_ID_WO,BAT_ORDER,HOME,AWAY,XR
0,2016,4,HH,60404,12,12,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,2,0,2,1,0,0,2,9,3,4,0.07599999999999996
1,2016,4,HH,60667,10,9,2,1,3,1,0,0,0,0,0,0,1,1,0,5,1,0,1,4,1,0,0,0,2,3,0,3,0,0,0,8,4,4,1.02
2,2016,4,HH,60757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0.0
3,2016,4,HH,60805,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0.34
4,2016,4,HH,61700,36,31,2,6,6,1,0,1,0,0,0,0,4,0,1,7,3,4,8,5,0,0,1,0,3,3,3,3,0,0,3,8,9,7,2.4440000000000004
5,2016,4,HH,62700,67,61,11,8,17,4,0,2,0,2,2,0,2,0,2,15,0,6,14,17,6,0,2,0,4,3,2,6,0,2,3,7,12,10,7.979999999999998
6,2016,4,HH,62797,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0.304
7,2016,4,HH,64086,78,69,8,8,18,5,0,3,0,1,3,0,5,0,1,25,2,5,12,19,3,0,2,0,4,3,2,6,0,2,3,7,12,10,9.23
8,2016,4,HH,66740,80,75,6,8,23,5,0,1,0,1,1,0,3,0,1,24,2,0,12,20,7,0,1,0,4,3,3,6,0,2,3,6,11,11,9.007999999999997
9,2016,4,HH,71347,36,32,3,5,6,1,1,0,0,0,2,0,2,0,0,8,1,0,7,8,1,0,0,0,4,2,3,2,0,0,2,2,6,7,1.7459999999999996
10,2016,4,HH,71610,56,45,3,4,13,2,0,1,2,0,2,1,8,0,0,13,1,0,14,8,0,0,2,0,2,3,1,3,0,2,3,3,7,9,7.9559999999999995
11,2016,4,HH,71752,101,85,12,9,25,5,0,1,0,0,0,1,15,3,0,15,2,2,26,25,9,0,2,0,4,3,3,6,0,2,3,4,12,11,13.379999999999995
12,2016,4,HH,73136,71,67,5,6,17,2,1,0,0,0,1,0,1,0,2,18,1,0,12,22,5,0,1,0,4,2,3,5,0,2,3,3,11,9,5.526
13,2016,4,HH,73602,53,46,4,5,12,2,0,0,0,0,2,1,4,0,0,8,2,1,9,12,2,0,2,0,3,3,2,5,0,2,2,9,10,9,4.286
14,2016,4,HH,73750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0.0
15,2016,4,HH,74163,67,55,5,6,12,2,0,0,3,0,2,0,9,1,1,2,1,1,16,10,4,0,2,0,2,3,0,6,0,2,0,2,9,6,6.114
16,2016,4,HH,74729,65,52,5,3,19,1,0,1,0,0,1,0,10,0,2,10,1,0,24,9,4,0,2,0,4,3,2,6,0,2,3,6,12,10,11.36
17,2016,4,HH,74731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0.0
18,2016,4,HH,74857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,1,0.0
19,2016,4,HH,75808,99,88,12,15,26,5,0,3,3,1,1,0,8,0,2,9,3,2,20,25,7,0,2,0,3,3,3,6,0,2,3,1,11,11,13.818
20,2016,4,HH,76746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0.34
21,2016,4,HH,76753,23,21,2,2,7,0,0,1,0,0,0,1,1,0,0,4,0,2,3,3,0,0,2,0,0,0,0,2,0,2,0,5,4,2,3.7579999999999996
22,2016,4,HH,77243,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,2,2,0,2,0,0,0,9,3,3,-0.45799999999999996
23,2016,4,HH,78745,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,5,3,0,-1.476
24,2016,4,HH,78756,9,7,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,0,0,0,0,2,3,0,4,0,0,0,2,5,4,0.04200000000000001
25,2016,4,HH,95158,7,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,2,0,1,0,0,0,2,2,2,3,0.37400000000000005
26,2016,4,HH,98144,24,20,1,0,2,0,0,0,0,0,3,0,0,0,1,7,0,1,1,8,1,0,0,0,2,0,2,1,0,0,3,9,4,4,-0.21599999999999997
27,2016,4,HH,99737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0.0
28,2016,4,HT,61643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2,0.0
29,2016,4,HT,61666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0.0
30,2016,4,HT,61743,34,31,1,2,8,1,2,0,0,1,1,0,2,0,0,8,1,0,7,5,1,0,0,2,2,0,2,0,3,0,2,1,4,7,3.1959999999999997
31,2016,4,HT,62668,11,10,1,3,3,0,0,1,0,0,1,0,0,0,0,5,0,0,2,3,0,2,0,1,1,2,1,1,1,2,1,9,5,7,1.8099999999999998
32,2016,4,HT,63634,17,16,2,1,5,2,0,0,0,0,0,0,1,0,0,6,0,1,3,6,2,0,0,2,1,0,1,0,2,0,1,8,2,5,2.242
33,2016,4,HT,63636,2,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,3,0,1,6,2,5,0.09
34,2016,4,HT,63704,55,48,5,10,16,1,1,1,4,0,2,0,5,0,0,15,0,0,9,11,3,2,0,1,0,3,0,1,3,3,2,2,6,9,9.2
35,2016,4,HT,64610,13,13,0,2,3,1,1,0,0,0,0,0,0,0,0,2,0,0,6,3,0,1,0,0,0,3,0,2,0,2,0,8,4,4,1.3439999999999999
36,2016,4,HT,64646,5,5,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1,0,1,0,1,1,3,2,1,3,3,2,5,7,10,-0.278
37,2016,4,HT,64699,83,77,12,12,27,8,0,3,2,0,0,0,6,0,0,11,4,2,19,18,7,2,0,3,1,2,2,2,3,3,2,4,8,12,14.411999999999999
38,2016,4,HT,65653,8,8,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,2,1,2,1.246
39,2016,4,HT,66643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0.0
40,2016,4,HT,70142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0.0
41,2016,4,HT,70410,99,93,16,15,26,7,1,1,1,3,0,1,4,0,1,13,3,1,15,24,10,2,0,3,2,3,2,2,3,3,2,3,9,13,9.965999999999998
42,2016,4,HT,70756,93,82,14,13,25,5,0,4,1,1,0,1,8,1,2,13,1,1,16,25,6,2,0,3,2,3,2,2,3,3,2,5,9,13,15.195999999999996
43,2016,4,HT,71184,31,27,2,2,6,1,0,0,0,0,1,1,1,0,1,4,1,0,5,4,0,2,0,1,0,2,1,2,3,2,2,8,6,9,1.9180000000000001
44,2016,4,HT,71207,62,51,9,6,11,3,0,0,1,0,0,0,11,0,0,12,2,0,12,14,5,1,0,3,2,2,2,2,3,2,2,1,8,11,5.644
45,2016,4,HT,72303,38,33,3,1,5,0,0,0,0,0,0,0,5,0,0,10,1,0,8,7,2,0,0,3,2,0,2,0,3,0,2,9,4,8,1.23
46,2016,4,HT,72559,36,32,6,5,8,2,0,1,1,1,0,0,2,0,2,8,0,0,7,7,3,2,0,0,0,3,0,1,0,3,0,1,4,5,4.376
47,2016,4,HT,73606,33,28,8,6,8,1,0,3,1,0,0,0,4,0,1,7,0,1,5,5,3,2,0,0,0,3,0,2,0,3,0,9,5,5,7.064
48,2016,4,HT,74605,92,80,6,10,22,3,0,4,0,1,0,0,11,0,1,13,1,6,14,13,2,2,0,3,2,3,2,2,3,3,2,6,9,13,13.485999999999999
49,2016,4,HT,77648,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,8,2,2,-0.376
50,2016,4,HT,78629,57,45,8,9,15,4,0,1,2,0,0,1,10,0,1,12,1,1,12,15,4,2,0,1,2,3,2,2,0,3,0,4,7,8,10.524000000000001
51,2016,4,HT,78643,54,48,4,2,8,1,0,2,1,1,0,0,6,0,0,18,0,2,8,15,2,2,0,2,2,3,2,2,3,3,2,8,9,12,4.255999999999999
