"year","month","T_ID","VS_T_ID"
2020,5,"HH","SK"
2020,5,"LT","KT"
2020,5,"NC","SS"
2020,5,"OB","LG"
2020,5,"WO","HT"
2020,5,"HH","SK"
2020,5,"LT","KT"
2020,5,"NC","SS"
2020,5,"OB","LG"
2020,5,"WO","HT"
2020,5,"HH","SK"
2020,5,"LT","KT"
2020,5,"NC","SS"
2020,5,"OB","LG"
2020,5,"WO","HT"
2020,5,"HH","WO"
2020,5,"HT","SS"
2020,5,"KT","OB"
2020,5,"LG","NC"
2020,5,"SK","LT"
2020,5,"HH","WO"
2020,5,"HT","SS"
2020,5,"HH","WO"
2020,5,"HT","SS"
2020,5,"KT","OB"
2020,5,"LG","NC"
2020,5,"SK","LT"
2020,5,"HT","HH"
2020,5,"KT","NC"
2020,5,"OB","LT"
2020,5,"SK","LG"
2020,5,"SS","WO"
2020,5,"HT","HH"
2020,5,"KT","NC"
2020,5,"OB","LT"
2020,5,"SK","LG"
2020,5,"SS","WO"
2020,5,"HT","HH"
2020,5,"KT","NC"
2020,5,"OB","LT"
2020,5,"SK","LG"
2020,5,"SS","WO"
2020,5,"LT","HH"
2020,5,"NC","SK"
2020,5,"OB","HT"
2020,5,"SS","KT"
2020,5,"LT","HH"
2020,5,"NC","SK"
2020,5,"OB","HT"
2020,5,"SS","KT"
2020,5,"WO","LG"
2020,5,"WO","LG"
2020,5,"LT","HH"
2020,5,"NC","SK"
2020,5,"OB","HT"
2020,5,"SS","KT"
2020,5,"WO","LG"
2020,5,"HH","KT"
2020,5,"LG","SS"
2020,5,"LT","HT"
2020,5,"NC","OB"
2020,5,"SK","WO"
2020,5,"HH","KT"
2020,5,"LG","SS"
2020,5,"LT","HT"
2020,5,"NC","OB"
2020,5,"SK","WO"
2020,5,"HH","KT"
2020,5,"LG","SS"
2020,5,"LT","HT"
2020,5,"NC","OB"
2020,5,"SK","WO"
2020,5,"HH","NC"
2020,5,"HT","SK"
2020,5,"KT","LG"
2020,5,"OB","SS"
2020,5,"WO","LT"
2020,5,"HH","NC"
2020,5,"HT","SK"
2020,5,"KT","LG"
2020,5,"OB","SS"
2020,5,"WO","LT"
2020,5,"HH","NC"
2020,5,"HT","SK"
2020,5,"KT","LG"
2020,5,"OB","SS"
2020,5,"WO","LT"
2020,5,"HT","KT"
2020,5,"LG","HH"
2020,5,"SK","OB"
2020,5,"SS","LT"
2020,5,"WO","NC"
2020,5,"HT","KT"
2020,5,"LG","HH"
2020,5,"SK","OB"
2020,5,"SS","LT"
2020,5,"WO","NC"
2020,5,"HT","KT"
2020,5,"LG","HH"
2020,5,"SK","OB"
2020,5,"SS","LT"
2020,5,"WO","NC"
2020,5,"HH","SK"
2020,5,"KT","WO"
2020,5,"LG","HT"
2020,5,"LT","OB"
2020,5,"NC","SS"
2020,5,"HH","SK"
2020,5,"KT","WO"
2020,5,"LG","HT"
2020,5,"LT","OB"
2020,5,"NC","SS"
2020,5,"HH","SK"
2020,5,"KT","WO"
2020,5,"LG","HT"
2020,5,"LT","OB"
2020,5,"NC","SS"
2020,5,"SK","HH"
2020,5,"KT","LT"
2020,5,"SS","NC"
2020,5,"LG","OB"
2020,5,"HT","WO"
2020,5,"SK","HH"
2020,5,"KT","LT"
2020,5,"SS","NC"
2020,5,"LG","OB"
2020,5,"HT","WO"
2020,5,"SK","HH"
2020,5,"KT","LT"
2020,5,"SS","NC"
2020,5,"LG","OB"
2020,5,"HT","WO"
2020,5,"WO","HH"
2020,5,"SS","HT"
2020,5,"OB","KT"
2020,5,"NC","LG"
2020,5,"LT","SK"
2020,5,"WO","HH"
2020,5,"SS","HT"
2020,5,"WO","HH"
2020,5,"SS","HT"
2020,5,"OB","KT"
2020,5,"NC","LG"
2020,5,"LT","SK"
2020,5,"HH","HT"
2020,5,"NC","KT"
2020,5,"LT","OB"
2020,5,"LG","SK"
2020,5,"WO","SS"
2020,5,"HH","HT"
2020,5,"NC","KT"
2020,5,"LT","OB"
2020,5,"LG","SK"
2020,5,"WO","SS"
2020,5,"HH","HT"
2020,5,"NC","KT"
2020,5,"LT","OB"
2020,5,"LG","SK"
2020,5,"WO","SS"
2020,5,"HH","LT"
2020,5,"SK","NC"
2020,5,"HT","OB"
2020,5,"KT","SS"
2020,5,"HH","LT"
2020,5,"SK","NC"
2020,5,"HT","OB"
2020,5,"KT","SS"
2020,5,"LG","WO"
2020,5,"LG","WO"
2020,5,"HH","LT"
2020,5,"SK","NC"
2020,5,"HT","OB"
2020,5,"KT","SS"
2020,5,"LG","WO"
2020,5,"KT","HH"
2020,5,"SS","LG"
2020,5,"HT","LT"
2020,5,"OB","NC"
2020,5,"WO","SK"
2020,5,"KT","HH"
2020,5,"SS","LG"
2020,5,"HT","LT"
2020,5,"OB","NC"
2020,5,"WO","SK"
2020,5,"KT","HH"
2020,5,"SS","LG"
2020,5,"HT","LT"
2020,5,"OB","NC"
