"year","month","T_ID","P_ID","PA","AB","RBI","RUN","HIT","H2","H3","HR","SB","CS","SH","SF","BB","IB","HP","KK","GD","ERR","LOB","P_AB_CN","P_HIT_CN","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","BAT_ORDER","HOME","AWAY","VISIT_G","HOME_G"
2016,4,"HH",60404,12,12,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,2,0,2,1,0,0,2,9,3,4,11,12
2016,4,"HH",60667,10,9,2,1,3,1,0,0,0,0,0,0,1,1,0,5,1,0,1,4,1,0,0,0,2,3,0,3,0,0,0,8,4,4,11,12
2016,4,"HH",60757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,11,12
2016,4,"HH",60805,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,11,12
2016,4,"HH",61700,36,31,2,6,6,1,0,1,0,0,0,0,4,0,1,7,3,4,8,5,0,0,1,0,3,3,3,3,0,0,3,8,9,7,11,12
2016,4,"HH",62700,67,61,11,8,17,4,0,2,0,2,2,0,2,0,2,15,0,6,14,17,6,0,2,0,4,3,2,6,0,2,3,7,12,10,11,12
2016,4,"HH",62797,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,11,12
2016,4,"HH",64086,78,69,8,8,18,5,0,3,0,1,3,0,5,0,1,25,2,5,12,19,3,0,2,0,4,3,2,6,0,2,3,7,12,10,11,12
2016,4,"HH",66740,80,75,6,8,23,5,0,1,0,1,1,0,3,0,1,24,2,0,12,20,7,0,1,0,4,3,3,6,0,2,3,6,11,11,11,12
2016,4,"HH",71347,36,32,3,5,6,1,1,0,0,0,2,0,2,0,0,8,1,0,7,8,1,0,0,0,4,2,3,2,0,0,2,2,6,7,11,12
2016,4,"HH",71610,56,45,3,4,13,2,0,1,2,0,2,1,8,0,0,13,1,0,14,8,0,0,2,0,2,3,1,3,0,2,3,3,7,9,11,12
2016,4,"HH",71752,101,85,12,9,25,5,0,1,0,0,0,1,15,3,0,15,2,2,26,25,9,0,2,0,4,3,3,6,0,2,3,4,12,11,11,12
2016,4,"HH",73136,71,67,5,6,17,2,1,0,0,0,1,0,1,0,2,18,1,0,12,22,5,0,1,0,4,2,3,5,0,2,3,3,11,9,11,12
2016,4,"HH",73602,53,46,4,5,12,2,0,0,0,0,2,1,4,0,0,8,2,1,9,12,2,0,2,0,3,3,2,5,0,2,2,9,10,9,11,12
2016,4,"HH",73750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,11,12
2016,4,"HH",74163,67,55,5,6,12,2,0,0,3,0,2,0,9,1,1,2,1,1,16,10,4,0,2,0,2,3,0,6,0,2,0,2,9,6,11,12
2016,4,"HH",74729,65,52,5,3,19,1,0,1,0,0,1,0,10,0,2,10,1,0,24,9,4,0,2,0,4,3,2,6,0,2,3,6,12,10,11,12
2016,4,"HH",74731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,11,12
2016,4,"HH",74857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,1,11,12
2016,4,"HH",75808,99,88,12,15,26,5,0,3,3,1,1,0,8,0,2,9,3,2,20,25,7,0,2,0,3,3,3,6,0,2,3,1,11,11,11,12
2016,4,"HH",76746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,11,12
2016,4,"HH",76753,23,21,2,2,7,0,0,1,0,0,0,1,1,0,0,4,0,2,3,3,0,0,2,0,0,0,0,2,0,2,0,5,4,2,11,12
2016,4,"HH",77243,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,2,2,0,2,0,0,0,9,3,3,11,12
2016,4,"HH",78745,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,5,3,0,11,12
2016,4,"HH",78756,9,7,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,0,0,0,0,2,3,0,4,0,0,0,2,5,4,11,12
2016,4,"HH",95158,7,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,2,0,1,0,0,0,2,2,2,3,11,12
2016,4,"HH",98144,24,20,1,0,2,0,0,0,0,0,3,0,0,0,1,7,0,1,1,8,1,0,0,0,2,0,2,1,0,0,3,9,4,4,11,12
