P_ID,Unnamed: 0,year,month,START_CK,RELIEF_CK,CG_CK,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,VS_T_ID_HH,VS_T_ID_HT,VS_T_ID_KT,VS_T_ID_LG,VS_T_ID_LT,VS_T_ID_NC,VS_T_ID_OB,VS_T_ID_SK,VS_T_ID_SS,VS_T_ID_WO,TB_SC_B,TB_SC_T,WLS_D,WLS_L,WLS_ND,WLS_S,WLS_W,AVG,OBP,SLG,OPS,KBB,BABIP,inplay_ratio
50030,14929,6060,18,11,0,0,0,174,961,258,235,70,15,0,6,3,0,2,1,17,0,3,28,9,1,0,0,43,38,2,2,0,0,1,1,2,0,3,0,7,4,0,5,2,0,4,0.8557814992025521,1.030608430288003,1.238108054226475,2.268716484514478,4.941176470588229,0.950495049504951,1.29
50036,9771,4040,11,0,4,0,0,17,109,33,23,9,1,1,1,0,0,1,1,5,0,3,3,0,0,0,0,4,4,0,2,0,0,0,0,1,0,0,1,3,1,0,0,4,0,0,0.784615384615385,1.040485829959515,1.2923076923076922,2.3327935222672,1.2,0.8,1.8333333333333333
50040,14934,6060,18,15,0,0,0,274,1535,393,361,102,18,1,9,2,3,2,2,23,0,5,72,9,7,0,0,49,47,2,2,0,1,2,3,1,1,2,1,7,8,0,5,4,0,6,0.8414942900237011,0.9834054834054831,1.221080070824316,2.2044855542298,9.3913043478261,0.9893617021276588,1.4136690647482015
50126,14983,6060,18,6,2,0,0,120,695,171,144,28,5,0,0,3,1,1,1,19,1,6,29,2,3,0,0,10,8,0,0,1,0,0,1,3,1,2,0,7,1,0,2,4,0,2,0.518939393939394,0.8754241926655719,0.575757575757576,1.4511817684231478,4.57894736842104,0.724137931034484,1.5
50157,14986,6060,18,1,9,0,1,41,244,66,57,20,2,0,3,0,1,1,2,3,0,3,8,0,0,0,0,12,11,0,1,2,0,0,1,3,0,1,2,6,4,0,1,9,0,0,0.71875,0.825396825396825,1.135416666666667,1.9608134920634908,8.000000000000009,1.0625000000000013,1.5
50234,15149,6060,18,12,0,0,0,192,1088,270,240,61,11,0,3,5,1,4,4,21,2,1,59,4,3,0,0,29,27,1,1,0,1,3,2,0,3,1,0,8,4,0,3,5,0,4,0.7799645775432721,0.9427463128461,1.040227147659852,1.982973460505951,8.42857142857143,0.956043956043957,1.5517241379310345
50296,5057,2020,6,1,3,0,0,18,136,31,23,6,1,0,1,0,1,0,0,7,0,1,6,0,1,0,0,7,7,0,0,0,0,0,1,0,3,0,0,0,4,0,1,3,0,0,0.260869565217391,0.45161290322580605,0.43478260869565205,0.8863955119214592,0.857142857142857,0.3125,1.9375
50360,5283,2020,7,0,3,0,0,10,77,15,14,4,0,1,0,0,0,0,0,1,0,0,5,1,1,0,0,2,2,0,2,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0.28571428571428603,0.33333333333333304,0.42857142857142894,0.7619047619047621,5.0,0.444444444444444,1.6666666666666667
50404,15262,6060,18,13,0,1,0,257,1350,343,317,80,8,1,10,0,0,3,0,18,0,5,57,20,1,0,1,33,32,1,2,1,1,1,2,1,2,0,2,9,4,0,4,1,0,8,0.758969072164948,0.9047202797202789,1.139226804123711,2.04394708384399,9.500000000000009,0.8400000000000001,1.372
50441,4902,2020,5,0,1,0,0,4,50,16,11,8,2,0,1,0,0,0,1,4,0,0,3,0,0,0,0,8,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.7272727272727271,0.75,1.1818181818181799,1.9318181818181799,0.75,0.875,2.6666666666666665
50449,15266,6060,18,7,0,0,0,79,516,127,103,29,5,0,3,3,0,1,1,20,0,2,13,2,0,1,0,16,15,1,1,1,2,1,0,1,0,0,0,3,4,0,1,4,0,2,0.7901019126064499,1.2132352941176472,1.123481781376519,2.336717075494166,1.9500000000000002,0.8863636363636349,1.4767441860465116
50464,5097,2020,6,1,0,0,0,14,102,25,18,6,2,0,1,0,0,0,0,7,0,0,3,2,0,0,0,5,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.33333333333333304,0.52,0.6111111111111109,1.13111111111111,0.42857142857142894,0.3571428571428571,1.7857142857142858
50524,15039,6060,18,9,0,0,0,137,779,215,199,68,9,1,5,4,0,1,0,13,0,2,31,8,4,0,2,37,33,2,1,1,2,0,0,0,1,2,0,5,4,0,6,0,0,3,0.9360968486504322,1.077714285714286,1.447698902444769,2.525413188159054,7.153846153846139,1.1595092024539888,1.3190184049079754
50556,5196,2020,7,0,2,0,0,6,32,8,8,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0.25,0.25,0.375,0.625,0.0,0.28571428571428603,1.1428571428571428
50558,15043,6060,18,14,0,0,0,266,1404,345,316,64,11,0,5,7,1,3,3,21,0,2,89,4,4,0,1,24,20,2,1,2,2,0,1,1,1,3,1,5,9,0,2,8,0,4,0.598653576437587,0.7409042392254419,0.836577840112202,1.5774820793376438,12.714285714285719,0.786666666666666,1.5753424657534247
50592,5018,2020,6,0,2,0,0,2,31,6,5,3,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0.6,0.666666666666667,0.8,1.46666666666667,0.0,0.6,1.2
50636,14882,6060,18,13,0,1,0,249,1237,331,310,78,10,0,3,4,2,3,1,15,0,2,68,11,3,1,2,24,23,1,0,1,1,2,2,2,1,0,3,7,6,0,3,5,0,5,0.753779649539429,0.86358584455278,0.9375478891661488,1.8011337337189288,13.59999999999999,0.9375,1.3907563025210083
50640,14885,6060,18,12,0,0,0,202,1167,291,256,64,14,3,2,10,3,3,5,23,0,4,70,4,5,0,0,34,29,1,0,2,1,1,1,1,1,3,1,4,8,0,3,4,0,5,0.7564746732026151,0.957496960082078,1.058067810457517,2.015564770539595,9.13043478260871,0.984126984126984,1.6256983240223464
50662,5147,2020,7,0,8,0,0,26,113,31,30,7,2,0,1,0,1,0,0,1,0,0,7,1,0,0,0,2,2,1,0,1,0,0,1,2,0,1,2,6,2,0,0,6,0,2,0.23333333333333303,0.258064516129032,0.4,0.658064516129032,7.0,0.272727272727273,1.4090909090909092
50705,10069,4040,13,0,11,0,2,35,213,49,42,6,1,0,0,0,0,1,0,6,1,0,18,1,1,0,0,2,0,0,1,2,2,3,0,1,2,0,0,5,6,0,0,11,0,0,0.262626262626263,0.515970515970516,0.29292929292929304,0.808899808899809,6.0,0.5,2.0416666666666665
50726,4941,2020,6,1,0,0,0,5,36,10,7,3,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.42857142857142894,0.5,0.857142857142857,1.35714285714286,1.0,0.4,3.3333333333333335
50815,4881,2020,5,2,0,0,0,32,191,52,47,16,4,0,1,1,0,1,0,4,0,0,6,1,1,0,0,11,8,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0.340425531914894,0.3921568627450979,0.48936170212766,0.8815185648727579,1.5,0.375,1.3
