,P_ID,year,month,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
0,76290,2020,5,0.391,101,92,20,36,12,1,1,16,0,0,9,0,7,2,0.391
1,76290,2020,6,0.290,114,107,15,31,5,0,4,16,0,1,5,0,10,3,0.337
2,76290,2020,7,0.352,106,91,20,32,5,0,9,29,0,1,14,0,10,3,0.341
3,76290,2020,8,0.362,106,94,15,34,5,0,6,21,0,0,10,2,8,0,0.346
4,76290,2020,9,0.403,74,62,13,25,4,0,1,24,0,0,10,0,11,0,0.354
5,76802,2020,5,0.171,41,35,3,6,1,0,0,3,0,0,3,1,0,1,0.171
6,76802,2020,6,0.245,59,49,3,12,0,0,0,3,0,0,5,1,5,0,0.214
7,76802,2020,7,0.270,73,63,7,17,0,0,0,2,1,1,8,0,7,3,0.238
8,76802,2020,8,0.344,67,61,8,21,3,1,1,7,0,0,4,1,4,0,0.269
9,76802,2020,9,0.288,65,59,5,17,3,0,1,8,0,0,4,0,3,3,0.273
10,64004,2020,5,0.197,67,61,10,12,1,2,2,7,0,2,5,0,7,0,0.197
11,64004,2020,6,0.326,50,46,7,15,1,0,1,4,3,0,4,0,10,2,0.252
12,64004,2020,7,0.360,29,25,4,9,1,0,0,2,1,0,3,0,4,0,0.273
13,64004,2020,8,0.267,36,30,8,8,1,0,1,6,2,1,6,0,9,0,0.272
14,64004,2020,9,0.136,24,22,1,3,0,0,0,0,0,0,2,0,4,1,0.255
15,79365,2020,5,0.347,83,75,15,26,7,0,6,21,0,0,5,1,12,1,0.347
16,79365,2020,6,0.250,86,72,10,18,5,0,3,12,0,0,12,1,13,2,0.299
17,79365,2020,7,0.250,64,60,7,15,3,0,3,11,0,0,3,1,12,2,0.285
18,79365,2020,8,0.189,42,37,3,7,1,0,0,2,0,0,4,1,9,2,0.270
19,79365,2020,9,0.216,47,37,8,8,2,0,0,3,0,0,8,2,13,2,0.263
20,64006,2020,5,0.293,109,99,12,29,2,1,0,11,6,3,7,0,19,0,0.293
21,64006,2020,6,0.158,89,76,7,12,2,0,1,8,3,1,8,1,19,2,0.234
22,64006,2020,7,0.217,73,69,9,15,2,1,1,7,4,4,3,0,15,1,0.230
23,64006,2020,8,0.194,80,67,7,13,1,1,1,6,3,1,8,1,14,2,0.222
24,64006,2020,9,0.243,78,70,10,17,4,0,0,6,6,2,4,0,18,0,0.226
25,69636,2020,6,0.318,22,22,5,7,0,0,2,5,0,0,0,0,7,1,0.318
26,69636,2020,7,0.200,17,15,3,3,0,0,0,2,0,0,2,0,7,1,0.270
27,69636,2020,8,0.238,23,21,3,5,0,0,2,7,0,0,0,2,9,0,0.259
28,69636,2020,9,0.000,9,7,0,0,0,0,0,0,0,0,1,1,3,0,0.231
29,64007,2020,5,0.350,20,20,4,7,0,0,1,4,0,1,0,0,4,0,0.350
30,64007,2020,6,0.161,36,31,4,5,2,0,1,5,0,0,3,0,8,0,0.235
31,64007,2020,7,0.067,16,15,4,1,0,0,0,0,0,0,1,0,7,0,0.197
32,64007,2020,9,0.368,21,19,5,7,0,1,2,5,0,0,2,0,4,0,0.235
33,66052,2020,5,0.333,29,27,1,9,0,0,0,7,0,0,2,0,7,2,0.333
34,66052,2020,6,0.150,23,20,1,3,1,0,1,3,0,0,3,0,9,0,0.255
35,66052,2020,7,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.245
36,66052,2020,9,0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.226
37,68106,2020,6,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.000
38,68106,2020,7,0.111,9,9,0,1,0,0,0,0,0,0,0,0,4,0,0.083
39,68106,2020,8,0.000,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0.071
40,68106,2020,9,0.000,7,6,0,0,0,0,0,0,0,0,1,0,3,0,0.050
41,76812,2020,5,0.111,10,9,0,1,0,0,0,0,0,0,0,1,2,0,0.111
42,76812,2020,6,0.103,30,29,1,3,0,0,0,2,0,0,1,0,4,1,0.105
43,76812,2020,7,0.238,24,21,2,5,1,0,0,3,0,0,2,1,1,3,0.153
44,76812,2020,8,0.097,40,31,5,3,1,0,1,1,0,0,6,1,4,2,0.133
45,76812,2020,9,0.140,54,43,3,6,0,0,0,3,0,0,7,2,5,4,0.135
46,64012,2020,5,0.000,9,8,2,0,0,0,0,0,1,0,0,0,3,0,0.000
47,64012,2020,6,0.000,3,2,1,0,0,0,0,1,1,1,0,0,1,0,0.000
48,64012,2020,7,0.167,6,6,2,1,0,0,0,0,0,0,0,0,3,0,0.063
49,64012,2020,8,0.100,12,10,3,1,0,0,0,0,0,0,2,0,3,0,0.077
50,64012,2020,9,0.571,10,7,5,4,1,0,1,2,0,0,2,1,2,0,0.182
51,69134,2020,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
52,64014,2020,5,0.133,15,15,1,2,0,0,1,1,0,0,0,0,5,0,0.133
53,64014,2020,6,0.500,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0.176
54,64014,2020,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176
55,64014,2020,9,0.000,4,4,1,0,0,0,0,0,0,0,0,0,2,0,0.143
56,50704,2020,7,0.217,24,23,1,5,2,0,0,0,0,0,1,0,6,1,0.217
57,50704,2020,8,0.231,28,26,2,6,1,0,0,2,0,0,2,0,10,0,0.224
58,50704,2020,9,0.323,35,31,2,10,1,0,1,9,0,1,2,1,10,0,0.263
59,71184,2020,5,0.417,13,12,3,5,0,0,2,8,0,0,0,0,2,0,0.417
60,71184,2020,6,0.375,13,8,1,3,0,0,1,1,0,0,3,0,1,0,0.400
61,71184,2020,7,0.200,22,20,1,4,1,0,0,1,0,0,2,0,5,2,0.300
62,71184,2020,8,0.188,18,16,2,3,0,0,0,1,0,0,1,0,3,0,0.268
63,71184,2020,9,0.333,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0.274
64,65040,2020,7,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.000
65,65040,2020,8,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
66,50707,2020,6,0.259,27,27,1,7,0,0,0,3,0,0,0,0,9,0,0.259
67,50707,2020,7,0.182,13,11,0,2,0,0,0,1,0,0,1,0,3,1,0.237
68,50707,2020,8,0.059,17,17,1,1,0,0,0,0,0,0,0,0,4,0,0.182
69,50707,2020,9,0.324,39,34,5,11,0,0,0,3,0,0,3,0,10,0,0.236
70,69652,2020,5,0.326,106,95,17,31,9,0,6,25,0,0,10,1,13,3,0.326
71,69652,2020,6,0.321,88,78,14,25,6,0,5,15,0,0,9,1,12,4,0.324
72,69652,2020,7,0.247,107,89,16,22,5,0,5,15,0,0,16,2,8,1,0.298
73,69652,2020,8,0.318,104,88,20,28,2,0,8,17,0,1,15,1,11,0,0.303
74,69652,2020,9,0.282,87,71,15,20,7,0,5,20,0,0,13,1,10,1,0.299
75,50709,2020,6,0.429,7,7,1,3,0,0,0,1,0,0,0,0,1,0,0.429
