,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,심우준,KT,유격수,112,103,898 2/3,16,0,175,335,71,0.97,0,0,0,-
1,2,오지환,LG,유격수,111,108,895,11,0,142,303,69,0.976,0,0,0,-
2,2,배정대,KT,중견수,111,110,952,4,0,286,10,2,0.987,0,0,0,-
3,2,마차도,롯데,유격수,111,108,939 2/3,7,0,185,307,73,0.986,0,0,0,-
4,5,정수빈,두산,중견수,110,102,908 1/3,1,0,275,7,3,0.996,0,0,0,-
5,6,박찬호,KIA,유격수,109,106,915,12,0,148,314,80,0.975,0,0,0,-
6,7,전준우,롯데,좌익수,106,104,897 1/3,3,0,210,8,0,0.986,0,0,0,-
7,8,유강남,LG,포수,105,98,801 2/3,1,0,640,39,4,0.9990000000000001,6,51,17,25.0
8,9,나지완,KIA,좌익수,102,101,795 1/3,0,0,150,1,1,1.0,0,0,0,-
9,9,터커,KIA,우익수,102,101,840,1,0,164,3,1,0.9940000000000001,0,0,0,-
10,11,로맥,SK,1루수,101,98,838,8,0,758,40,91,0.99,0,0,0,-
11,12,알테어,NC,중견수,100,99,842 2/3,1,0,254,2,1,0.996,0,0,0,-
12,12,장성우,KT,포수,100,91,758 2/3,2,0,536,28,6,0.996,6,37,12,24.5
13,12,황재균,KT,3루수,100,98,843,8,0,77,169,24,0.9690000000000001,0,0,0,-
14,15,박건우,두산,우익수,99,93,749,2,0,184,7,4,0.99,0,0,0,-
15,15,최정,SK,3루수,99,96,795 1/3,8,0,65,145,19,0.963,0,0,0,-
16,15,안치홍,롯데,2루수,99,97,835,12,0,164,284,55,0.9740000000000001,0,0,0,-
17,18,정주현,LG,2루수,98,82,684,6,0,143,246,56,0.985,0,0,0,-
18,19,노진혁,NC,유격수,97,89,741 1/3,5,0,142,212,47,0.986,0,0,0,-
19,19,박해민,삼성,중견수,97,92,768 1/3,0,0,250,5,2,1.0,0,0,0,-
20,21,김재환,두산,좌익수,96,96,773 1/3,1,0,185,5,1,0.995,0,0,0,-
21,21,라모스,LG,1루수,96,95,765 2/3,5,0,748,53,77,0.9940000000000001,0,0,0,-
22,23,강백호,KT,1루수,95,92,801 1/3,5,0,804,59,87,0.9940000000000001,0,0,0,-
23,23,로하스,KT,우익수,95,95,786 1/3,3,0,196,6,3,0.985,0,0,0,-
24,25,최재훈,한화,포수,94,81,691 2/3,2,1,614,43,13,0.997,3,67,25,27.2
25,25,김준태,롯데,포수,94,57,565 1/3,5,0,428,37,4,0.9890000000000001,2,51,8,13.6
26,27,김현수,LG,좌익수,93,92,780,1,0,183,6,1,0.995,0,0,0,-
27,27,손아섭,롯데,우익수,93,90,775 2/3,1,0,183,4,1,0.995,0,0,0,-
28,29,박민우,NC,2루수,91,86,709 1/3,6,0,187,204,53,0.985,0,0,0,-
29,29,한동희,롯데,3루수,91,86,710 2/3,11,0,44,142,9,0.9440000000000001,0,0,0,-
30,31,김재호,두산,유격수,90,86,731 2/3,10,0,101,220,44,0.97,0,0,0,-
31,31,김성현,SK,유격수,90,77,610 1/3,7,0,105,178,44,0.976,0,0,0,-
32,31,이명기,NC,좌익수,90,82,676,1,0,146,5,0,0.993,0,0,0,-
33,31,박경수,KT,2루수,90,80,641 2/3,7,0,148,248,53,0.983,0,0,0,-
34,31,유민상,KIA,1루수,90,84,725 2/3,9,0,666,41,87,0.987,0,0,0,-
35,36,박세혁,두산,포수,88,78,650 1/3,6,1,528,31,5,0.9890000000000001,1,48,10,17.2
36,36,강민호,삼성,포수,88,80,655 2/3,6,1,480,29,3,0.988,1,25,16,39.0
37,38,강진성,NC,1루수,87,78,649 2/3,4,0,537,36,65,0.993,0,0,0,-
38,38,박석민,NC,3루수,87,81,651 1/3,12,0,59,111,13,0.934,0,0,0,-
39,38,김상수,삼성,2루수,87,85,687 1/3,7,0,177,220,64,0.983,0,0,0,-
40,38,이용규,한화,중견수,87,81,665,3,0,188,0,0,0.9840000000000001,0,0,0,-
41,42,오재일,두산,1루수,86,82,691 2/3,3,0,631,28,53,0.995,0,0,0,-
42,43,최주환,두산,2루수,85,82,610 2/3,7,0,140,199,42,0.98,0,0,0,-
43,44,이정후,키움,우익수,84,71,615 2/3,2,0,138,6,1,0.986,0,0,0,-
44,44,김강민,SK,중견수,84,46,470 2/3,1,0,141,5,2,0.993,0,0,0,-
45,44,양의지,NC,포수,84,76,631 2/3,1,1,517,39,4,0.998,3,27,20,42.6
46,44,민병헌,롯데,중견수,84,67,610 1/3,0,0,155,2,1,1.0,0,0,0,-
47,48,김하성,키움,유격수,78,69,611 2/3,10,0,102,205,45,0.968,0,0,0,-
48,48,박병호,키움,1루수,78,76,637 2/3,5,0,610,50,64,0.992,0,0,0,-
49,50,정은원,한화,2루수,77,72,622,4,0,136,179,43,0.987,0,0,0,-
