,순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
0,1,장승현,두산,1.0,1,1,0,0,0,0,0,0,0,0
1,1,조수행,두산,1.0,1,1,0,0,0,0,0,0,0,0
2,3,김기환,NC,0.5,2,1,1,0,0,0,0,0,0,0
3,3,이우성,KIA,0.5,4,2,0,0,0,0,0,1,2,0
4,5,정의윤,SK,0.444,9,4,1,0,0,3,0,0,3,0
5,6,신용수,롯데,0.429,7,3,0,0,0,2,1,0,0,0
6,7,이명기,NC,0.414,87,36,7,1,0,14,11,0,13,0
7,8,박상언,한화,0.4,5,2,0,0,0,0,0,0,1,0
8,9,정수빈,두산,0.39399999999999996,99,39,3,0,1,16,9,0,10,2
9,10,김강민,SK,0.375,32,12,4,0,2,12,3,1,5,2
10,10,손호영,LG,0.375,8,3,0,0,0,0,1,0,2,1
11,10,황윤호,KIA,0.375,8,3,1,0,0,1,1,0,0,0
12,13,최형우,KIA,0.374,91,34,7,1,2,13,11,1,19,1
13,14,나성범,NC,0.371,97,36,7,1,9,29,10,2,22,2
14,15,박민우,NC,0.36700000000000005,30,11,1,0,1,2,4,1,3,0
15,16,페르난데스,두산,0.365,104,38,4,0,2,22,9,2,12,5
16,17,김경호,SK,0.364,11,4,1,1,0,3,0,0,3,1
17,18,김현수,LG,0.36200000000000004,94,34,5,0,6,21,10,2,8,0
18,19,이원재,NC,0.361,36,13,3,2,1,3,1,0,8,0
19,20,마차도,롯데,0.358,81,29,10,0,3,9,7,3,7,3
20,20,손아섭,롯데,0.358,81,29,7,0,4,20,8,0,7,3
21,22,김동엽,삼성,0.35600000000000004,59,21,4,0,4,8,4,0,19,2
22,23,고종욱,SK,0.35600000000000004,45,16,4,0,1,7,3,0,3,0
23,24,강백호,KT,0.35200000000000004,91,32,8,0,4,14,11,1,15,0
24,25,박해민,삼성,0.35100000000000003,94,33,4,1,2,11,5,0,13,1
25,26,국해성,두산,0.35,20,7,0,0,1,4,2,0,5,0
26,27,이형종,LG,0.34600000000000003,81,28,4,1,5,14,10,1,12,2
27,28,김성현,SK,0.344,61,21,3,1,1,7,4,1,4,0
28,29,권민석,두산,0.33299999999999996,3,1,0,0,0,0,0,0,1,0
29,29,백동훈,두산,0.33299999999999996,3,1,0,0,0,0,0,1,1,0
30,29,신성현,두산,0.33299999999999996,3,1,1,0,0,0,1,0,2,0
31,29,박정음,키움,0.33299999999999996,3,1,0,0,0,0,0,0,1,0
32,29,변상권,키움,0.33299999999999996,21,7,2,0,0,4,1,0,4,1
33,29,유서준,SK,0.33299999999999996,12,4,0,0,0,1,0,0,2,1
34,29,구본혁,LG,0.33299999999999996,12,4,0,1,0,1,2,0,3,1
35,29,황대인,KIA,0.33299999999999996,6,2,0,0,0,1,0,0,1,1
36,37,이정후,키움,0.33,97,32,10,0,2,17,7,2,6,4
37,38,채은성,LG,0.32899999999999996,85,28,5,0,2,22,7,2,18,2
38,39,나주환,KIA,0.327,49,16,2,0,0,6,7,0,12,1
39,40,홍창기,LG,0.326,92,30,9,3,2,10,15,3,25,2
40,40,모창민,NC,0.326,46,15,3,1,1,4,2,0,8,1
41,42,양의지,NC,0.325,80,26,4,0,5,21,9,5,6,4
42,43,김혜성,키움,0.32299999999999995,93,30,5,1,1,13,6,0,10,0
43,43,김헌곤,삼성,0.32299999999999995,62,20,3,0,2,7,2,0,10,1
44,45,박준태,키움,0.32,50,16,5,0,1,7,8,5,20,0
45,46,터커,KIA,0.318,88,28,2,0,8,17,15,1,11,0
46,47,이흥련,SK,0.317,41,13,0,0,1,11,1,0,8,3
47,48,최항,SK,0.316,57,18,2,0,0,5,9,0,12,2
48,48,최정원,NC,0.316,19,6,1,1,0,1,5,0,5,0
49,48,장성우,KT,0.316,57,18,2,0,1,10,8,0,4,4
50,51,로맥,SK,0.315,73,23,4,0,5,20,19,2,10,1
51,52,최주환,두산,0.314,86,27,5,1,1,11,9,0,8,1
52,53,이지영,키움,0.313,48,15,1,1,0,6,1,1,5,1
53,53,이용규,한화,0.313,80,25,4,0,0,3,15,2,4,1
54,55,러셀,키움,0.31,87,27,4,0,0,11,11,0,10,4
55,55,정훈,롯데,0.31,87,27,2,1,3,13,17,0,15,2
56,57,김웅빈,키움,0.309,68,21,5,0,3,12,1,0,19,2
57,58,오재일,두산,0.306,85,26,2,0,4,18,9,0,19,1
58,59,오태곤,SK,0.306,36,11,4,0,1,8,2,1,2,1
59,60,강민호,삼성,0.3,60,18,1,0,4,12,10,2,11,6
60,61,박건우,두산,0.298,94,28,6,0,6,12,5,4,9,1
61,62,김하성,키움,0.297,101,30,3,0,5,23,13,2,8,5
62,63,전준우,롯데,0.293,92,27,6,1,3,18,5,2,9,3
63,64,알테어,NC,0.293,58,17,2,0,2,11,8,1,18,1
64,65,한동희,롯데,0.293,82,24,2,0,2,9,13,0,19,2
65,66,김준완,NC,0.292,24,7,0,0,0,2,4,0,4,1
66,67,노시환,한화,0.28800000000000003,52,15,2,2,2,11,4,2,16,2
67,68,김재호,두산,0.28800000000000003,80,23,3,0,1,6,11,1,10,4
68,69,김성민,SK,0.28600000000000003,14,4,0,0,2,4,1,1,3,0
69,69,김용의,LG,0.28600000000000003,7,2,1,0,0,2,1,0,2,0
70,69,허도환,KT,0.28600000000000003,7,2,0,0,0,1,1,1,2,0
71,72,최원준,KIA,0.284,74,21,3,0,1,4,4,1,8,0
72,73,조용호,KT,0.284,67,19,4,0,0,3,10,0,17,1
73,74,강진성,NC,0.282,39,11,2,0,2,6,1,0,3,0
74,75,허정협,키움,0.28,75,21,5,0,2,11,6,1,16,2
75,75,김지찬,삼성,0.28,75,21,3,0,1,2,8,2,9,0
76,77,최지훈,SK,0.27899999999999997,86,24,5,2,0,5,12,2,11,0
77,77,나지완,KIA,0.27899999999999997,86,24,2,0,4,24,9,2,30,0
