,순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
0,1,신민재,LG,1.0,2,2,0,0,0,3,0,0,0,0
1,1,최정원,NC,1.0,2,2,2,0,0,1,0,0,0,0
2,1,강현우,KT,1.0,1,1,0,0,1,1,0,0,0,0
3,1,김민하,한화,1.0,1,1,0,0,0,0,0,0,0,0
4,5,김선빈,KIA,0.706,17,12,3,0,0,4,1,1,1,0
5,6,최원준,KIA,0.6,5,3,0,0,0,3,0,0,0,0
6,7,김호재,삼성,0.583,12,7,1,0,0,3,2,1,1,0
7,8,권민석,두산,0.5,2,1,0,0,0,0,1,0,1,0
8,8,이유찬,두산,0.5,6,3,0,0,0,1,0,0,0,0
9,10,허경민,두산,0.494,83,41,5,0,0,12,6,2,5,2
10,11,김형준,NC,0.429,7,3,0,0,0,2,0,0,1,0
11,12,로하스,KT,0.41200000000000003,85,35,10,0,8,20,11,1,24,3
12,13,정진호,한화,0.4,25,10,5,0,1,4,6,0,3,1
13,14,구자욱,삼성,0.387,75,29,4,0,2,13,9,1,19,0
14,15,김상수,삼성,0.385,78,30,4,1,3,11,15,0,4,4
15,16,강민호,삼성,0.377,69,26,5,0,5,18,7,0,10,2
16,17,채태인,SK,0.375,64,24,1,0,4,15,10,0,12,1
17,17,김민성,LG,0.375,32,12,2,0,2,12,3,0,3,1
18,17,손호영,LG,0.375,8,3,1,0,0,1,0,0,2,0
19,20,박석민,NC,0.373,67,25,5,0,4,16,9,0,8,1
20,21,박세혁,두산,0.37,54,20,2,0,1,13,4,2,3,1
21,22,황재균,KT,0.36700000000000005,98,36,8,0,6,16,6,0,14,2
22,23,김민식,KIA,0.36700000000000005,30,11,1,1,0,6,2,0,5,0
23,24,이지영,키움,0.365,52,19,2,0,0,3,3,1,4,2
24,25,최정,SK,0.361,72,26,6,0,9,22,12,3,13,0
25,26,김민혁,KT,0.36,25,9,1,0,0,2,3,0,4,0
26,27,러셀,키움,0.35700000000000004,14,5,2,0,1,5,0,1,2,1
27,27,오준혁,SK,0.35700000000000004,56,20,6,0,2,8,5,1,14,0
28,29,이창진,KIA,0.35200000000000004,71,25,6,1,0,6,8,1,14,1
29,30,김현수,LG,0.35200000000000004,91,32,5,0,9,29,14,0,10,3
30,31,배정대,KT,0.34600000000000003,81,28,2,0,5,13,10,1,27,0
31,32,손아섭,롯데,0.345,84,29,6,0,0,10,9,1,14,0
32,33,박민우,NC,0.33799999999999997,71,24,3,0,0,6,6,0,10,1
33,34,오지환,LG,0.337,95,32,7,1,5,20,4,1,17,0
34,35,안권수,두산,0.33299999999999996,6,2,0,0,0,2,0,0,1,0
35,35,김하성,키움,0.33299999999999996,93,31,3,0,7,24,13,1,10,2
36,35,김찬형,NC,0.33299999999999996,12,4,1,0,0,2,0,0,2,0
37,35,이홍구,KT,0.33299999999999996,3,1,0,0,0,0,0,0,1,0
38,35,백용환,KIA,0.33299999999999996,12,4,0,0,2,4,4,0,3,0
39,35,허일,롯데,0.33299999999999996,9,3,0,0,0,3,1,0,1,0
40,41,오재일,두산,0.33,97,32,7,0,1,15,6,0,11,2
41,42,페르난데스,두산,0.33,91,30,3,0,7,20,11,4,6,1
42,43,최형우,KIA,0.33,88,29,7,0,2,15,9,3,17,3
43,44,박해민,삼성,0.32899999999999996,85,28,3,2,1,10,7,1,13,3
44,45,나성범,NC,0.32899999999999996,73,24,5,1,5,12,7,1,20,1
45,46,정훈,롯데,0.326,92,30,6,0,4,20,10,2,23,0
46,47,나지완,KIA,0.325,83,27,3,0,3,20,10,5,10,1
47,48,마차도,롯데,0.325,77,25,4,0,2,13,9,0,6,4
48,49,김재환,두산,0.322,87,28,5,0,3,16,12,0,24,3
49,50,최주환,두산,0.321,84,27,3,1,2,16,6,2,15,2
50,51,이정후,키움,0.319,94,30,6,1,5,22,9,0,8,2
51,52,박주홍,키움,0.316,19,6,2,0,0,1,0,0,7,0
52,53,윤석민,SK,0.313,32,10,1,0,3,9,2,0,3,0
53,54,정수빈,두산,0.309,68,21,2,2,1,6,6,1,6,1
54,55,김규민,키움,0.308,13,4,1,0,0,1,1,0,2,0
55,55,김호은,LG,0.308,39,12,2,0,2,5,4,0,5,0
56,55,강진성,NC,0.308,78,24,3,0,1,12,3,0,6,2
57,55,천성호,KT,0.308,13,4,0,0,0,1,1,0,1,0
58,59,유한준,KT,0.306,72,22,4,0,1,12,5,0,10,1
59,60,박준태,키움,0.304,56,17,2,0,0,4,18,3,17,2
60,61,양의지,NC,0.302,63,19,2,0,3,15,8,3,11,0
61,62,이원석,삼성,0.297,64,19,1,0,3,21,15,1,10,1
62,63,하주석,한화,0.29600000000000004,71,21,3,0,0,7,3,0,13,0
63,64,이천웅,LG,0.294,51,15,2,0,0,7,8,3,6,0
64,64,정주현,LG,0.294,68,20,3,3,0,9,7,0,8,0
65,64,김성욱,NC,0.294,34,10,1,0,2,6,0,1,5,0
66,64,한동희,롯데,0.294,68,20,3,0,7,22,7,1,16,4
67,68,이대호,롯데,0.293,82,24,6,0,2,13,8,0,9,4
68,69,조용호,KT,0.29,62,18,0,0,0,3,9,1,17,0
69,70,장성우,KT,0.28800000000000003,59,17,2,0,3,17,8,0,7,1
70,71,안치홍,롯데,0.28800000000000003,80,23,4,0,1,6,5,2,8,3
71,72,서건창,키움,0.28600000000000003,91,26,5,2,1,5,14,0,15,1
72,72,김용의,LG,0.28600000000000003,14,4,0,0,1,1,0,0,3,0
73,72,지석훈,NC,0.28600000000000003,7,2,1,0,0,2,2,0,0,1
74,72,신본기,롯데,0.28600000000000003,7,2,0,0,1,1,1,0,2,0
75,76,모창민,NC,0.282,39,11,5,0,0,1,0,0,4,1
76,77,노진혁,NC,0.282,71,20,4,1,5,17,6,1,10,3
77,78,박승규,삼성,0.281,32,9,3,0,0,1,2,1,6,0
78,79,전병우,키움,0.27899999999999997,68,19,2,1,1,9,6,1,20,2
79,80,박찬호,KIA,0.27899999999999997,86,24,2,0,2,8,5,0,15,3
80,81,전준우,롯데,0.276,87,24,4,0,4,17,10,2,10,4
81,82,홍창기,LG,0.275,69,19,5,1,0,6,18,2,10,3
82,83,최준우,SK,0.275,91,25,2,0,2,9,10,0,14,1
83,84,강경학,한화,0.273,44,12,2,0,1,3,12,0,12,0
84,84,김동한,롯데,0.273,11,3,1,0,0,0,1,0,3,0
85,86,김성현,SK,0.27,63,17,0,0,0,2,8,0,7,3
86,87,라모스,LG,0.27,89,24,4,0,6,13,9,2,27,3
87,87,이용규,한화,0.27,89,24,1,0,0,4,12,0,6,2
88,89,나주환,KIA,0.268,82,22,1,0,2,12,2,1,21,3
89,90,이형종,LG,0.267,60,16,3,1,3,8,7,3,14,1
90,90,이성곤,삼성,0.267,60,16,2,0,3,7,6,0,21,0
91,90,이성규,삼성,0.267,30,8,0,0,3,8,2,2,9,0
92,93,최영진,삼성,0.265,34,9,1,0,0,3,2,0,6,1
93,94,알테어,NC,0.264,87,23,4,2,5,19,5,1,29,3
94,95,정의윤,SK,0.263,19,5,0,0,0,0,1,0,6,0
95,96,최재훈,한화,0.259,58,15,6,0,0,5,7,1,12,3
96,97,유민상,KIA,0.258,66,17,5,0,0,6,14,0,12,3
97,98,한승택,KIA,0.256,39,10,2,0,2,5,2,2,10,1
98,99,유강남,LG,0.253,79,20,2,0,3,13,2,2,19,4
99,100,박건우,두산,0.253,83,21,6,0,3,10,11,1,14,1
100,100,강백호,KT,0.253,83,21,5,0,2,12,10,1,19,4
101,102,박동원,키움,0.25,60,15,3,0,3,11,3,1,12,2
102,102,김강민,SK,0.25,44,11,1,0,0,4,3,1,8,1
103,102,정진기,SK,0.25,16,4,1,0,0,1,1,0,3,1
104,102,최항,SK,0.25,4,1,0,0,0,2,0,0,1,0
105,102,장준원,LG,0.25,12,3,0,0,0,2,1,0,1,0
106,102,박경수,KT,0.25,60,15,1,0,4,14,9,0,19,4
107,102,김태진,KIA,0.25,20,5,1,0,1,3,1,0,5,0
108,102,김동엽,삼성,0.25,52,13,3,0,1,6,4,0,13,2
109,110,터커,KIA,0.247,89,22,5,0,5,15,16,2,8,1
110,111,박병호,키움,0.247,81,20,2,0,6,19,9,2,23,4
111,112,반즈,한화,0.243,37,9,3,0,1,4,4,2,10,2
112,113,정은원,한화,0.243,70,17,1,0,1,9,17,2,8,3
113,114,이재원,SK,0.23800000000000002,21,5,1,0,0,3,2,1,1,3
114,114,김태군,NC,0.23800000000000002,21,5,0,0,0,2,0,0,2,0
115,116,김재호,두산,0.237,38,9,2,0,0,5,5,0,3,2
116,117,이현석,SK,0.23600000000000002,55,13,1,0,2,7,4,2,19,2
117,118,황대인,KIA,0.235,17,4,1,0,2,4,3,0,4,1
118,118,송광민,한화,0.235,17,4,1,0,0,2,0,0,5,1
119,120,김준태,롯데,0.23399999999999999,47,11,0,0,0,5,11,0,12,1
120,121,허정협,키움,0.231,52,12,0,0,1,4,7,0,9,3
121,121,살라디노,삼성,0.231,13,3,0,0,0,2,4,1,3,1
122,121,최진행,한화,0.231,78,18,4,0,3,9,8,0,20,3
123,124,민병헌,롯데,0.22399999999999998,67,15,5,0,0,5,4,0,13,4
124,125,송준석,삼성,0.222,27,6,4,0,0,5,2,1,4,2
125,125,김태균,한화,0.222,81,18,3,0,0,12,14,0,16,3
126,125,정기훈,한화,0.222,9,2,0,0,0,0,0,0,5,0
127,128,한동민,SK,0.217,46,10,0,0,4,9,5,3,11,3
128,128,심우준,KT,0.217,69,15,2,1,1,7,3,0,15,1
129,128,임종찬,한화,0.217,23,5,2,0,0,0,1,0,6,1
130,131,로맥,SK,0.217,83,18,2,0,5,7,13,0,29,1
131,132,허도환,KT,0.214,14,3,0,0,0,1,0,0,3,1
132,133,이명기,NC,0.212,66,14,1,1,0,6,4,0,15,2
133,134,최지훈,SK,0.21100000000000002,95,20,3,0,1,9,7,2,19,0
134,135,김혜성,키움,0.21,81,17,5,0,1,11,11,1,21,2
135,136,김지찬,삼성,0.209,43,9,1,0,0,4,3,0,9,0
136,137,채은성,LG,0.203,59,12,2,0,2,14,4,2,15,1
137,138,이성우,LG,0.2,20,4,1,0,0,1,2,0,5,2
138,138,강민국,KT,0.2,5,1,0,0,0,1,0,0,0,0
139,138,오선우,KIA,0.2,15,3,0,0,0,2,2,0,7,1
140,138,최정용,KIA,0.2,25,5,1,0,0,3,1,0,6,0
141,138,노수광,한화,0.2,5,1,0,0,0,0,0,0,1,0
142,138,노태형,한화,0.2,20,4,1,0,0,1,1,1,7,0
143,144,이학주,삼성,0.19,63,12,2,0,0,3,6,0,18,3
144,144,이해창,한화,0.19,21,4,0,0,0,3,2,0,6,1
145,146,권희동,NC,0.19,58,11,2,0,1,4,12,1,12,1
146,147,유장혁,한화,0.188,32,6,1,0,0,0,2,0,12,0
147,148,김민수,삼성,0.182,11,2,0,0,0,0,1,0,3,0
148,148,최인호,한화,0.182,11,2,0,0,0,1,1,0,3,1
149,150,국해성,두산,0.17600000000000002,17,3,0,0,0,2,0,0,4,1
150,151,오재원,두산,0.172,58,10,4,1,1,10,5,0,16,2
151,152,김규성,KIA,0.171,41,7,1,1,1,2,5,0,7,0
152,153,김인태,두산,0.16699999999999998,6,1,1,0,0,0,1,0,0,0
153,153,김주형,키움,0.16699999999999998,6,1,1,0,0,0,0,0,2,0
154,153,오태곤,SK,0.16699999999999998,12,2,0,0,0,0,0,0,6,1
155,153,송민섭,KT,0.16699999999999998,6,1,0,0,0,0,0,0,3,0
156,153,김헌곤,삼성,0.16699999999999998,6,1,0,0,0,0,1,1,1,1
157,153,박찬도,삼성,0.16699999999999998,12,2,1,0,0,0,1,0,3,0
158,159,정상호,두산,0.158,19,3,1,0,0,1,0,0,6,0
159,160,장운호,한화,0.154,13,2,1,0,1,2,1,0,4,0
160,161,주효상,키움,0.15,20,3,0,0,0,0,1,0,4,0
161,161,김지수,한화,0.15,20,3,0,0,1,4,0,0,5,0
162,163,김웅빈,키움,0.14300000000000002,7,1,0,0,0,0,2,0,4,0
163,163,유서준,SK,0.14300000000000002,7,1,1,0,0,0,0,0,1,1
164,163,박정현,한화,0.14300000000000002,14,2,0,0,0,1,1,0,8,1
165,166,오선진,한화,0.141,64,9,1,0,1,6,4,0,13,5
166,167,고종욱,SK,0.129,31,4,0,0,0,2,2,0,7,1
167,168,장승현,두산,0.125,8,1,0,0,0,0,0,0,2,1
168,168,박승욱,KT,0.125,8,1,0,0,0,1,3,0,3,0
169,170,정보근,롯데,0.12,25,3,0,0,0,0,2,0,8,2
170,171,정현,SK,0.11800000000000001,17,2,0,0,0,0,3,0,6,0
171,171,정근우,LG,0.11800000000000001,17,2,0,0,0,4,2,0,2,1
172,171,김재유,롯데,0.11800000000000001,17,2,0,0,0,0,2,0,5,1
173,174,구본혁,LG,0.111,18,2,0,0,0,0,3,1,4,0
174,174,이재원,LG,0.111,9,1,0,0,0,0,0,0,4,0
175,174,오윤석,롯데,0.111,9,1,0,0,0,0,3,1,4,0
176,177,백승현,LG,0.091,11,1,0,0,0,0,3,1,5,0
177,177,이동훈,한화,0.091,11,1,0,0,0,0,0,1,4,0
178,179,김호령,KIA,0.087,23,2,0,0,0,3,1,1,11,0
179,180,문상철,KT,0.067,15,1,0,0,0,0,1,0,7,0
180,181,박지훈,두산,0.000,1,0,0,0,0,0,0,0,1,0
181,181,백동훈,두산,-,0,0,0,0,0,0,0,0,0,0
182,181,최용제,두산,-,0,0,0,0,0,0,0,0,0,0
183,181,박정음,키움,0.000,6,0,0,0,0,0,1,0,2,0
184,181,송우현,키움,0.000,2,0,0,0,0,0,0,0,0,0
185,181,안우진,키움,-,0,0,0,0,0,0,0,0,0,0
186,181,조상우,키움,-,0,0,0,0,0,0,0,0,0,0
187,181,김경호,SK,0.000,18,0,0,0,0,0,0,0,2,0
188,181,김재현,SK,0.000,4,0,0,0,0,0,0,0,2,0
189,181,김정빈,SK,-,0,0,0,0,0,0,0,0,0,0
190,181,김주온,SK,-,0,0,0,0,0,0,0,0,0,0
191,181,남태혁,SK,0.000,2,0,0,0,0,0,0,0,1,0
192,181,박민호,SK,-,0,0,0,0,0,0,0,0,0,0
193,181,서진용,SK,-,0,0,0,0,0,0,0,0,0,0
194,181,이거연,SK,0.000,2,0,0,0,0,0,1,0,1,0
195,181,정영일,SK,-,0,0,0,0,0,0,0,0,0,0
196,181,현원회,SK,-,0,0,0,0,0,0,0,0,0,0
197,181,박지규,LG,-,0,0,0,0,0,0,0,0,0,0
198,181,백청훈,LG,-,0,0,0,0,0,0,0,0,0,0
199,181,이찬혁,LG,-,0,0,0,0,0,0,0,0,0,0
200,181,최성훈,LG,-,0,0,0,0,0,0,0,0,0,0
201,181,최재원,LG,0.000,6,0,0,0,0,0,0,0,4,1
202,181,한석현,LG,0.000,1,0,0,0,0,0,0,0,1,0
203,181,김준완,NC,0.000,5,0,0,0,0,0,1,0,2,0
204,181,김진성,NC,-,0,0,0,0,0,0,0,0,0,0
205,181,원종현,NC,-,0,0,0,0,0,0,0,0,0,0
206,181,이상호,NC,0.000,7,0,0,0,0,0,2,0,1,1
207,181,김재윤,KT,-,0,0,0,0,0,0,0,0,0,0
208,181,김태훈,KT,0.000,2,0,0,0,0,0,0,0,1,0
209,181,이보근,KT,-,0,0,0,0,0,0,0,0,0,0
210,181,조병욱,KT,-,0,0,0,0,0,0,0,0,0,0
211,181,주권,KT,-,0,0,0,0,0,0,0,0,0,0
212,181,최정민,KIA,-,0,0,0,0,0,0,0,0,0,0
213,181,홍종표,KIA,-,0,0,0,0,0,0,0,0,0,0
214,181,김응민,삼성,-,0,0,0,0,0,0,0,0,0,0
215,181,김재현,삼성,0.000,3,0,0,0,0,1,1,0,0,0
216,181,박계범,삼성,-,0,0,0,0,0,0,0,0,0,0
217,181,노시환,한화,0.000,7,0,0,0,0,0,0,0,4,0
218,181,박상언,한화,0.000,5,0,0,0,0,0,0,0,2,0
219,181,이성열,한화,0.000,2,0,0,0,0,0,0,0,1,0
