,순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
0,1,김은성,키움,1.0,2,2,0,0,0,0,0,0,0,0
1,2,송민섭,KT,0.5710000000000001,7,4,1,0,1,2,2,0,2,0
2,3,권민석,두산,0.5,4,2,1,0,0,3,0,0,1,0
3,3,서예일,두산,0.5,6,3,1,0,0,0,0,0,3,0
4,3,양찬열,두산,0.5,2,1,0,0,0,0,0,0,0,0
5,3,최용제,두산,0.5,6,3,0,0,0,2,2,0,1,0
6,3,김규민,키움,0.5,2,1,0,0,0,0,0,0,1,0
7,3,채은성,LG,0.5,12,6,0,0,1,6,0,1,2,0
8,3,송준석,삼성,0.5,2,1,0,0,0,0,0,0,0,0
9,10,이해창,한화,0.48,25,12,3,0,1,1,1,1,3,1
10,11,최원준,KIA,0.444,63,28,5,1,0,7,6,3,7,0
11,12,박민우,NC,0.418,79,33,6,2,0,14,3,5,12,1
12,13,김동엽,삼성,0.41700000000000004,60,25,3,0,5,18,2,0,7,2
13,14,문상철,KT,0.41200000000000003,17,7,0,1,2,5,2,0,3,0
14,15,강한울,삼성,0.406,32,13,0,0,0,3,6,0,7,1
15,16,양의지,NC,0.4,75,30,3,1,7,24,6,1,6,0
16,17,김선빈,KIA,0.391,23,9,1,0,0,3,2,0,3,3
17,18,김현수,LG,0.382,55,21,4,0,1,20,9,0,10,0
18,19,김인태,두산,0.375,8,3,0,0,0,3,4,0,0,0
19,19,김민성,LG,0.375,8,3,0,0,1,2,0,0,2,0
20,19,황재균,KT,0.375,72,27,3,2,3,15,9,1,16,1
21,19,김호재,삼성,0.375,8,3,0,0,0,0,0,0,1,0
22,23,로하스,KT,0.373,67,25,3,0,5,16,12,1,14,3
23,24,김규성,KIA,0.368,19,7,0,0,1,5,0,0,4,0
24,25,박준영,NC,0.364,11,4,1,0,0,0,0,1,4,0
25,25,안치홍,롯데,0.364,55,20,4,0,2,15,5,2,5,2
26,27,김상수,삼성,0.359,64,23,0,1,1,12,9,0,8,0
27,28,최형우,KIA,0.353,68,24,8,0,5,20,7,0,13,1
28,29,손아섭,롯데,0.349,63,22,4,0,0,6,1,0,4,3
29,30,이원석,삼성,0.345,58,20,2,0,3,9,1,0,12,0
30,31,구자욱,삼성,0.33799999999999997,71,24,5,1,3,17,7,0,13,2
31,32,이유찬,두산,0.33299999999999996,6,2,0,0,0,1,2,1,3,0
32,32,김용의,LG,0.33299999999999996,3,1,0,0,0,1,1,0,1,0
33,32,김호은,LG,0.33299999999999996,9,3,1,0,0,2,1,0,3,0
34,32,박용택,LG,0.33299999999999996,42,14,3,0,2,6,4,0,4,0
35,32,박재욱,LG,0.33299999999999996,6,2,0,0,0,0,0,0,2,1
36,32,이성우,LG,0.33299999999999996,6,2,0,0,0,0,0,0,0,0
37,32,박경수,KT,0.33299999999999996,54,18,5,0,1,8,5,4,18,1
38,32,박승욱,KT,0.33299999999999996,15,5,1,0,0,2,1,1,8,0
39,32,김태진,KIA,0.33299999999999996,51,17,1,0,0,7,1,1,5,1
40,32,김응민,삼성,0.33299999999999996,12,4,0,0,0,0,0,0,2,0
41,32,최인호,한화,0.33299999999999996,30,10,0,0,0,3,3,0,8,0
42,32,김재유,롯데,0.33299999999999996,33,11,0,0,1,4,5,1,8,0
43,44,알테어,NC,0.32899999999999996,70,23,4,1,4,16,8,2,18,1
44,44,강백호,KT,0.32899999999999996,70,23,3,0,2,14,10,2,12,0
45,46,서건창,키움,0.32799999999999996,58,19,7,0,0,2,12,1,6,0
46,47,한동희,롯데,0.324,68,22,4,0,0,7,12,0,15,2
47,48,페르난데스,두산,0.319,72,23,3,0,2,8,5,1,7,3
48,49,홍창기,LG,0.314,70,22,4,1,0,5,11,0,12,0
49,50,나지완,KIA,0.314,51,16,3,0,2,11,13,4,15,1
50,51,김하성,키움,0.309,68,21,3,0,2,12,8,1,12,1
51,52,신민재,LG,0.308,13,4,1,0,0,1,1,0,2,0
52,52,임종찬,한화,0.308,26,8,0,0,1,6,1,1,9,0
53,54,전준우,롯데,0.306,72,22,4,0,3,16,9,2,13,1
