,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
0,1,이동원,두산,0,0,0,0,2,0,0,0,0,-
1,1,차재용,키움,0,0,0,0,0,0,0,0,0,0.000
2,1,황윤호,KIA,0,0,0,0,0,0,0,0,0,0.000
3,4,박관진,키움,1,0,0,0,1,0,1,0,0,0.500
4,4,양선률,SK,1,0,0,1,2,0,0,0,0,0.333
5,4,류원석,LG,1,1,0,0,3,0,2,0,0,0.167
6,4,임형원,NC,1,0,0,0,0,0,0,0,0,1.000
7,4,김성훈,KT,1,0,0,0,4,0,3,0,0,0.125
8,4,김승범,KIA,1,0,0,0,2,0,0,1,0,0.333
9,4,노시환,한화,1,0,0,1,0,1,0,0,0,0.250
10,11,박주성,키움,2,0,0,0,3,0,1,0,0,0.250
11,11,이찬혁,LG,2,0,0,1,2,1,0,1,0,0.333
12,11,박세진,KT,2,0,0,0,1,1,0,0,0,0.667
13,11,안현준,KT,2,0,0,0,2,0,0,1,0,0.667
14,15,이주엽,두산,3,1,0,0,7,0,2,1,0,0.273
15,15,정용운,LG,3,1,0,0,1,0,3,0,0,0.375
16,15,한선태,LG,3,0,0,0,2,0,0,1,0,0.600
17,15,소이현,NC,3,1,0,0,3,1,3,0,0,0.136
18,15,손정욱,NC,3,1,0,0,2,1,1,0,0,0.231
19,15,이승헌,NC,3,0,0,1,1,1,2,0,0,0.500
20,15,차명진,KIA,3,0,0,0,0,2,0,0,0,0.750
21,15,한승주,한화,3,0,0,1,2,0,2,0,0,0.429
22,15,김유영,롯데,3,0,0,0,6,0,3,0,0,0.231
23,15,박명현,롯데,3,1,0,0,1,0,0,1,0,0.600
24,25,백청훈,LG,4,1,0,1,0,0,0,0,0,0.571
25,25,한승지,KT,4,1,0,0,1,1,0,0,0,1.000
26,25,정태승,롯데,4,1,0,1,2,0,1,0,0,0.500
27,28,최세창,두산,5,0,0,1,0,0,1,0,0,0.333
