,P_ID,year,month,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
0,63492,2020,7,67.50,7,2/3,4,2,1,0,1,5,5,67.50
1,63492,2020,8,-,6,0,4,0,1,0,0,6,5,135.00
2,77318,2020,5,6.93,128,2/3,34,2,18,4,31,21,19,6.93
3,77318,2020,6,4.85,62,13,19,3,7,0,15,7,7,6.21
4,77318,2020,7,2.78,143,2/3,22,3,15,1,36,11,11,4.54
5,77318,2020,8,4.95,86,20,22,2,9,0,10,11,11,4.63
6,77318,2020,9,4.44,117,1/3,29,1,13,1,15,15,13,4.59
7,67591,2020,5,13.50,22,4,6,2,4,0,4,6,6,13.50
8,67591,2020,6,0.00,4,1/3,0,0,0,0,1,0,0,10.13
9,67591,2020,7,4.76,25,2/3,7,1,2,0,3,3,3,7.36
10,73738,2020,5,4.32,36,1/3,10,1,2,0,6,4,4,4.32
11,73738,2020,6,12.71,31,2/3,11,1,2,0,6,10,8,7.71
12,73738,2020,7,0.00,8,2/3,1,0,0,2,2,0,0,6.89
13,73738,2020,8,11.57,36,7,13,3,5,0,7,9,9,8.34
14,73738,2020,9,1.59,20,2/3,4,0,1,0,3,1,1,6.99
15,61962,2020,7,12.00,20,3,7,1,4,0,3,4,4,12.00
16,69134,2020,7,3.60,19,5,3,1,1,1,4,2,2,3.60
17,69134,2020,8,3.09,50,2/3,9,2,7,0,17,5,4,3.24
18,69134,2020,9,5.19,36,2/3,9,3,0,1,8,5,5,3.91
19,69646,2020,8,3.12,40,2/3,7,0,8,1,7,3,3,3.12
20,69646,2020,9,11.88,44,1/3,17,2,6,1,2,11,11,7.41
21,78352,2020,5,14.73,22,2/3,6,1,4,0,5,7,6,14.73
22,78352,2020,6,5.68,29,1/3,5,0,3,1,7,5,4,9.00
23,78352,2020,7,27.00,7,1,2,0,2,0,1,3,3,10.64
24,78352,2020,8,0.00,25,7,3,0,2,0,6,0,0,6.50
25,78352,2020,9,0.87,44,1/3,9,1,4,0,14,1,1,4.45
26,50705,2020,6,0.00,11,2/3,1,0,2,0,4,0,0,0.00
27,50705,2020,7,2.70,59,1/3,12,0,5,0,20,6,4,2.25
28,50705,2020,8,2.31,48,2/3,9,1,5,0,12,3,3,2.28
29,50705,2020,9,3.00,48,12,11,1,3,0,10,4,4,2.50
30,61457,2020,5,0.00,22,1/3,5,0,1,1,2,1,0,0.00
31,61457,2020,6,4.50,29,6,7,2,3,2,5,4,3,2.38
32,61457,2020,8,6.75,12,2/3,5,0,1,0,2,2,2,3.21
33,61457,2020,9,0.00,17,4,2,0,1,2,3,0,0,2.50
34,67603,2020,5,7.83,104,23,29,5,9,1,16,20,20,7.83
35,67603,2020,6,1.86,119,29,28,0,7,2,16,7,6,4.50
36,67603,2020,7,16.20,46,1/3,16,3,5,0,7,16,15,6.12
37,67603,2020,8,2.19,100,2/3,19,3,10,0,17,6,6,4.98
38,67603,2020,9,3.00,41,9,11,1,2,1,4,5,3,4.79
39,64021,2020,5,6.50,87,18,22,2,11,2,12,15,13,6.50
40,64021,2020,6,5.46,120,28,32,6,5,0,24,17,17,5.87
41,64021,2020,7,3.15,92,20,20,3,10,1,18,9,7,5.05
42,64021,2020,8,2.76,119,1/3,28,2,8,0,20,10,9,4.34
43,64021,2020,9,4.18,121,28,35,4,7,3,21,16,13,4.31
44,63512,2020,5,1.86,39,2/3,8,1,4,0,12,2,2,1.86
45,63512,2020,6,6.75,45,1/3,14,1,3,1,15,7,7,4.26
46,63512,2020,7,6.75,33,8,11,3,1,0,5,6,6,5.00
47,63512,2020,8,6.23,41,2/3,12,0,3,2,9,6,6,5.30
48,63512,2020,9,0.00,10,1/3,2,0,0,0,4,0,0,4.97
49,65048,2020,5,15.00,36,6,18,2,1,0,6,10,10,15.00
50,65048,2020,6,3.71,115,2/3,32,1,7,1,13,13,11,5.79
51,65048,2020,7,6.88,79,17,23,3,8,0,10,13,13,6.16
52,65048,2020,8,5.00,86,18,27,2,4,1,12,16,10,5.85
53,65048,2020,9,6.52,87,1/3,25,5,7,1,11,14,14,6.00
54,65057,2020,7,0.00,3,1,0,0,0,0,0,0,0,0.00
55,65057,2020,8,1.80,24,5,7,0,2,0,4,2,1,1.50
56,65057,2020,9,18.00,11,2,3,0,2,0,3,4,4,5.63
57,65060,2020,5,2.70,57,1/3,13,2,4,0,10,4,4,2.70
58,65060,2020,6,3.00,59,15,10,2,4,0,11,6,5,2.86
59,65060,2020,7,6.23,41,2/3,9,0,5,0,5,6,6,3.65
60,65060,2020,8,0.00,35,8,4,0,6,1,3,2,0,3.00
61,65060,2020,9,2.08,35,2/3,6,1,6,0,3,2,2,2.85
62,65062,2020,5,5.40,38,1/3,9,1,5,0,4,5,5,5.40
63,65062,2020,6,7.20,49,10,18,3,1,0,9,8,8,6.38
64,65062,2020,7,2.89,36,1/3,8,1,1,0,16,3,3,5.20
65,65062,2020,8,0.68,53,1/3,11,0,4,0,15,1,1,3.73
66,65062,2020,9,0.00,30,1/3,3,0,1,0,5,1,0,3.10
67,69159,2020,5,0.71,45,2/3,5,0,4,0,7,1,1,0.71
68,69159,2020,6,5.84,59,1/3,11,2,5,4,8,8,8,3.24
69,69159,2020,7,2.70,53,1/3,11,0,3,0,10,4,4,3.05
70,69159,2020,8,1.38,50,13,7,0,3,3,14,2,2,2.63
71,69159,2020,9,7.27,40,2/3,7,0,6,2,5,7,7,3.30
72,68135,2020,5,4.60,121,1/3,27,3,7,0,21,16,15,4.60
73,68135,2020,6,4.30,101,23,24,1,11,1,16,11,11,4.47
74,68135,2020,7,3.72,128,29,34,3,9,1,23,17,12,4.20
75,68135,2020,8,3.52,130,2/3,26,4,10,4,27,15,12,4.02
76,68135,2020,9,4.50,112,26,35,0,1,2,15,14,13,4.11
77,76329,2020,5,3.27,48,11,10,0,5,0,10,6,4,3.27
78,76329,2020,6,6.23,24,1/3,8,0,4,0,6,3,3,4.11
79,76329,2020,7,4.32,32,1/3,7,0,0,2,7,4,4,4.18
80,76329,2020,8,7.27,43,2/3,12,2,5,0,8,7,7,5.01
81,76329,2020,9,5.06,24,1/3,5,0,3,0,8,3,3,5.02
82,64554,2020,6,5.40,35,1/3,7,2,4,1,4,5,5,5.40
83,64554,2020,7,2.25,40,8,5,0,11,0,5,3,2,3.86
84,64554,2020,8,10.80,8,2/3,0,0,2,1,0,2,2,4.50
85,64041,2020,9,108.00,5,1/3,2,0,2,0,0,4,4,108.00
86,64047,2020,6,2.89,37,1/3,8,1,4,0,5,3,3,2.89
87,64047,2020,7,2.89,36,1/3,4,0,4,1,5,3,3,2.89
88,64047,2020,8,3.00,51,12,12,0,3,0,8,4,4,2.93
89,64047,2020,9,5.40,27,5,7,0,5,0,7,3,3,3.28
90,67119,2020,5,6.75,7,1/3,2,0,0,1,2,1,1,6.75
91,67119,2020,7,11.57,28,2/3,11,1,2,0,1,8,6,10.50
92,67119,2020,8,0.82,40,11,3,0,4,0,14,1,1,4.24
93,67119,2020,9,3.52,37,2/3,9,0,5,1,12,3,3,4.01
94,66609,2020,5,0.00,44,12,4,0,4,0,15,1,0,0.00
95,66609,2020,6,2.25,49,12,10,1,5,0,16,4,3,1.13
96,66609,2020,7,3.12,37,2/3,5,1,6,0,13,4,3,1.65
97,66609,2020,8,6.43,36,7,11,1,4,0,11,10,5,2.50
98,66609,2020,9,3.38,23,1/3,5,1,2,0,6,2,2,2.60
99,64051,2020,5,7.56,40,1/3,12,2,3,1,7,7,7,7.56
100,64051,2020,6,3.12,31,2/3,5,1,2,0,5,3,3,5.29
101,64051,2020,7,1.04,38,2/3,9,1,5,0,8,1,1,3.86
102,64051,2020,8,6.75,41,1/3,10,1,2,1,9,7,7,4.63
103,64051,2020,9,5.40,26,5,5,0,7,0,3,3,3,4.73
104,64565,2020,5,1.17,25,2/3,4,0,0,1,4,1,1,1.17
105,64565,2020,6,2.70,43,10,12,0,2,0,4,3,3,2.04
106,64565,2020,7,3.86,42,1/3,12,0,3,0,3,4,4,2.67
107,64565,2020,8,7.94,28,2/3,11,1,2,0,1,6,5,3.58
108,64565,2020,9,3.86,24,2/3,7,0,2,0,4,3,2,3.62
109,63543,2020,5,0.73,41,1/3,4,1,1,0,10,1,1,0.73
110,63543,2020,6,3.97,43,1/3,8,3,3,0,10,6,5,2.28
111,63543,2020,7,2.53,41,2/3,7,1,5,0,13,3,3,2.36
112,63543,2020,8,5.19,37,2/3,9,1,4,0,5,5,5,2.93
113,63543,2020,9,7.11,31,1/3,7,1,5,0,7,5,5,3.47
114,76858,2020,5,7.94,24,2/3,6,3,1,0,8,5,5,7.94
115,76858,2020,6,2.70,26,2/3,6,1,1,0,7,2,2,5.11
116,76858,2020,7,11.57,28,2/3,11,0,4,0,4,6,6,6.88
117,76858,2020,8,0.00,8,2,1,0,0,0,0,0,0,6.16
118,76858,2020,9,3.18,26,2/3,4,0,4,0,7,3,2,5.47
119,50234,2020,5,2.61,126,31,24,2,13,1,28,11,9,2.61
120,50234,2020,6,4.71,92,21,24,1,4,0,22,11,11,3.46
121,50234,2020,7,5.25,52,12,13,0,4,0,9,7,7,3.80
122,50234,2020,9,4.50,60,14,11,2,6,0,24,9,7,3.92
123,76350,2020,5,9.00,7,1,2,0,2,0,0,1,1,9.00
124,76350,2020,7,10.00,42,9,12,3,4,0,7,10,10,9.90
125,76350,2020,8,2.45,48,11,10,2,7,0,12,3,3,6.00
126,76350,2020,9,12.00,31,6,8,1,4,1,4,9,8,7.33
127,67646,2020,5,10.50,35,6,11,3,6,1,4,7,7,10.50
128,67646,2020,6,17.18,19,2/3,6,2,3,1,3,7,7,13.03
129,67646,2020,9,0.00,5,1,0,0,2,0,1,0,0,11.81
130,62528,2020,5,0.87,38,1/3,5,1,3,0,7,2,1,0.87
131,62528,2020,6,1.00,32,9,6,0,0,0,6,1,1,0.93
132,62528,2020,7,4.15,38,2/3,9,3,4,0,9,6,4,1.93
133,62528,2020,8,0.96,35,1/3,6,0,1,0,9,1,1,1.69
134,62528,2020,9,11.74,40,2/3,13,2,5,0,11,10,10,3.40
135,76355,2020,5,15.00,18,3,10,0,1,0,0,5,5,15.00
136,76355,2020,7,6.38,79,1/3,19,4,5,1,7,16,13,7.59
137,76355,2020,8,9.00,23,4,6,0,3,2,3,4,4,7.82
138,76355,2020,9,7.27,40,2/3,14,2,1,0,5,7,7,7.68
139,73801,2020,5,6.75,52,2/3,18,2,3,1,1,8,8,6.75
140,73801,2020,6,9.53,31,2/3,10,0,3,1,4,6,6,7.71
141,73801,2020,7,4.50,10,2,3,0,3,0,2,1,1,7.36
142,73801,2020,8,2.30,57,2/3,10,1,2,0,11,4,4,5.03
143,73801,2020,9,7.71,45,1/3,12,1,4,1,2,9,8,5.61
144,75340,2020,5,5.40,29,2/3,6,1,4,0,2,4,4,5.40
145,75340,2020,6,8.31,21,1/3,8,0,1,0,4,4,4,6.55
146,75340,2020,7,5.63,35,8,7,1,5,0,3,5,5,6.16
147,75340,2020,8,3.00,25,6,7,0,2,0,1,2,2,5.40
148,75340,2020,9,5.19,36,2/3,7,0,5,1,7,5,5,5.35
149,75342,2020,6,6.35,25,2/3,6,0,2,0,0,4,4,6.35
150,75342,2020,7,0.00,42,1/3,6,0,1,0,4,0,0,2.00
151,75342,2020,8,2.31,49,2/3,9,2,3,1,10,6,3,2.12
152,75342,2020,9,3.24,34,1/3,9,0,1,0,7,3,3,2.37
153,65616,2020,5,3.23,125,2/3,23,0,11,1,23,14,11,3.23
154,65616,2020,6,9.00,70,15,21,3,4,2,7,16,15,5.12
155,65616,2020,7,5.32,94,22,26,3,7,1,11,13,13,5.19
156,65616,2020,8,7.13,115,24,32,5,12,2,18,21,19,5.69
157,65616,2020,9,7.20,47,10,11,0,7,0,7,9,8,5.84
158,79440,2020,9,8.44,26,1/3,5,1,4,1,3,5,5,8.44
159,64596,2020,6,-,1,0,0,0,1,0,0,0,0,0.00
160,64596,2020,7,8.10,18,1/3,3,0,5,0,3,3,3,8.10
161,69205,2020,6,15.43,14,1/3,3,1,3,0,1,5,4,15.43
162,69205,2020,8,4.50,10,2,3,0,1,0,2,1,1,10.38
163,50262,2020,8,3.38,12,2/3,2,0,3,0,2,1,1,3.38
164,50262,2020,9,27.00,7,2/3,1,0,4,0,0,2,2,8.10
165,75867,2020,6,13.50,11,2,5,1,0,0,4,3,3,13.50
166,75867,2020,7,3.18,24,2/3,6,1,1,0,7,2,2,5.87
167,75867,2020,8,4.76,54,1/3,16,2,3,0,18,7,6,5.21
168,75867,2020,9,0.00,47,1/3,4,0,2,0,18,1,0,2.97
169,67164,2020,7,13.50,9,1/3,2,1,2,1,0,2,2,13.50
170,65117,2020,5,1.46,46,1/3,8,1,5,0,8,2,2,1.46
171,65117,2020,6,16.20,26,1/3,8,0,7,1,3,6,6,4.60
172,65117,2020,7,11.81,31,1/3,12,1,3,0,1,7,7,6.43
173,68701,2020,7,4.50,54,12,14,3,8,2,12,6,6,4.50
174,68701,2020,8,6.35,53,1/3,15,3,3,2,6,8,8,5.40
175,68701,2020,9,4.70,68,1/3,15,0,8,0,8,9,8,5.12
176,68703,2020,5,6.75,14,2/3,5,0,0,0,4,3,2,6.75
177,68703,2020,8,12.91,38,2/3,11,4,6,0,5,11,11,11.32
178,66145,2020,5,7.71,24,2/3,6,2,5,0,3,6,4,7.71
179,66145,2020,6,3.97,49,1/3,7,1,8,0,11,5,5,5.06
180,66145,2020,7,9.82,38,1/3,14,3,2,0,8,8,8,6.56
181,66145,2020,8,2.45,15,2/3,3,0,1,0,3,1,1,6.00
182,66145,2020,9,5.06,32,1/3,7,0,7,1,3,4,3,5.85
183,66660,2020,8,3.12,42,2/3,9,1,6,1,6,8,3,3.12
184,66660,2020,9,13.50,5,2/3,2,0,1,0,0,1,1,3.86
185,65639,2020,7,2.84,24,1/3,4,0,4,1,4,2,2,2.84
186,65639,2020,8,1.04,34,2/3,3,1,8,1,6,1,1,1.80
187,65639,2020,9,3.18,29,2/3,5,0,4,3,7,2,2,2.18
188,62056,2020,5,3.38,21,1/3,3,0,2,0,5,2,2,3.38
189,62056,2020,6,12.46,23,1/3,8,5,2,1,2,6,6,7.45
190,62056,2020,7,5.40,29,2/3,7,1,1,1,7,4,4,6.61
191,62056,2020,8,5.40,17,1/3,4,0,2,1,2,2,2,6.41
192,62056,2020,9,7.36,24,2/3,9,0,4,0,1,6,3,6.56
193,74857,2020,5,1.42,25,1/3,5,0,0,1,6,1,1,1.42
194,74857,2020,6,7.36,32,1/3,9,0,1,1,11,6,6,4.61
195,74857,2020,7,3.48,39,1/3,7,0,2,2,9,4,4,4.13
196,74857,2020,8,5.19,40,2/3,13,1,4,0,3,5,5,4.41
197,74857,2020,9,5.59,44,2/3,12,0,3,0,13,6,6,4.68
198,68200,2020,5,-,7,0,5,0,1,1,0,7,7,0.00
