,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
0,1,이창재,KT,0,0,0,0,0,0,0,0,0,0.0
1,1,윤호솔,한화,0,0,0,0,2,0,1,1,0,0.0
2,3,권혁,두산,1,0,1,0,0,0,0,0,0,1.0
3,3,이승진,두산,1,0,0,0,0,0,0,0,0,0.5
4,3,이우찬,LG,1,0,0,0,1,0,0,0,0,1.0
5,3,정용운,LG,1,0,0,0,0,0,2,0,0,0.2
6,3,안영명,한화,1,0,0,0,0,2,2,0,0,0.16699999999999998
7,8,김민규,두산,2,1,0,0,1,0,0,0,0,0.222
8,8,김선기,키움,2,0,0,0,1,1,0,0,0,0.4
9,8,박주성,키움,2,0,0,0,3,0,1,0,0,0.25
10,8,김찬호,SK,2,0,0,0,1,0,1,0,0,0.5
11,8,김윤식,LG,2,1,0,0,0,0,2,0,0,0.222
12,8,이찬혁,LG,2,0,0,1,2,1,0,1,0,0.33299999999999996
13,8,신민혁,NC,2,0,0,1,0,0,2,0,0,0.222
14,8,임창민,NC,2,1,0,0,2,0,1,0,0,0.5
15,8,김민,KT,2,0,0,0,1,0,3,0,0,0.14300000000000002
16,8,손동현,KT,2,0,0,1,2,0,2,1,0,0.2
17,8,권오준,삼성,2,0,0,1,0,0,1,0,0,0.4
18,8,임준섭,한화,2,0,0,0,1,0,0,0,0,0.4
19,8,김건국,롯데,2,1,0,0,0,0,1,0,0,0.25
20,8,김대우,롯데,2,0,0,0,4,0,7,1,0,0.11800000000000001
21,22,문대원,두산,3,0,0,2,1,0,0,0,0,0.5
22,22,조영건,키움,3,1,0,0,1,1,1,0,0,0.375
23,22,서동민,SK,3,0,0,1,0,0,0,0,0,0.429
24,22,송은범,LG,3,0,0,0,3,0,2,0,0,0.429
25,22,이정용,LG,3,0,0,1,1,1,4,0,0,0.17600000000000002
26,22,문경찬,NC,3,0,1,1,2,1,3,0,0,0.273
27,22,임정호,NC,3,0,0,0,1,1,2,0,0,0.125
28,22,홍정우,삼성,3,0,0,0,1,0,4,0,0,0.16699999999999998
29,22,김유영,롯데,3,0,0,0,5,0,3,0,0,0.231
30,31,김명신,두산,4,1,0,0,1,0,2,0,0,0.5
31,31,김동혁,키움,4,0,1,0,1,0,5,1,0,0.28600000000000003
32,31,신재영,키움,4,1,0,1,0,0,0,0,0,0.5710000000000001
33,31,김태훈,SK,4,1,0,0,3,0,0,0,0,0.5
34,31,김택형,SK,4,0,0,1,1,0,4,2,0,0.28600000000000003
35,31,백청훈,LG,4,1,0,1,0,0,0,0,0,0.5710000000000001
36,31,박정수,NC,4,2,1,0,4,1,4,0,0,0.21100000000000002
37,31,이상화,KT,4,1,0,1,5,0,1,0,0,0.25
38,31,조현우,KT,4,1,0,0,4,1,5,0,0,0.133
39,31,한승지,KT,4,1,0,0,1,1,0,0,0,1.0
40,31,서덕원,KIA,4,0,0,1,2,1,2,0,0,0.267
41,31,노성호,삼성,4,0,0,1,5,0,6,1,0,0.174
42,31,이재익,삼성,4,1,0,2,1,0,1,0,0,0.667
43,31,송윤준,한화,4,1,0,0,2,1,8,2,0,0.16
44,31,오현택,롯데,4,2,0,0,4,0,2,1,0,0.25
45,31,정태승,롯데,4,1,0,1,2,0,1,0,0,0.5
46,47,이형범,두산,5,1,0,0,4,1,6,0,0,0.161
47,47,김상수,키움,5,2,0,0,3,0,5,0,0,0.152
48,47,박승주,키움,5,0,0,0,3,0,1,0,0,0.5
49,47,박민호,SK,5,1,0,0,4,0,6,0,0,0.23800000000000002
50,47,강동연,NC,5,1,0,1,4,1,9,0,0,0.16699999999999998
51,47,박진우,NC,5,0,0,0,2,2,3,0,0,0.16699999999999998
52,47,전상현,KIA,5,0,0,1,6,0,13,0,0,0.16699999999999998
53,47,장필준,삼성,5,0,0,1,1,0,0,0,0,0.313
