,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
0,1,이상동,KT,0,0,0,0,1,0,0,0,0,0.0
1,1,박진태,KIA,0,0,0,0,2,0,1,0,0,0.0
2,1,서덕원,KIA,0,0,0,0,0,0,0,0,0,0.0
3,4,이주엽,두산,1,1,0,0,4,0,0,0,0,0.5
4,4,안우진,키움,1,0,0,1,1,0,2,0,0,0.125
5,4,김찬호,SK,1,0,0,0,2,0,0,0,0,1.0
6,4,양선률,SK,1,0,0,1,2,0,0,0,0,0.33299999999999996
7,4,성재헌,LG,1,0,0,0,0,1,1,0,0,0.33299999999999996
8,4,김건태,NC,1,0,0,0,4,0,4,0,0,0.055999999999999994
9,4,박준표,KIA,1,0,0,0,2,0,2,1,0,0.125
10,4,임현준,삼성,1,0,0,0,1,2,2,0,0,0.1
11,4,장지훈,삼성,1,0,0,0,0,0,1,0,0,0.25
12,4,고효준,롯데,1,0,0,0,1,0,3,0,0,0.083
13,4,한승혁,롯데,1,1,0,0,0,0,0,0,0,0.5
14,15,윤명준,두산,2,0,0,0,2,0,1,0,0,0.2
15,15,채지선,두산,2,0,0,0,3,0,2,2,0,0.33299999999999996
16,15,서동민,SK,2,1,0,0,0,0,1,0,0,0.4
17,15,이호중,NC,2,0,0,0,2,1,3,0,0,0.14300000000000002
18,15,안현준,KT,2,0,0,0,2,0,0,1,0,0.667
19,15,남재현,KIA,2,0,0,0,1,0,0,0,0,0.667
20,15,박진형,롯데,2,0,0,0,0,0,1,1,0,0.28600000000000003
21,22,김강률,두산,3,0,0,0,2,0,3,0,0,0.273
22,22,이형범,두산,3,0,0,1,1,0,1,0,0,0.33299999999999996
23,22,김정빈,SK,3,1,0,0,3,0,2,0,0,0.375
24,22,김택형,SK,3,0,0,1,4,0,5,0,0,0.214
25,22,신재웅,SK,3,0,0,0,5,0,1,0,0,0.188
26,22,배재환,NC,3,1,0,0,6,1,3,1,1,0.25
27,22,소이현,NC,3,1,0,0,3,1,3,0,0,0.136
28,22,김재윤,KT,3,1,0,0,1,0,4,0,0,0.125
29,22,이창재,KT,3,2,0,0,2,0,3,0,0,0.33299999999999996
30,22,조현우,KT,3,0,0,0,2,0,7,0,0,0.188
31,22,이승현,삼성,3,2,0,1,2,0,5,1,0,0.13
32,22,홍정우,삼성,3,0,0,0,2,0,3,0,0,0.25
33,22,송승준,롯데,3,2,0,0,1,1,1,0,0,0.75
