,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
0,1,서건창,키움,110,31,23,8,74.2,8,1
1,2,심우준,KT,112,33,22,11,66.7,3,1
2,3,김혜성,키움,116,28,21,7,75.0,2,3
3,4,박해민,삼성,102,29,20,9,69.0,3,2
4,5,김하성,키움,113,19,19,0,100.0,5,0
5,5,오지환,LG,111,23,19,4,82.6,8,1
6,5,김지찬,삼성,105,22,19,3,86.4,1,1
7,8,알테어,NC,105,21,18,3,85.7,1,1
8,8,배정대,KT,112,28,18,10,64.3,4,1
9,10,이용규,한화,98,23,15,8,65.2,4,1
10,11,최지훈,SK,98,17,14,3,82.4,3,2
11,11,구자욱,삼성,90,18,14,4,77.8,3,2
12,11,안치홍,롯데,103,17,14,3,82.4,4,0
13,14,박민우,NC,93,18,13,5,72.2,3,1
14,14,박찬호,KIA,109,20,13,7,65.0,3,0
15,16,이유찬,두산,79,14,11,3,78.6,2,0
16,16,정수빈,두산,110,17,11,6,64.7,5,0
17,16,허경민,두산,86,16,11,5,68.8,3,0
18,16,이명기,NC,105,15,11,4,73.3,4,1
19,16,마차도,롯데,111,11,11,0,100.0,6,0
20,21,이정후,키움,116,11,10,1,90.9,3,0
21,21,조용호,KT,101,13,10,3,76.9,4,1
22,21,황재균,KT,102,15,10,5,66.7,1,1
23,21,최원준,KIA,90,11,10,1,90.9,2,2
24,21,김상수,삼성,93,13,10,3,76.9,4,0
25,21,김재유,롯데,49,11,10,1,90.9,1,0
26,21,민병헌,롯데,93,16,10,6,62.5,2,0
27,28,오재원,두산,74,13,9,4,69.2,3,1
28,28,김성욱,NC,75,14,9,5,64.3,1,0
29,30,박정음,키움,71,8,8,0,100.0,0,1
30,30,정주현,LG,105,13,8,5,61.5,6,1
31,30,강진성,NC,93,9,8,1,88.9,3,1
32,30,노수광,한화,75,15,8,7,53.3,4,0
33,30,정진호,한화,83,13,8,5,61.5,2,0
34,30,김동한,롯데,64,11,8,3,72.7,3,0
35,36,오태곤,SK,69,10,7,3,70.0,0,1
36,36,정진기,SK,50,8,7,1,87.5,1,1
37,36,최정,SK,108,10,7,3,70.0,3,2
38,36,이천웅,LG,71,12,7,5,58.3,6,0
39,36,정근우,LG,63,9,7,2,77.8,2,0
40,36,정훈,롯데,80,8,7,1,87.5,2,0
41,42,김재환,두산,109,6,6,0,100.0,2,0
42,42,박건우,두산,106,8,6,2,75.0,4,0
43,42,전병우,키움,95,6,6,0,100.0,2,0
44,42,홍창기,LG,105,9,6,3,66.7,4,0
45,42,이상호,NC,55,8,6,2,75.0,0,1
46,42,김민혁,KT,82,9,6,3,66.7,2,0
47,42,김헌곤,삼성,73,11,6,5,54.5,2,0
48,42,살라디노,삼성,44,7,6,1,85.7,2,1
49,42,이학주,삼성,64,8,6,2,75.0,2,1
50,51,김재호,두산,90,7,5,2,71.4,6,0
51,51,김창평,SK,19,5,5,0,100.0,0,0
52,51,손호영,LG,21,5,5,0,100.0,1,0
53,51,양의지,NC,99,7,5,2,71.4,3,0
54,51,박승욱,KT,71,6,5,1,83.3,1,1
55,51,박찬도,삼성,51,6,5,1,83.3,3,0
56,51,호잉,한화,34,8,5,3,62.5,2,0
57,58,박준태,키움,102,4,4,0,100.0,2,3
58,58,김강민,SK,95,7,4,3,57.1,1,1
59,58,김용의,LG,81,6,4,2,66.7,1,0
60,58,최정원,NC,27,4,4,0,100.0,0,1
61,58,강백호,KT,97,6,4,2,66.7,9,0
62,58,박승규,삼성,75,9,4,5,44.4,1,0
63,58,손아섭,롯데,108,4,4,0,100.0,2,0
64,58,전준우,롯데,110,8,4,4,50.0,5,0
65,66,임병욱,키움,12,3,3,0,100.0,0,0
66,66,로맥,SK,112,4,3,1,75.0,3,0
67,66,신민재,LG,51,5,3,2,60.0,1,0
68,66,김호령,KIA,66,6,3,3,50.0,1,0
69,66,김동엽,삼성,84,5,3,2,60.0,0,1
70,66,하주석,한화,69,4,3,1,75.0,3,0
71,72,박세혁,두산,94,5,2,3,40.0,4,0
72,72,최주환,두산,111,4,2,2,50.0,3,0
73,72,러셀,키움,43,2,2,0,100.0,2,0
74,72,한동민,SK,62,2,2,0,100.0,2,0
75,72,김민성,LG,57,2,2,0,100.0,2,0
76,72,라모스,LG,108,2,2,0,100.0,4,0
77,72,권희동,NC,93,2,2,0,100.0,0,0
78,72,나성범,NC,98,3,2,1,66.7,1,0
79,72,송민섭,KT,87,3,2,1,66.7,2,0
80,72,김태진,KIA,50,5,2,3,40.0,2,0
81,72,황윤호,KIA,25,2,2,0,100.0,0,0
82,72,박계범,삼성,61,4,2,2,50.0,2,0
83,72,이성곤,삼성,60,2,2,0,100.0,2,1
84,72,이성규,삼성,71,3,2,1,66.7,2,0
85,72,장진혁,한화,19,3,2,1,66.7,1,1
86,72,강로한,롯데,16,3,2,1,66.7,0,1
