,year,month,day,team_visit,team_home
0,2020,7,1,한화,KIA
1,2020,7,1,KT,LG
2,2020,7,1,롯데,NC
3,2020,7,1,두산,키움
4,2020,7,1,SK,삼성
5,2020,7,2,한화,KIA
6,2020,7,2,KT,LG
7,2020,7,2,롯데,NC
8,2020,7,2,두산,키움
9,2020,7,2,SK,삼성
10,2020,7,3,한화,두산
11,2020,7,3,KIA,NC
12,2020,7,3,LG,삼성
13,2020,7,3,SK,롯데
14,2020,7,3,키움,KT
15,2020,7,4,한화,두산
16,2020,7,4,KIA,NC
17,2020,7,4,LG,삼성
18,2020,7,4,SK,롯데
19,2020,7,4,키움,KT
20,2020,7,5,한화,두산
21,2020,7,5,KIA,NC
22,2020,7,5,LG,삼성
23,2020,7,5,SK,롯데
24,2020,7,5,키움,KT
25,2020,7,7,KT,KIA
26,2020,7,7,LG,두산
27,2020,7,7,롯데,한화
28,2020,7,7,NC,SK
29,2020,7,7,삼성,키움
30,2020,7,8,KT,KIA
31,2020,7,8,LG,두산
32,2020,7,8,롯데,한화
33,2020,7,8,NC,SK
34,2020,7,8,삼성,키움
35,2020,7,9,KT,KIA
36,2020,7,9,LG,두산
37,2020,7,9,롯데,한화
38,2020,7,9,NC,SK
39,2020,7,9,삼성,키움
40,2020,7,10,NC,LG
41,2020,7,10,두산,롯데
42,2020,7,10,SK,한화
43,2020,7,10,삼성,KT
44,2020,7,10,키움,KIA
45,2020,7,11,NC,LG
46,2020,7,11,두산,롯데
47,2020,7,11,SK,한화
48,2020,7,11,삼성,KT
49,2020,7,11,키움,KIA
50,2020,7,13,SK,한화
51,2020,7,13,키움,KIA
52,2020,7,14,한화,KT
53,2020,7,14,KIA,삼성
54,2020,7,14,LG,롯데
55,2020,7,14,NC,키움
56,2020,7,14,SK,두산
57,2020,7,15,한화,KT
58,2020,7,15,KIA,삼성
59,2020,7,15,LG,롯데
60,2020,7,15,NC,키움
61,2020,7,15,SK,두산
62,2020,7,16,한화,KT
63,2020,7,16,KIA,삼성
64,2020,7,16,LG,롯데
65,2020,7,16,NC,키움
66,2020,7,16,SK,두산
67,2020,7,17,한화,LG
68,2020,7,17,KT,NC
69,2020,7,17,롯데,삼성
70,2020,7,17,두산,KIA
71,2020,7,17,키움,SK
72,2020,7,18,한화,LG
73,2020,7,18,KT,NC
74,2020,7,18,롯데,삼성
75,2020,7,18,두산,KIA
76,2020,7,18,키움,SK
77,2020,7,19,한화,LG
78,2020,7,19,KT,NC
79,2020,7,19,롯데,삼성
80,2020,7,19,두산,KIA
81,2020,7,19,키움,SK
82,2020,7,21,KIA,한화
83,2020,7,21,LG,KT
84,2020,7,21,롯데,SK
85,2020,7,21,삼성,NC
86,2020,7,21,키움,두산
87,2020,7,22,KIA,한화
88,2020,7,24,LG,두산
89,2020,7,24,롯데,키움
90,2020,7,24,NC,KT
91,2020,7,24,SK,한화
92,2020,7,25,LG,두산
93,2020,7,25,롯데,키움
94,2020,7,25,NC,KT
95,2020,7,25,삼성,KIA
96,2020,7,26,LG,두산
97,2020,7,26,롯데,키움
98,2020,7,26,NC,KT
99,2020,7,26,SK,한화
100,2020,7,26,삼성,KIA
101,2020,7,27,SK,한화
102,2020,7,28,LG,SK
103,2020,7,28,NC,롯데
104,2020,7,28,키움,두산
105,2020,7,29,한화,삼성
106,2020,7,29,LG,SK
107,2020,7,30,한화,삼성
108,2020,7,30,KT,KIA
109,2020,7,30,LG,SK
110,2020,7,30,키움,두산
111,2020,7,31,한화,LG
112,2020,7,31,KIA,롯데
113,2020,7,31,두산,NC
114,2020,7,31,SK,KT
115,2020,7,31,키움,삼성
116,2020,8,1,한화,LG
117,2020,8,1,KIA,롯데
118,2020,8,1,두산,NC
119,2020,8,1,SK,KT
120,2020,8,1,키움,삼성
121,2020,8,2,KIA,롯데
122,2020,8,2,두산,NC
123,2020,8,2,키움,삼성
124,2020,8,4,KT,키움
125,2020,8,4,LG,KIA
126,2020,8,4,롯데,SK
127,2020,8,4,삼성,두산
128,2020,8,5,KT,키움
129,2020,8,5,LG,KIA
130,2020,8,5,NC,한화
131,2020,8,5,삼성,두산
132,2020,8,6,KT,키움
133,2020,8,6,LG,KIA
134,2020,8,6,롯데,SK
135,2020,8,6,NC,한화
136,2020,8,6,삼성,두산
137,2020,8,7,LG,키움
138,2020,8,7,롯데,두산
139,2020,8,7,삼성,SK
140,2020,8,8,LG,키움
141,2020,8,8,롯데,두산
142,2020,8,8,NC,KIA
143,2020,8,8,삼성,SK
144,2020,8,9,KT,한화
145,2020,8,9,LG,키움
146,2020,8,9,NC,KIA
147,2020,8,11,한화,키움
148,2020,8,11,KIA,LG
149,2020,8,11,두산,삼성
150,2020,8,11,SK,KT
151,2020,8,12,한화,키움
152,2020,8,12,KIA,LG
