,year,month,day,team_visit,team_home,구장,score
0,2020,7,1,한화,KIA,광주,3:4
1,2020,7,1,KT,LG,잠실,11:5
2,2020,7,1,롯데,NC,창원,2:6
3,2020,7,1,두산,키움,고척,14:5
4,2020,7,1,SK,삼성,대구,1:7
5,2020,7,2,한화,KIA,광주,1:7
6,2020,7,2,KT,LG,잠실,4:3
7,2020,7,2,롯데,NC,창원,7:9
8,2020,7,2,두산,키움,고척,7:10
9,2020,7,2,SK,삼성,대구,2:6
10,2020,7,3,한화,두산,잠실,1:2
11,2020,7,3,KIA,NC,창원,8:2
12,2020,7,3,LG,삼성,대구,7:9
13,2020,7,3,SK,롯데,사직,7:4
14,2020,7,3,키움,KT,수원,2:3
15,2020,7,4,한화,두산,잠실,6:2
16,2020,7,4,KIA,NC,창원,2:9
17,2020,7,4,LG,삼성,대구,6:7
18,2020,7,4,SK,롯데,사직,4:10
19,2020,7,4,키움,KT,수원,10:6
20,2020,7,5,한화,두산,잠실,4:7
21,2020,7,5,KIA,NC,창원,6:7
22,2020,7,5,LG,삼성,대구,7:3
23,2020,7,5,SK,롯데,사직,6:3
24,2020,7,5,키움,KT,수원,5:10
25,2020,7,7,KT,KIA,광주,8:2
26,2020,7,7,LG,두산,잠실,6:9
27,2020,7,7,롯데,한화,대전,6:7
28,2020,7,7,NC,SK,문학,5:4
29,2020,7,7,삼성,키움,고척,13:2
30,2020,7,8,KT,KIA,광주,7:4
31,2020,7,8,LG,두산,잠실,8:5
32,2020,7,8,롯데,한화,대전,6:2
33,2020,7,8,NC,SK,문학,2:3
34,2020,7,8,삼성,키움,고척,6:7
35,2020,7,9,KT,KIA,광주,4:10
36,2020,7,9,LG,두산,잠실,0:6
37,2020,7,9,롯데,한화,대전,5:3
38,2020,7,9,NC,SK,문학,8:2
39,2020,7,9,삼성,키움,고척,2:4
40,2020,7,10,NC,LG,잠실,12:2
41,2020,7,10,두산,롯데,사직,10:5
42,2020,7,10,SK,한화,대전,5:6
43,2020,7,10,삼성,KT,수원,3:8
44,2020,7,10,키움,KIA,광주,8:9
45,2020,7,11,NC,LG,잠실,6:6
46,2020,7,11,두산,롯데,사직,4:5
47,2020,7,11,SK,한화,대전,5:3
48,2020,7,11,삼성,KT,수원,7:10
49,2020,7,11,키움,KIA,광주,3:8
50,2020,7,13,SK,한화,대전,2:4
51,2020,7,13,키움,KIA,광주,3:13
52,2020,7,14,한화,KT,수원,2:7
53,2020,7,14,KIA,삼성,대구,0:5
54,2020,7,14,LG,롯데,사직,0:5
55,2020,7,14,NC,키움,고척,1:5
56,2020,7,14,SK,두산,잠실,12:7
57,2020,7,15,한화,KT,수원,7:3
