year,month,T_ID,P_ID,START_CK,RELIEF_CK,CG_CK,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,VS_T_ID_HH,VS_T_ID_HT,VS_T_ID_KT,VS_T_ID_LG,VS_T_ID_LT,VS_T_ID_NC,VS_T_ID_OB,VS_T_ID_SK,VS_T_ID_SS,VS_T_ID_WO,TB_SC_B,TB_SC_T,WLS_D,WLS_L,WLS_ND,WLS_S,WLS_W
2016,4,HH,60757,0,8,0,0,30,195,48,43,16,3,0,2,1,0,0,0,5,0,0,9,1,1,0,0,8,8,0,0,0,1,0,2,3,0,0,2,6,2,0,0,8,0,0
2016,4,HH,60764,1,1,0,0,2,48,8,2,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,5,5,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0
2016,4,HH,60768,2,0,0,0,24,123,35,31,8,1,0,2,1,0,1,0,2,0,1,2,1,0,0,0,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0
2016,4,HH,63791,0,10,0,0,32,181,45,40,9,2,0,0,0,1,0,0,5,0,0,11,0,1,0,0,5,5,0,0,0,1,1,2,4,0,0,2,5,5,0,0,10,0,0
2016,4,HH,65764,3,1,0,0,22,192,44,35,15,2,0,2,3,1,1,0,8,0,0,6,0,1,0,1,14,13,0,0,0,1,1,1,1,0,0,0,1,3,0,3,1,0,0
2016,4,HH,66741,2,2,0,0,14,105,28,18,7,2,0,1,1,2,0,0,7,0,3,1,0,0,0,0,7,7,0,0,0,1,0,1,1,0,0,1,2,2,0,0,4,0,0
2016,4,HH,66748,5,0,0,0,69,472,114,93,26,1,0,4,9,1,2,1,17,0,1,20,1,4,0,2,21,14,0,1,0,1,1,1,0,0,0,1,3,2,0,2,1,0,2
2016,4,HH,71260,0,7,0,0,27,169,44,36,12,2,1,2,1,0,0,1,6,1,1,5,2,0,0,0,7,6,0,0,0,2,1,1,2,0,0,1,3,4,0,1,6,0,0
2016,4,HH,72447,0,15,0,4,57,339,85,68,16,3,0,2,4,1,4,0,11,3,2,13,3,1,0,1,9,7,0,2,0,3,2,1,3,0,2,2,8,7,0,0,14,0,1
2016,4,HH,73738,0,1,0,0,2,14,5,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2016,4,HH,73750,0,9,0,3,24,120,32,28,6,0,0,1,0,0,0,0,2,0,2,4,1,0,0,0,3,3,0,2,0,1,2,0,2,0,2,0,5,4,0,0,8,0,1
2016,4,HH,73801,6,0,0,0,75,444,111,97,28,4,1,5,4,2,0,1,12,0,1,21,1,3,0,0,18,18,0,1,0,2,0,0,2,0,0,1,4,2,0,4,2,0,0
2016,4,HH,74167,3,0,0,0,36,198,51,42,9,2,0,0,0,2,1,0,8,0,0,14,2,0,0,2,6,3,0,0,0,0,1,0,1,0,1,0,1,2,0,1,2,0,0
2016,4,HH,74731,1,11,0,0,56,400,96,78,23,2,0,5,2,1,0,2,15,0,1,18,0,4,0,0,20,17,0,2,0,2,2,1,3,0,1,1,6,6,0,1,11,0,0
2016,4,HH,74857,0,10,0,0,43,202,50,47,6,4,0,0,0,1,1,1,1,0,0,19,0,0,0,0,3,2,0,2,0,2,2,1,1,0,1,1,5,5,0,0,7,3,0
2016,4,HH,78760,0,5,0,0,7,34,11,9,4,3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,4,4,0,0,0,0,0,2,1,0,0,2,3,2,0,0,5,0,0
2016,4,HH,79764,0,12,0,0,54,368,84,68,19,3,1,1,1,2,1,0,13,0,2,17,2,1,0,2,7,7,0,0,0,3,1,2,3,0,1,2,7,5,0,1,11,0,0
2016,4,HH,99737,0,13,0,0,47,286,68,55,14,2,1,2,0,3,2,1,9,2,1,16,2,2,0,0,9,8,0,1,0,2,2,1,3,0,2,2,8,5,0,1,10,0,2
2016,4,HT,60634,0,6,0,1,23,126,33,25,6,2,0,0,0,0,2,0,6,1,0,6,0,1,0,1,3,3,1,0,0,0,1,0,1,1,2,0,3,3,0,0,5,1,0
2016,4,HT,60636,0,10,0,3,23,142,32,28,6,0,0,1,0,0,0,0,4,0,0,7,1,0,0,0,5,5,0,0,2,2,0,1,0,2,2,1,5,5,0,0,9,0,1
2016,4,HT,61643,0,8,0,0,40,209,57,51,12,2,0,2,1,0,0,0,6,0,0,15,2,0,0,0,4,4,1,0,2,0,1,0,1,1,2,0,3,5,0,0,7,1,0
2016,4,HT,61666,0,1,0,0,3,29,7,3,1,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2016,4,HT,62648,0,9,0,2,28,180,44,37,11,4,0,1,1,0,0,0,7,0,0,10,1,1,0,0,5,4,1,0,2,1,2,0,0,2,1,0,2,7,0,0,8,1,0
2016,4,HT,63638,0,2,0,0,4,36,11,7,3,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0
2016,4,HT,65696,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2016,4,HT,66628,5,1,0,0,96,568,142,124,32,4,0,6,3,2,3,0,15,0,0,32,1,2,0,0,16,15,0,0,0,1,1,1,1,1,1,0,3,3,0,4,0,0,2
2016,4,HT,66643,5,0,0,0,94,528,141,127,40,7,0,1,3,2,2,2,9,0,1,20,2,0,0,0,18,17,1,0,1,0,0,1,0,0,1,1,2,3,0,1,2,0,2
2016,4,HT,70142,0,6,0,3,15,108,24,23,9,1,0,1,0,1,0,0,1,0,0,5,0,0,0,0,3,3,1,0,0,1,1,0,0,2,1,0,2,4,0,0,6,0,0
