"","year","month","T_ID","P_ID","START_CK","RELIEF_CK","CG_CK","HOLD","INN2","BF","PA","AB","HIT","H2","H3","HR","SB","CS","SH","SF","BB","IB","HP","KK","GD","WP","BK","ERR","R","ER","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","TB_SC_B","TB_SC_T","WLS_D","WLS_L","WLS_ND","WLS_S","WLS_W","ERA","WHIP","FIP","SB_try","SB_succ","ERC"
"1",2016,4,"HH",60757,0,8,0,0,30,195,48,43,16,3,0,2,1,0,0,0,5,0,0,9,1,1,0,0,8,8,0,0,0,1,0,2,3,0,0,2,6,2,0,0,8,0,0,0.166666666666667,0.4375,0.479166666666667,0.0208333333333333,1,1.78027601744186
"2",2016,4,"HH",60764,1,1,0,0,2,48,8,2,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,5,5,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0.625,0.875,2.25,0,0,17.067990625
"3",2016,4,"HH",60768,2,0,0,0,24,123,35,31,8,1,0,2,1,0,1,0,2,0,1,2,1,0,0,0,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0.0857142857142857,0.285714285714286,0.885714285714286,0.0285714285714286,1,0.854440829493088
"4",2016,4,"HH",63791,0,10,0,0,32,181,45,40,9,2,0,0,0,1,0,0,5,0,0,11,0,1,0,0,5,5,0,0,0,1,1,2,4,0,0,2,5,5,0,0,10,0,0,0.111111111111111,0.311111111111111,-0.155555555555556,0.0222222222222222,0,0.3396785
"5",2016,4,"HH",65764,3,1,0,0,22,192,44,35,15,2,0,2,3,1,1,0,8,0,0,6,0,1,0,1,14,13,0,0,0,1,1,1,1,0,0,0,1,3,0,3,1,0,0,0.295454545454545,0.522727272727273,0.863636363636364,0.0909090909090909,0.75,2.95098211038961
"6",2016,4,"HH",66741,2,2,0,0,14,105,28,18,7,2,0,1,1,2,0,0,7,0,3,1,0,0,0,0,7,7,0,0,0,1,0,1,1,0,0,1,2,2,0,0,4,0,0,0.25,0.5,1.46428571428571,0.107142857142857,0.333333333333333,4.25515892857143
"7",2016,4,"HH",66748,5,0,0,0,69,472,114,93,26,1,0,4,9,1,2,1,17,0,1,20,1,4,0,2,21,14,0,1,0,1,1,1,0,0,0,1,3,2,0,2,1,0,2,0.12280701754386,0.37719298245614,0.578947368421053,0.087719298245614,0.9,1.26622037351443
"8",2016,4,"HH",71260,0,7,0,0,27,169,44,36,12,2,1,2,1,0,0,1,6,1,1,5,2,0,0,0,7,6,0,0,0,2,1,1,2,0,0,1,3,4,0,1,6,0,0,0.136363636363636,0.409090909090909,0.772727272727273,0.0227272727272727,1,1.77716193181818
"9",2016,4,"HH",72447,0,15,0,4,57,339,85,68,16,3,0,2,4,1,4,0,11,3,2,13,3,1,0,1,9,7,0,2,0,3,2,1,3,0,2,2,8,7,0,0,14,0,1,0.0823529411764706,0.317647058823529,0.352941176470588,0.0588235294117647,0.8,0.720493996539793
"10",2016,4,"HH",73738,0,1,0,0,2,14,5,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.2,0.6,0.6,0,0,4.46902
"11",2016,4,"HH",73750,0,9,0,3,24,120,32,28,6,0,0,1,0,0,0,0,2,0,2,4,1,0,0,0,3,3,0,2,0,1,2,0,2,0,2,0,5,4,0,0,8,0,1,0.09375,0.25,0.53125,0,0,0.583557477678571
