"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","BK","PA","R","ER","SF"
2020,7,65057,"KT",3,0,0,0,0,0,0,0,0,3,0,0,0
2020,7,63961,"HH",2,0,0,0,0,2,0,1,0,4,1,0,0
2020,7,72447,"OB",1,1,0,1,0,0,0,0,0,1,1,1,0
2020,7,64805,"OB",2,1,0,0,0,0,0,0,0,2,0,0,0
2020,7,61145,"LG",1,1,0,0,0,1,0,0,0,2,0,0,0
2020,7,79617,"LG",5,1,0,0,0,0,0,2,0,5,0,0,0
2020,7,73738,"HH",6,1,0,0,0,0,2,2,0,8,0,0,0
2020,7,68200,"OB",9,2,1,0,0,1,0,0,0,10,1,1,0
2020,7,66018,"WO",5,2,0,0,0,1,1,0,0,7,1,1,0
2020,7,69328,"WO",8,2,0,0,0,3,0,1,0,11,1,1,0
2020,7,66801,"SK",4,2,0,0,0,1,0,1,0,5,1,1,0
2020,7,50157,"LG",9,2,1,0,0,0,0,2,0,9,1,1,0
2020,7,67164,"LG",6,2,0,0,1,2,1,0,0,9,2,2,0
2020,7,68902,"NC",9,2,0,0,1,0,0,2,0,9,1,1,0
2020,7,78352,"NC",4,2,1,0,0,2,0,1,0,7,3,3,1
2020,7,68043,"KT",14,2,0,0,0,1,0,3,0,15,0,0,0
2020,7,69041,"KT",10,2,0,0,1,2,0,2,0,12,2,2,0
2020,7,99445,"SS",5,2,0,0,1,0,0,1,0,5,2,2,0
2020,7,62611,"HH",5,2,0,0,0,1,0,0,0,6,1,1,0
2020,7,76225,"LT",8,2,1,0,0,0,0,1,0,8,1,1,0
2020,7,78536,"LT",17,2,0,0,0,4,0,7,0,21,2,2,0
2020,7,67259,"OB",6,3,0,0,2,1,0,0,0,7,4,4,0
2020,7,69360,"WO",8,3,1,0,0,1,1,1,0,10,3,3,0
2020,7,64896,"SK",7,3,0,0,1,0,0,0,0,7,2,2,0
2020,7,73801,"LG",7,3,0,0,0,3,0,2,0,10,1,1,0
2020,7,69134,"LG",17,3,0,0,1,1,1,4,0,19,2,2,0
2020,7,65643,"NC",11,3,0,1,1,2,1,3,0,14,3,3,0
2020,7,63959,"NC",24,3,0,0,0,1,1,2,0,26,3,3,0
2020,7,65496,"SS",18,3,0,0,0,1,0,4,0,19,1,1,0
2020,7,64596,"LT",13,3,0,0,0,5,0,3,0,18,3,3,0
2020,7,67246,"OB",8,4,1,0,0,1,0,2,0,9,1,1,0
2020,7,50360,"WO",14,4,0,1,0,1,0,5,0,15,2,2,0
2020,7,62937,"WO",7,4,1,0,1,0,0,0,0,7,3,3,0
2020,7,79847,"SK",8,4,1,0,0,3,0,0,0,11,2,2,0
2020,7,65343,"SK",14,4,0,0,1,1,0,4,0,15,2,2,0
2020,7,78819,"LG",7,4,1,0,1,0,0,0,0,8,3,3,1
2020,7,65639,"NC",19,4,2,1,0,4,1,4,0,24,2,2,0
2020,7,77563,"KT",16,4,1,0,1,5,0,1,0,22,5,5,1
2020,7,64047,"KT",30,4,1,0,0,4,1,5,0,36,3,3,1
2020,7,66039,"KT",4,4,1,0,0,1,1,0,0,6,4,4,0
