"","year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","BK","PA","ER","SF","stadium_MH","stadium_MS","stadium_JS","stadium_SW","stadium_DJ","stadium_DG","stadium_GJ","stadium_GC","stadium_SJ","stadium_PH","stadium_US","stadium_CJ","stadium_CW","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","HOME","AWAY","BABIP","ERA","R_FIP","kwERA","SB_try","SB_succ","GD_rate","H2_rate","H3_rate","HR_rate","BB_rate","HP_rate","KK_rate","BK_rate","KBB","AVG","OBP","SLG","OPS","ER_rate","ERR","ERR_rate"
"1",2016,4,60146,"LG",37,9,1,0,0,8,0,10,0,45,6,0,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.277777777777778,5.78571428571429,4.34473422242192,4.86666666666667,0.0191458026509573,0.769230769230769,0.0176730486008837,0.111111111111111,0,0,0.177777777777778,0,0.222222222222222,0,1.75609756097561,0.243243243243243,0.377777777777778,0.27027027027027,0.648048048048048,0.857142857142857,16,0.00276720857834659
"2",2016,4,60181,"LG",25,8,1,1,1,1,1,3,0,28,4,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0.277542372881356,6,6.08282946051716,4.54285714285714,0.020260492040521,0.857142857142857,0.0130246020260492,0.125,0.125,0.125,0.0357142857142857,0.0357142857142857,0.107142857142857,0,3.34146341463415,0.32,0.357142857142857,0.56,0.917142857142857,1,16,0.00276720857834659
"3",2016,4,60263,"NC",90,22,0,1,3,7,0,23,0,98,7,1,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14,0.321969696969697,2.73913043478261,4.52485844602441,3.44081632653061,0.0178843226788432,0.468085106382979,0.0156012176560122,0,0.0454545454545455,0.136363636363636,0.0714285714285714,0,0.23469387755102,0,2.25550660792952,0.244444444444444,0.295918367346939,0.366666666666667,0.662585034013605,1,14,0.0024809498493709
"4",2016,4,60264,"KT",79,21,2,0,3,5,2,12,1,88,7,2,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11,0.329749103942652,3.15,5.71616279385049,4.44545454545455,0.036144578313253,0.666666666666667,0.0227576974564926,0.0952380952380952,0,0.142857142857143,0.0568181818181818,0.0227272727272727,0.136363636363636,0.0357142857142857,1.29850746268657,0.265822784810127,0.318181818181818,0.40506329113924,0.723245109321059,1,18,0.00305291723202171
"5",2016,4,60339,"WO",15,4,0,0,0,3,1,0,0,21,1,2,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13,0.288188976377953,2.07692307692308,6.68539356308126,7.11428571428571,0.021505376344086,0.777777777777778,0.019115890083632,0,0,0,0.142857142857143,0.0476190476190476,0,0,1.5,0.266666666666667,0.380952380952381,0.266666666666667,0.647619047619048,1,10,0.00175932441942294
"6",2016,4,60342,"WO",25,6,2,0,0,7,1,2,0,33,3,0,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13,0.235294117647059,4.26315789473684,7.0740575306926,7.21818181818182,0.0212765957446809,1,0.0212765957446809,0.333333333333333,0,0,0.212121212121212,0.0303030303030303,0.0606060606060606,0,0.222222222222222,0.24,0.424242424242424,0.32,0.744242424242424,1,10,0.00175932441942294
"7",2016,4,60634,"HT",25,6,2,0,0,6,0,6,0,33,3,2,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13,0.307359307359307,3.85714285714286,4.77330565099335,5.4,0.0269865067466267,0.611111111111111,0.0179910044977511,0.333333333333333,0,0,0.181818181818182,0,0.181818181818182,0,1.10344827586207,0.24,0.363636363636364,0.32,0.683636363636364,1,19,0.00329232368740253
"8",2016,4,60636,"HT",28,6,0,0,1,4,0,7,0,32,5,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13,0.357142857142857,6.13636363636364,5.41616279385049,4.275,0.0361990950226244,0.9375,0.0113122171945701,0,0,0.166666666666667,0.125,0,0.21875,0,1.95555555555556,0.214285714285714,0.3125,0.321428571428571,0.633928571428571,1,19,0.00329232368740253
"9",2016,4,60757,"HH",43,16,3,0,2,5,0,9,0,48,8,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,0.394495412844037,8,6.47171834940605,4.4,0.0106951871657754,0.5,0.0160427807486631,0.1875,0,0.125,0.104166666666667,0,0.1875,0,1.32258064516129,0.372093023255814,0.4375,0.581395348837209,1.01889534883721,1,24,0.00404244567963618
"10",2016,4,60764,"HH",2,1,0,0,0,6,0,0,0,8,5,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,0.362068965517241,135,57.9161627938505,14.4,0,0,0.0217391304347826,0,0,0,0.75,0,0,0,0.823529411764706,0.5,0.875,0.5,1.375,1,24,0.00404244567963618
