"year","month","P_ID","T_ID","PA","AB","HIT","H2","H3","HR","BB","HP","KK","BK","AVG","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","H_A_AWAY","H_A_HOME"
2020,7,65057,"KT",0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,63961,"HH",2,0,0,0,0,0,2,0,1,0,0,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,72447,"OB",1,1,1,0,1,0,0,0,0,0,1,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,64805,"OB",2,2,1,0,0,0,0,0,0,0,0.5,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,61145,"LG",2,1,1,0,0,0,1,0,0,0,1,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,79617,"LG",5,5,1,0,0,0,0,0,2,0,0.2,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,73738,"HH",8,6,1,0,0,0,0,2,2,0,0.167,0,4,3,4,3,0,3,6,2,0,14,11
2020,7,68200,"OB",10,9,2,1,0,0,1,0,0,0,0.222,3,3,0,6,2,1,0,3,0,5,8,15
2020,7,66018,"WO",7,5,2,0,0,0,1,1,0,0,0.4,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,69328,"WO",11,8,2,0,0,0,3,0,1,0,0.25,0,3,3,0,3,3,5,3,4,0,13,11
2020,7,66801,"SK",5,4,2,0,0,0,1,0,1,0,0.5,6,0,1,3,4,3,3,0,2,3,15,10
2020,7,50157,"LG",9,9,2,1,0,0,0,0,2,0,0.222,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,67164,"LG",9,6,2,0,0,1,2,1,0,0,0.333,4,0,3,0,3,2,6,3,3,0,16,8
2020,7,68902,"NC",9,9,2,0,0,1,0,0,2,0,0.222,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,78352,"NC",6,4,2,1,0,0,2,0,1,0,0.5,0,3,6,2,3,0,1,3,1,3,12,10
2020,7,68043,"KT",15,14,2,0,0,0,1,0,3,0,0.143,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,69041,"KT",12,10,2,0,0,1,2,0,2,0,0.2,3,4,0,3,0,6,0,1,2,3,9,13
2020,7,99445,"SS",5,5,2,0,0,1,0,0,1,0,0.4,2,5,2,3,3,1,0,2,0,4,8,14
2020,7,62611,"HH",6,5,2,0,0,0,1,0,0,0,0.4,0,4,3,4,3,0,3,6,2,0,14,11
