"year","month","P_ID","PA_PER_G"
2016,4,60757,2.08695652173913
2016,4,60764,0.347826086956522
2016,4,60768,1.52173913043478
2016,4,63791,1.95652173913043
2016,4,65764,1.91304347826087
2016,4,66741,1.21739130434783
2016,4,66748,4.95652173913043
2016,4,71260,1.91304347826087
2016,4,72447,3.69565217391304
2016,4,73738,0.217391304347826
2016,4,73750,1.39130434782609
2016,4,73801,4.82608695652174
2016,4,74167,2.21739130434783
2016,4,74731,4.17391304347826
2016,4,74857,2.17391304347826
2016,4,78760,0.478260869565217
2016,4,79764,3.65217391304348
2016,4,99737,2.95652173913043
2016,4,60634,1.5
2016,4,60636,1.45454545454545
2016,4,61643,2.59090909090909
2016,4,61666,0.318181818181818
2016,4,62648,2
2016,4,63638,0.5
2016,4,65696,0.0454545454545455
2016,4,66628,6.45454545454545
2016,4,66643,6.40909090909091
2016,4,70142,1.09090909090909
2016,4,73632,1.31818181818182
2016,4,75620,3.77272727272727
2016,4,75668,0.363636363636364
2016,4,76610,3.31818181818182
2016,4,77637,6.45454545454545
2016,4,79617,0.454545454545455
2016,4,97336,1.40909090909091
2016,4,60264,3.52
2016,4,64001,2.88
2016,4,64017,1.48
2016,4,65042,0.68
2016,4,65048,0.56
2016,4,65056,3.48
2016,4,65058,2
2016,4,65060,2.92
2016,4,65062,1.96
2016,4,65067,1
2016,4,66032,3
2016,4,66047,0.92
2016,4,66049,4.6
2016,4,67845,3.84
2016,4,75149,2.12
2016,4,77318,2.76
2016,4,77563,0.12
2016,4,79191,0.92
2016,4,99563,1.52
2016,4,60146,2.04545454545455
2016,4,60181,1.27272727272727
2016,4,61101,1.5
2016,4,61329,1.13636363636364
2016,4,61891,2.36363636363636
2016,4,62146,1.36363636363636
2016,4,62463,3.59090909090909
2016,4,62698,7
2016,4,63111,3.90909090909091
2016,4,66154,2.04545454545455
2016,4,70839,1.36363636363636
2016,4,71118,2.27272727272727
2016,4,73117,5.40909090909091
2016,4,76650,1.68181818181818
2016,4,76757,1.81818181818182
2016,4,79140,0.5
2016,4,96462,0.863636363636364
2016,4,61569,0.36
2016,4,62528,0.64
2016,4,63512,2.04
2016,4,63935,4.24
2016,4,64021,3.64
2016,4,64596,1.92
2016,4,65509,0.04
2016,4,65543,6.16
2016,4,65546,5.56
2016,4,70615,0.44
2016,4,71801,1.24
2016,4,72535,1.52
2016,4,72551,2.32
2016,4,72862,2.16
2016,4,73226,1.92
2016,4,75321,1.36
2016,4,77591,2.24
2016,4,79349,1.64
2016,4,60263,4.26086956521739
2016,4,61323,3.34782608695652
2016,4,62929,3.56521739130435
2016,4,62966,1.73913043478261
2016,4,63938,6.8695652173913
2016,4,63959,1.04347826086957
2016,4,64907,0.173913043478261
2016,4,65931,5.78260869565217
2016,4,65933,1.26086956521739
2016,4,66928,2.08695652173913
2016,4,66960,1.17391304347826
2016,4,75867,2.69565217391304
2016,4,78243,2.04347826086957
2016,4,78352,1.56521739130435
2016,4,61214,1.125
2016,4,61240,5.125
2016,4,61295,0.166666666666667
2016,4,63248,0.458333333333333
2016,4,66226,5.20833333333333
2016,4,73211,2.45833333333333
2016,4,73241,3.08333333333333
2016,4,74513,5.58333333333333
2016,4,76329,2.125
2016,4,77263,2
2016,4,78257,1.29166666666667
2016,4,79229,5.41666666666667
2016,4,79293,1.95833333333333
2016,4,79535,2.29166666666667
2016,4,60841,5.04
2016,4,62056,0.84
2016,4,62869,1.88
2016,4,63810,5.44
2016,4,64893,2.12
2016,4,65856,5.24
2016,4,71845,2.4
2016,4,72523,0.64
2016,4,73248,1.2
2016,4,74838,1.12
2016,4,75138,1.04
2016,4,75250,1.8
2016,4,75340,0.64
2016,4,76858,1.76
2016,4,77829,6.16
2016,4,79847,0.2
2016,4,61365,2.08695652173913
2016,4,61411,1.43478260869565
2016,4,61457,0.0434782608695652
2016,4,66402,6.04347826086957
2016,4,66440,2.8695652173913
2016,4,66493,0.173913043478261
2016,4,71851,1.52173913043478
2016,4,72463,1.56521739130435
2016,4,74454,5.65217391304348
2016,4,74630,1.08695652173913
2016,4,75268,0.565217391304348
2016,4,76355,3.26086956521739
2016,4,76455,3.39130434782609
2016,4,77446,1.47826086956522
2016,4,77927,2.60869565217391
2016,4,79440,2.1304347826087
2016,4,79791,1.65217391304348
2016,4,99445,1.17391304347826
2016,4,60339,0.875
2016,4,60342,1.375
2016,4,62937,5.41666666666667
2016,4,64350,2.375
2016,4,65331,6.375
2016,4,65343,1.83333333333333
2016,4,65348,3.54166666666667
2016,4,66323,4.66666666666667
2016,4,72749,1.16666666666667
2016,4,74359,0.708333333333333
2016,4,75342,2.16666666666667
2016,4,75750,3.83333333333333
2016,4,76350,1.95833333333333
2016,4,76430,2.54166666666667
2016,5,60764,1.6
2016,5,60768,3.08
2016,5,63791,0.04
2016,5,65742,5.84
2016,5,65764,0.48
2016,5,65769,0.92
2016,5,66748,1.44
2016,5,71260,1.48
