"BF","PA","BK","AVG","OBP","SLG","OPS","BABIP","H2_rate","H3_rate","HR_rate","T_ID","year","month","P_ID","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","GD_rate","H_A_AWAY","H_A_HOME"
148.992248062016,40,0,0.266773897058824,0.323613129844961,0.387652359958506,0.711265489803467,0.316831683168317,0.214285714285714,0,0.0857142857142857,"KT",2020,7,50030,0,1,0,1,0,3,0,1,0,0,0.0348837209302326,1,5
238.387596899225,64,0,0.277889476102941,0.333867036094961,0.403804541623444,0.737671577718405,0.316831683168317,0.214285714285714,0,0.0857142857142857,"KT",2020,8,50030,3,2,0,2,0,2,3,4,2,5,0.0348837209302326,15,8
223.488372093023,60,0,0.276654411764706,0.332727713178295,0.402009854771784,0.734737567950079,0.316831683168317,0.214285714285714,0,0.0857142857142857,"KT",2020,9,50030,2,2,0,2,4,2,4,5,4,2,0.0348837209302326,12,15
197.414728682171,53,0,0.268451720310766,0.325160889278924,0.390090425115478,0.715251314394401,0.316831683168317,0.214285714285714,0,0.0857142857142857,"KT",2020,10,50030,2,2,0,5,3,0,4,3,2,3,0.0348837209302326,12,12
13.2121212121212,4,0,0,0.242424242424243,0,0.242424242424243,0.4,0.111111111111111,0.111111111111111,0.111111111111111,"KT",2020,7,50036,0,1,0,1,0,3,0,1,0,0,0,1,5
52.8484848484848,16,0,0.2784375,0.453361742424243,0.414341517857143,0.867703260281386,0.4,0.111111111111111,0.111111111111111,0.111111111111111,"KT",2020,8,50036,3,2,0,2,0,2,3,4,2,5,0,15,8
59.4545454545454,18,0,0.2475,0.429924242424243,0.368303571428571,0.798227813852814,0.4,0.111111111111111,0.111111111111111,0.111111111111111,"KT",2020,9,50036,2,2,0,2,4,2,4,5,4,2,0,12,15
52.8484848484848,16,0,0.2784375,0.453361742424243,0.414341517857143,0.867703260281386,0.4,0.111111111111111,0.111111111111111,0.111111111111111,"KT",2020,10,50036,2,2,0,5,3,0,4,3,2,3,0,12,12
320.27989821883,82,0,0.259224211331817,0.312002130117337,0.373553490547983,0.68555562066532,0.329787234042553,0.176470588235294,0.00980392156862745,0.0882352941176471,"KT",2020,7,50040,0,1,0,1,0,3,0,1,0,0,0.0229007633587786,1,5
624.936386768448,160,0,0.265704816615113,0.318021012886809,0.382892327811683,0.700913340698492,0.329787234042553,0.176470588235294,0.00980392156862745,0.0882352941176471,"KT",2020,8,50040,3,2,0,2,0,2,3,4,2,5,0.0229007633587786,15,8
730.394402035624,187,0,0.265231189491022,0.317581130188862,0.382209810293302,0.699790940482164,0.329787234042553,0.176470588235294,0.00980392156862745,0.0882352941176471,"KT",2020,9,50040,2,2,0,2,4,2,4,5,4,2,0.0229007633587786,12,15
648.371501272265,166,0,0.263214945508947,0.315708537177521,0.379304314030315,0.695012851207836,0.329787234042553,0.176470588235294,0.00980392156862745,0.0882352941176471,"KT",2020,10,50040,2,2,0,5,3,0,4,3,2,3,0.0229007633587786,12,12
182.894736842105,45,0,0.182191780821918,0.301754385964912,0.20625,0.508004385964912,0.241379310344828,0.178571428571429,0,0,"LG",2020,7,50126,1,0,1,0,0,0,3,3,0,0,0.0116959064327485,7,1
317.017543859649,78,0,0.180189673340358,0.30004498425551,0.203983516483517,0.504028500739027,0.241379310344828,0.178571428571429,0,0,"LG",2020,8,50126,3,8,2,0,0,3,2,0,2,5,0.0116959064327485,13,12
