"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","BK","PA","R","ER","SF","stadium_MH","stadium_MS","stadium_JS","stadium_SW","stadium_DJ","stadium_DG","stadium_GJ","stadium_GC","stadium_SJ","stadium_PH","stadium_US","stadium_CJ","stadium_CW","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","HOME","AWAY"
2016,4,60146,"LG",37,9,1,0,0,8,0,10,0,45,7,6,0,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,60181,"LG",25,8,1,1,1,1,1,3,0,28,4,4,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,60263,"NC",90,22,0,1,3,7,0,23,0,98,7,7,1,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,60264,"KT",79,21,2,0,3,5,2,12,1,88,7,7,2,3,0,2,14,0,3,0,3,0,0,0,0,0,0,3,0,2,3,0,3,5,6,3,14,11
2016,4,60339,"WO",15,4,0,0,0,3,1,0,0,21,1,1,2,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,60342,"WO",25,6,2,0,0,7,1,2,0,33,3,3,0,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,60634,"HT",25,6,2,0,0,6,0,6,0,33,3,3,2,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,60636,"HT",28,6,0,0,1,4,0,7,0,32,5,5,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,60757,"HH",43,16,3,0,2,5,0,9,0,48,8,8,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,60764,"HH",2,1,0,0,0,6,0,0,0,8,5,5,0,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,60768,"HH",31,8,1,0,2,2,1,2,0,35,5,3,1,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11
2016,4,60841,"SK",107,23,6,0,2,14,5,25,0,126,10,10,0,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,61101,"LG",28,10,1,1,2,4,0,8,0,33,7,7,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,61214,"OB",24,6,1,0,0,2,1,1,0,27,0,0,0,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,61240,"OB",113,30,2,0,3,8,1,43,0,123,10,10,1,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,61295,"OB",2,1,0,0,1,2,0,0,0,4,3,3,0,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,61323,"NC",61,16,2,1,2,10,3,7,0,77,11,11,3,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,61329,"LG",20,9,1,0,0,3,0,7,0,25,7,7,2,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,61365,"SS",42,18,7,0,0,4,2,2,0,48,11,11,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,61411,"SS",29,9,3,0,2,4,0,9,0,33,5,5,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,61457,"SS",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13
2016,4,61569,"LT",9,3,0,0,1,0,0,1,0,9,3,3,0,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,61643,"HT",51,12,2,0,2,6,0,15,0,57,4,4,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,61666,"HT",3,1,1,0,0,3,0,0,0,7,1,1,1,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,61891,"LG",45,14,3,1,0,5,0,11,0,52,5,4,2,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,62056,"SK",19,2,0,0,1,2,0,4,0,21,1,1,0,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,62146,"LG",27,11,2,0,0,3,0,1,0,30,7,6,0,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,62463,"LG",66,17,4,0,2,9,1,11,0,79,10,10,3,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,62528,"LT",9,2,0,0,0,6,0,3,0,16,3,3,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
2016,4,62648,"HT",37,11,4,0,1,7,0,10,0,44,5,4,0,3,2,0,3,2,0,9,0,3,0,0,0,0,2,0,3,2,3,2,2,3,3,2,9,13
2016,4,62698,"LG",144,47,14,0,2,5,2,21,0,154,22,21,3,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,62869,"SK",37,10,2,0,1,5,2,7,0,47,3,3,2,15,0,3,2,0,0,0,2,3,0,0,0,0,0,3,5,3,3,3,3,0,0,5,15,10
2016,4,62929,"NC",73,25,4,0,4,7,2,15,0,82,18,13,0,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,62937,"WO",124,37,8,0,2,1,1,18,0,130,8,8,4,3,2,3,0,3,0,2,11,0,0,0,0,0,3,2,3,3,3,2,3,5,0,0,11,13
2016,4,62966,"NC",36,13,5,1,1,1,1,4,0,40,10,10,2,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14
2016,4,63111,"LG",74,23,2,0,3,8,2,21,0,86,16,12,2,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12
2016,4,63248,"OB",9,4,1,0,0,1,0,2,0,11,2,2,1,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10
2016,4,63512,"LT",41,13,3,0,1,9,1,12,0,51,9,4,0,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11
