"year","month","P_ID","T_ID","PA","SB","CS","GD","ERR"
2016,4,60146,"LG",45,0,0,0,0
2016,4,60181,"LG",28,0,0,1,0
2016,4,60263,"NC",98,0,1,3,0
2016,4,60264,"KT",88,1,0,1,0
2016,4,60339,"WO",21,1,0,0,0
2016,4,60342,"WO",33,1,0,0,0
2016,4,60634,"HT",33,0,0,0,1
2016,4,60636,"HT",32,0,0,1,0
2016,4,60757,"HH",48,1,0,1,0
2016,4,60764,"HH",8,0,0,1,0
2016,4,60768,"HH",35,1,0,1,0
2016,4,60841,"SK",126,1,0,3,1
2016,4,61101,"LG",33,0,1,0,0
2016,4,61214,"OB",27,1,0,1,0
2016,4,61240,"OB",123,6,2,3,0
2016,4,61295,"OB",4,0,1,0,0
2016,4,61323,"NC",77,3,0,1,0
2016,4,61329,"LG",25,1,0,0,0
2016,4,61365,"SS",48,0,0,0,0
2016,4,61411,"SS",33,1,1,0,0
2016,4,61457,"SS",1,0,0,0,0
2016,4,61569,"LT",9,0,0,0,0
2016,4,61643,"HT",57,1,0,2,0
2016,4,61666,"HT",7,1,0,0,0
2016,4,61891,"LG",52,0,0,2,0
2016,4,62056,"SK",21,0,1,0,0
2016,4,62146,"LG",30,0,0,0,1
2016,4,62463,"LG",79,1,1,3,0
2016,4,62528,"LT",16,0,1,0,0
2016,4,62648,"HT",44,1,0,1,0
2016,4,62698,"LG",154,2,2,2,0
2016,4,62869,"SK",47,0,1,1,0
2016,4,62929,"NC",82,0,0,2,0
2016,4,62937,"WO",130,2,2,1,0
2016,4,62966,"NC",40,0,0,0,0
2016,4,63111,"LG",86,1,0,5,0
2016,4,63248,"OB",11,0,0,0,1
2016,4,63512,"LT",51,0,1,0,1
2016,4,63638,"HT",11,1,0,0,0
2016,4,63791,"HH",45,0,1,0,0
2016,4,63810,"SK",136,2,2,1,2
2016,4,63935,"LT",106,0,1,5,0
2016,4,63938,"NC",158,2,0,4,0
2016,4,63959,"NC",24,0,0,0,1
2016,4,64001,"KT",72,1,1,3,0
2016,4,64017,"KT",37,0,0,2,0
2016,4,64021,"LT",91,2,0,1,0
2016,4,64350,"WO",57,1,0,3,0
2016,4,64596,"LT",48,0,0,0,0
2016,4,64893,"SK",53,1,0,1,0
2016,4,64907,"NC",4,0,1,0,0
2016,4,65042,"KT",17,0,0,0,0
2016,4,65048,"KT",14,0,0,0,0
2016,4,65056,"KT",87,3,1,2,1
2016,4,65058,"KT",50,1,0,0,0
2016,4,65060,"KT",73,3,1,1,0
