"","year","month","T_ID","P_ID","START_CK","RELIEF_CK","CG_CK","HOLD","INN2","BF","PA","AB","HIT","H2","H3","HR","SB","CS","SH","SF","BB","IB","HP","KK","GD","WP","BK","ERR","R","ER","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","TB_SC_B","TB_SC_T","WLS_D","WLS_L","WLS_ND","WLS_S","WLS_W","KBB"
"1",2016,4,"HH",60757,0,8,0,0,30,195,48,43,16,3,0,2,1,0,0,0,5,0,0,9,1,1,0,0,8,8,0,0,0,1,0,2,3,0,0,2,6,2,0,0,8,0,0,1.32258064516129
"2",2016,4,"HH",60764,1,1,0,0,2,48,8,2,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,5,5,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0.823529411764706
"3",2016,4,"HH",60768,2,0,0,0,24,123,35,31,8,1,0,2,1,0,1,0,2,0,1,2,1,0,0,0,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,0,1.93893129770992
"4",2016,4,"HH",63791,0,10,0,0,32,181,45,40,9,2,0,0,0,1,0,0,5,0,0,11,0,1,0,0,5,5,0,0,0,1,1,2,4,0,0,2,5,5,0,0,10,0,0,1.6
"5",2016,4,"HH",65764,3,1,0,0,22,192,44,35,15,2,0,2,3,1,1,0,8,0,0,6,0,1,0,1,14,13,0,0,0,1,1,1,1,0,0,0,1,3,0,3,1,0,0,1.6875
"6",2016,4,"HH",66741,2,2,0,0,14,105,28,18,7,2,0,1,1,2,0,0,7,0,3,1,0,0,0,0,7,7,0,0,0,1,0,1,1,0,0,1,2,2,0,0,4,0,0,1.71641791044776
"7",2016,4,"HH",66748,5,0,0,0,69,472,114,93,26,1,0,4,9,1,2,1,17,0,1,20,1,4,0,2,21,14,0,1,0,1,1,1,0,0,0,1,3,2,0,2,1,0,2,0.676470588235294
"8",2016,4,"HH",71260,0,7,0,0,27,169,44,36,12,2,1,2,1,0,0,1,6,1,1,5,2,0,0,0,7,6,0,0,0,2,1,1,2,0,0,1,3,4,0,1,6,0,0,1.28571428571429
"9",2016,4,"HH",72447,0,15,0,4,57,339,85,68,16,3,0,2,4,1,4,0,11,3,2,13,3,1,0,1,9,7,0,2,0,3,2,1,3,0,2,2,8,7,0,0,14,0,1,2.03076923076923
"10",2016,4,"HH",73738,0,1,0,0,2,14,5,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2.546875
"11",2016,4,"HH",73750,0,9,0,3,24,120,32,28,6,0,0,1,0,0,0,0,2,0,2,4,1,0,0,0,3,3,0,2,0,1,2,0,2,0,2,0,5,4,0,0,8,0,1,1.94615384615385
"12",2016,4,"HH",73801,6,0,0,0,75,444,111,97,28,4,1,5,4,2,0,1,12,0,1,21,1,3,0,0,18,18,0,1,0,2,0,0,2,0,0,1,4,2,0,4,2,0,0,1.5
"13",2016,4,"HH",74167,3,0,0,0,36,198,51,42,9,2,0,0,0,2,1,0,8,0,0,14,2,0,0,2,6,3,0,0,0,0,1,0,1,0,1,0,1,2,0,1,2,0,0,1.6551724137931
"14",2016,4,"HH",74731,1,11,0,0,56,400,96,78,23,2,0,5,2,1,0,2,15,0,1,18,0,4,0,0,20,17,0,2,0,2,2,1,3,0,1,1,6,6,0,1,11,0,0,1.82926829268293
"15",2016,4,"HH",74857,0,10,0,0,43,202,50,47,6,4,0,0,0,1,1,1,1,0,0,19,0,0,0,0,3,2,0,2,0,2,2,1,1,0,1,1,5,5,0,0,7,3,0,3.84
"16",2016,4,"HH",78760,0,5,0,0,7,34,11,9,4,3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,4,4,0,0,0,0,0,2,1,0,0,2,3,2,0,0,5,0,0,2.6
"17",2016,4,"HH",79764,0,12,0,0,54,368,84,68,19,3,1,1,1,2,1,0,13,0,2,17,2,1,0,2,7,7,0,0,0,3,1,2,3,0,1,2,7,5,0,1,11,0,0,1.95205479452055
"18",2016,4,"HH",99737,0,13,0,0,47,286,68,55,14,2,1,2,0,3,2,1,9,2,1,16,2,2,0,0,9,8,0,1,0,2,2,1,3,0,2,2,8,5,0,1,10,0,2,2.3859649122807
"19",2016,4,"HT",60634,0,6,0,1,23,126,33,25,6,2,0,0,0,0,2,0,6,1,0,6,0,1,0,1,3,3,1,0,0,0,1,0,1,1,2,0,3,3,0,0,5,1,0,1.10344827586207
"20",2016,4,"HT",60636,0,10,0,3,23,142,32,28,6,0,0,1,0,0,0,0,4,0,0,7,1,0,0,0,5,5,0,0,2,2,0,1,0,2,2,1,5,5,0,0,9,0,1,1.95555555555556
"21",2016,4,"HT",61643,0,8,0,0,40,209,57,51,12,2,0,2,1,0,0,0,6,0,0,15,2,0,0,0,4,4,1,0,2,0,1,0,1,1,2,0,3,5,0,0,7,1,0,2.00917431192661
"22",2016,4,"HT",61666,0,1,0,0,3,29,7,3,1,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.6046511627907
"23",2016,4,"HT",62648,0,9,0,2,28,180,44,37,11,4,0,1,1,0,0,0,7,0,0,10,1,1,0,0,5,4,1,0,2,1,2,0,0,2,1,0,2,7,0,0,8,1,0,1.36
"24",2016,4,"HT",63638,0,2,0,0,4,36,11,7,3,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,2.80645161290323
"25",2016,4,"HT",65696,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.8
"26",2016,4,"HT",66628,5,1,0,0,96,568,142,124,32,4,0,6,3,2,3,0,15,0,0,32,1,2,0,0,16,15,0,0,0,1,1,1,1,1,1,0,3,3,0,4,0,0,2,1.83823529411765
"27",2016,4,"HT",66643,5,0,0,0,94,528,141,127,40,7,0,1,3,2,2,2,9,0,1,20,2,0,0,0,18,17,1,0,1,0,0,1,0,0,1,1,2,3,0,1,2,0,2,3.21969696969697
"28",2016,4,"HT",70142,0,6,0,3,15,108,24,23,9,1,0,1,0,1,0,0,1,0,0,5,0,0,0,0,3,3,1,0,0,1,1,0,0,2,1,0,2,4,0,0,6,0,0,1.96
"29",2016,4,"HT",73632,2,0,0,0,15,104,29,24,10,1,0,2,4,0,0,2,1,0,2,1,0,0,0,1,10,7,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,1.23809523809524
"30",2016,4,"HT",75620,3,0,1,0,57,292,83,76,21,1,1,1,0,2,0,0,4,0,3,14,3,0,0,0,10,7,0,0,1,1,0,0,0,0,0,1,2,1,0,2,0,0,1,3.05555555555556
"31",2016,4,"HT",75668,0,2,0,0,7,34,8,8,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0.727272727272727
"32",2016,4,"HT",76610,2,3,0,0,49,273,73,57,13,0,0,1,3,3,1,1,12,0,2,8,1,0,0,0,5,5,0,0,0,1,1,0,1,1,0,1,3,2,0,0,1,1,3,1.35714285714286
"33",2016,4,"HT",77637,5,0,0,0,101,526,142,123,31,5,0,3,2,1,4,0,15,0,0,24,6,0,1,1,15,13,1,0,1,0,0,1,0,1,1,0,1,4,0,2,3,0,0,3.05936073059361
"34",2016,4,"HT",79617,0,2,0,0,8,38,10,8,2,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0.753846153846154
"35",2016,4,"HT",97336,0,8,0,1,19,111,31,29,12,0,0,0,1,2,0,0,2,0,0,5,0,0,0,0,5,4,0,0,2,1,1,0,1,2,1,0,3,5,0,2,4,2,0,6.875
"36",2016,4,"KT",60264,4,0,0,0,61,327,88,79,21,2,0,3,1,0,2,0,5,0,2,12,1,0,1,0,7,7,0,1,0,1,0,0,0,1,1,0,1,3,0,0,3,0,1,1.29850746268657
"37",2016,4,"KT",64001,0,16,0,4,53,275,72,63,14,3,1,2,1,1,1,0,6,0,2,14,3,0,0,0,7,7,0,2,0,2,1,0,2,3,4,2,9,7,0,1,15,0,0,5.35
"38",2016,4,"KT",64017,0,8,0,0,21,163,37,28,13,1,0,0,0,0,2,2,4,0,1,4,2,0,0,0,6,5,0,1,0,0,2,0,1,1,2,1,6,2,0,0,8,0,0,1.875
"39",2016,4,"KT",65042,0,4,0,0,13,60,17,16,3,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,2,2,0,0,4,0,0,1.2258064516129
"40",2016,4,"KT",65048,0,2,0,0,12,52,14,14,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,1.75510204081633
"41",2016,4,"KT",65056,4,1,0,0,57,379,87,75,23,5,0,4,3,1,0,0,10,0,2,7,2,0,0,1,12,11,0,0,0,0,1,0,1,1,1,1,3,2,0,2,3,0,0,1.55339805825243
"42",2016,4,"KT",65058,2,1,0,0,28,176,50,39,11,2,0,0,1,0,4,0,6,1,1,3,0,1,1,0,11,7,0,0,0,0,0,0,0,1,2,0,2,1,0,3,0,0,0,1.69158878504673
"43",2016,4,"KT",65060,3,1,0,0,49,294,73,66,20,6,0,1,3,1,1,0,6,0,0,9,1,1,0,0,11,11,0,0,0,0,1,0,1,0,1,1,3,1,0,1,3,0,0,1.87301587301587
"44",2016,4,"KT",65062,0,10,0,0,35,205,49,45,12,2,0,1,3,1,1,1,2,0,0,16,0,1,0,0,7,6,0,1,0,1,1,0,2,3,1,1,5,5,0,0,8,1,1,3.96666666666667
"45",2016,4,"KT",65067,0,5,0,0,12,92,25,20,9,2,1,0,1,0,0,0,4,0,1,2,0,0,0,0,7,7,0,0,0,0,0,0,2,2,1,0,3,2,0,0,5,0,0,1.27777777777778
"46",2016,4,"KT",66032,3,0,0,0,50,286,75,65,20,4,1,1,1,1,0,1,7,0,2,9,2,0,0,0,11,11,0,1,0,0,0,0,0,2,0,0,2,1,0,0,1,0,2,1.53333333333333
"47",2016,4,"KT",66047,0,2,0,0,13,102,23,20,8,0,0,2,1,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,1.02564102564103
"48",2016,4,"KT",66049,5,0,0,0,78,482,115,94,21,4,1,2,1,1,1,1,15,0,4,17,1,4,0,1,16,16,0,1,0,1,0,0,0,2,1,0,2,3,0,1,0,0,4,1.55172413793103
"49",2016,4,"KT",67845,4,0,0,0,67,409,96,86,21,3,1,1,1,0,2,0,7,0,1,16,1,0,0,0,9,6,0,0,0,0,1,0,1,0,1,1,3,1,0,2,0,0,2,1.87755102040816
"50",2016,4,"KT",75149,0,14,0,4,36,216,53,49,16,2,2,2,0,1,0,0,4,0,0,11,1,0,0,0,6,6,0,1,0,2,1,0,2,3,3,2,6,8,0,0,12,0,2,1.86538461538462
"51",2016,4,"KT",77318,0,13,0,1,49,279,69,56,10,5,0,0,0,1,0,0,11,3,2,17,3,2,0,0,4,3,0,2,0,2,1,0,1,4,1,2,5,8,0,2,7,4,0,1.85945945945946
"52",2016,4,"KT",77563,0,1,0,0,3,8,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2.48780487804878
"53",2016,4,"KT",79191,0,4,0,0,15,98,23,20,6,1,0,0,1,0,0,0,3,0,0,5,1,1,0,0,2,1,0,1,0,0,0,0,0,0,2,1,3,1,0,1,2,1,0,2.36666666666667
"54",2016,4,"KT",99563,0,6,0,0,28,143,38,34,8,1,0,2,2,0,1,0,3,0,0,6,2,1,0,0,5,5,0,1,0,0,0,0,0,2,2,1,5,1,0,0,6,0,0,2.57142857142857
"55",2016,4,"LG",60146,0,10,0,1,29,196,45,37,9,1,0,0,0,0,0,0,8,0,0,10,0,0,0,0,7,6,3,1,1,0,1,1,0,1,1,1,5,5,0,0,8,0,2,1.60526315789474
"56",2016,4,"LG",60181,0,4,0,0,19,96,28,25,8,1,1,1,0,0,0,1,1,0,1,3,1,0,0,0,4,4,0,1,0,0,0,2,0,0,0,1,2,2,0,0,4,0,0,3.34146341463415
"57",2016,4,"LG",61101,1,1,0,0,20,129,33,28,10,1,1,2,0,1,0,1,4,0,0,8,0,1,0,0,7,7,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,2.19251336898396
"58",2016,4,"LG",61329,0,7,0,1,15,102,25,20,9,1,0,0,1,0,2,0,3,0,0,7,0,0,0,0,7,7,1,0,1,0,0,2,0,0,1,2,3,4,0,0,6,0,1,2.05714285714286
"59",2016,4,"LG",61891,0,12,0,0,35,194,52,45,14,3,1,0,0,0,2,0,5,0,0,11,2,2,0,0,5,4,3,1,1,0,2,1,0,2,0,2,6,6,0,1,6,4,1,2.38636363636364
"60",2016,4,"LG",62146,0,8,0,0,16,106,30,27,11,2,0,0,0,0,0,0,3,1,0,1,0,0,0,1,7,6,2,1,1,0,2,0,0,2,0,0,5,3,0,0,7,0,1,1.38888888888889
"61",2016,4,"LG",62463,4,0,0,0,56,305,79,66,17,4,0,2,1,1,2,1,9,0,1,11,3,4,0,0,10,10,1,0,1,0,0,1,0,1,0,0,2,2,0,1,2,0,1,0.777777777777778
"62",2016,4,"LG",62698,6,0,0,0,106,575,154,144,47,14,0,2,2,2,3,0,5,1,2,21,2,0,0,0,22,21,1,1,1,0,1,1,0,0,0,1,4,2,0,2,3,0,1,4.22834645669291
"63",2016,4,"LG",63111,4,0,0,0,56,335,86,74,23,2,0,3,1,0,0,2,8,0,2,21,5,2,0,0,16,12,1,1,0,0,0,0,0,1,0,1,0,4,0,3,0,0,1,1.82781456953642
"64",2016,4,"LG",66154,2,0,0,0,23,175,45,33,11,1,1,2,0,0,1,1,10,0,0,9,1,4,0,0,11,9,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0.80952380952381
"65",2016,4,"LG",70839,0,9,0,3,25,117,30,26,3,1,0,0,0,1,1,0,2,2,1,8,0,0,0,0,0,0,3,1,2,0,2,0,0,1,0,0,6,3,0,0,9,0,0,1.33333333333333
"66",2016,4,"LG",71118,0,11,0,2,35,189,50,44,9,1,0,1,1,0,1,0,4,3,1,12,0,0,0,0,4,4,3,1,1,0,2,1,0,1,1,1,6,5,0,0,9,1,1,3.38709677419355
"67",2016,4,"LG",73117,5,0,1,0,92,427,119,109,25,4,0,0,0,1,0,2,5,0,3,20,5,1,0,0,8,7,1,0,0,0,1,1,0,1,1,0,3,2,0,0,3,0,2,3.36904761904762
"68",2016,4,"LG",76650,0,12,0,2,23,143,37,32,10,2,0,1,0,1,0,0,5,0,0,8,0,0,0,0,6,6,2,1,1,0,2,2,0,2,1,1,6,6,0,0,12,0,0,2.28089887640449
"69",2016,4,"LG",76757,0,7,0,1,24,155,40,32,9,1,0,1,1,0,0,0,7,0,1,6,1,0,0,0,7,6,0,0,1,0,1,3,0,0,1,1,5,2,0,1,6,0,0,1.49056603773585
"70",2016,4,"LG",79140,0,2,0,0,7,38,11,9,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1.96491228070175
"71",2016,4,"LG",96462,0,3,0,0,15,63,19,18,5,0,0,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,2,1,0,1.8
"72",2016,4,"LT",61569,0,1,0,0,6,34,9,9,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
