P_ID,year,month,PA,inplay_H
50054,2020,7,7,2
50054,2020,8,27,6
50054,2020,9,32,7
50054,2020,10,29,7
50066,2020,7,0,0
50066,2020,8,0,0
50066,2020,9,0,0
50066,2020,10,0,0
50150,2020,7,8,3
50150,2020,8,13,4
50150,2020,9,14,5
50150,2020,10,11,4
50165,2020,7,60,9
50165,2020,8,93,15
50165,2020,9,95,15
50165,2020,10,77,12
50202,2020,7,4,0
50202,2020,8,4,0
50202,2020,9,1,0
50202,2020,10,1,0
50204,2020,7,0,0
50204,2020,8,1,0
50204,2020,9,1,0
50204,2020,10,1,0
50208,2020,7,1,0
50208,2020,8,2,0
50208,2020,9,2,0
50208,2020,10,2,0
50293,2020,7,5,1
50293,2020,8,19,3
50293,2020,9,21,3
50293,2020,10,16,3
50296,2020,7,0,0
50296,2020,8,0,0
50296,2020,9,0,0
50296,2020,10,0,0
50300,2020,7,11,1
50300,2020,8,40,3
50300,2020,9,42,3
50300,2020,10,28,2
50304,2020,7,0,0
50304,2020,8,1,0
50304,2020,9,1,0
50304,2020,10,1,0
50357,2020,7,5,1
50357,2020,8,17,5
50357,2020,9,17,5
50357,2020,10,12,3
50458,2020,7,26,4
50458,2020,8,56,11
50458,2020,9,61,12
50458,2020,10,47,9
50468,2020,7,16,2
50468,2020,8,9,1
50468,2020,9,0,0
50468,2020,10,0,0
50506,2020,7,46,8
50506,2020,8,86,17
50506,2020,9,102,21
50506,2020,10,91,18
50600,2020,7,0,0
50600,2020,8,0,0
50600,2020,9,0,0
50600,2020,10,0,0
50704,2020,7,9,2
50704,2020,8,26,6
50704,2020,9,32,8
50704,2020,10,26,6
50707,2020,7,8,1
50707,2020,8,21,4
50707,2020,9,26,5
50707,2020,10,21,4
50709,2020,7,4,1
50709,2020,8,12,3
50709,2020,9,14,4
50709,2020,10,12,3
50730,2020,7,4,2
50730,2020,8,10,5
50730,2020,9,13,6
50730,2020,10,10,5
50819,2020,7,1,0
50819,2020,8,3,1
50819,2020,9,3,1
50819,2020,10,3,1
50840,2020,7,0,0
50840,2020,8,0,0
50840,2020,9,0,0
50840,2020,10,0,0
50854,2020,7,68,16
50854,2020,8,99,24
50854,2020,9,116,28
50854,2020,10,90,21
50923,2020,7,50,10
50923,2020,8,99,20
50923,2020,9,116,23
50923,2020,10,108,22
60288,2020,7,7,2
60288,2020,8,31,7
60288,2020,9,33,7
60288,2020,10,26,6
60339,2020,7,0,0
60339,2020,8,0,0
60339,2020,9,0,0
60339,2020,10,0,0
60343,2020,7,14,4
60343,2020,8,27,7
60343,2020,9,39,9
60343,2020,10,32,7
60523,2020,7,50,3
60523,2020,8,40,1
60523,2020,9,91,11
60523,2020,10,82,10
60558,2020,7,12,2
60558,2020,8,23,5
60558,2020,9,18,4
60558,2020,10,16,3
60566,2020,7,7,7
60566,2020,8,5,6
60566,2020,9,5,6
60566,2020,10,5,6
61102,2020,7,60,9
61102,2020,8,93,16
61102,2020,9,97,17
61102,2020,10,78,13
61145,2020,7,0,0
61145,2020,8,0,0
61145,2020,9,0,0
61145,2020,10,0,0
61186,2020,7,76,24
61186,2020,8,119,35
