"","PA","BB_rate","HR_rate","AVG","OBP","SLG","OPS","XR","SB_rate","BABIP","H2_rate","H3_rate"
"1",12,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.076,0,0.142857142857143,0,0
"2",10,0.1,0,0.333333333333333,0.4,0.444444444444444,0.844444444444444,1.02,0,0.380952380952381,0.333333333333333,0
"3",0,0,0,0,0,0,0,0,0,0,0,0
"4",1,1,0,0,1,0,1,0.34,0,0.260869565217391,0,0
"5",36,0.111111111111111,0.166666666666667,0.193548387096774,0.305555555555556,0.32258064516129,0.628136200716846,2.444,0.533333333333333,0.309133489461358,0.166666666666667,0
"6",67,0.0298507462686567,0.117647058823529,0.278688524590164,0.323076923076923,0.442622950819672,0.765699873896595,7.98,0.537037037037037,0.344199424736337,0.235294117647059,0
"7",3,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.304,0.611111111111111,0.299554565701559,0,0
"8",78,0.0641025641025641,0.166666666666667,0.260869565217391,0.32,0.463768115942029,0.783768115942029,9.23,0.2,0.302702702702703,0.277777777777778,0
"9",80,0.0375,0.0434782608695652,0.306666666666667,0.341772151898734,0.413333333333333,0.755105485232068,9.008,0.578947368421053,0.330567081604426,0.217391304347826,0
"10",36,0.0555555555555556,0,0.1875,0.235294117647059,0.28125,0.516544117647059,1.746,0.611111111111111,0.319201995012469,0.166666666666667,0.166666666666667
"11",56,0.142857142857143,0.0769230769230769,0.288888888888889,0.388888888888889,0.4,0.788888888888889,7.956,1,0.309178743961353,0.153846153846154,0
"12",101,0.148514851485149,0.04,0.294117647058824,0.396039603960396,0.388235294117647,0.784274898078043,13.38,0.8,0.37233259749816,0.2,0
"13",71,0.0140845070422535,0,0.253731343283582,0.285714285714286,0.313432835820896,0.599147121535181,5.526,0.636363636363636,0.332332332332332,0.117647058823529,0.0588235294117647
"14",53,0.0754716981132075,0,0.260869565217391,0.313725490196078,0.304347826086957,0.618073316283035,4.286,0.5,0.267123287671233,0.166666666666667,0
"15",0,0,0,0,0,0,0,0,0,0,0,0
"16",67,0.134328358208955,0,0.218181818181818,0.338461538461538,0.254545454545455,0.593006993006993,6.114,0.699029126213592,0.335581787521079,0.166666666666667,0
"17",65,0.153846153846154,0.0526315789473684,0.365384615384615,0.484375,0.442307692307692,0.926682692307692,11.36,0,0.330357142857143,0.0526315789473684,0
"18",0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0
"20",99,0.0808080808080808,0.115384615384615,0.295454545454545,0.36734693877551,0.454545454545455,0.821892393320965,13.818,0.671232876712329,0.322045152722444,0.192307692307692,0
"21",1,0,0,0,1,0,1,0.34,0,0.373913043478261,0,0
"22",23,0.0434782608695652,0.142857142857143,0.333333333333333,0.347826086956522,0.476190476190476,0.824016563146998,3.758,0.653846153846154,0.343940419769804,0,0
"23",5,0,0,0,0,0,0,-0.458,0,0.265193370165746,0,0
"24",8,0,0,0,0,0,0,-1.476,0,0,0,0
"25",9,0.222222222222222,0,0,0.222222222222222,0,0.222222222222222,0.042,0.65,0.282828282828283,0,0
"26",7,0,0,0.166666666666667,0.285714285714286,0.166666666666667,0.452380952380952,0.374,0,0.34375,0,0
"27",24,0,0,0.1,0.142857142857143,0.1,0.242857142857143,-0.216,0,0.206896551724138,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0
"31",34,0.0588235294117647,0,0.258064516129032,0.303030303030303,0.419354838709677,0.72238514173998,3.196,0.285714285714286,0.317708333333333,0.125,0.25
"32",11,0,0.333333333333333,0.3,0.3,0.6,0.9,1.81,0,0.153846153846154,0,0
"33",17,0.0588235294117647,0,0.3125,0.352941176470588,0.4375,0.790441176470588,2.242,0,0.284584980237154,0.4,0
"34",2,0,0,0.5,0.5,0.5,1,0.09,0.428571428571429,0.287037037037037,0,0
"35",55,0.0909090909090909,0.0625,0.333333333333333,0.39622641509434,0.458333333333333,0.854559748427673,9.2,0.741071428571429,0.344637223974763,0.0625,0.0625
"36",13,0,0,0.230769230769231,0.230769230769231,0.461538461538462,0.692307692307692,1.344,0.611111111111111,0.333767926988266,0.333333333333333,0.333333333333333
"37",5,0,0,0,0,0,0,-0.278,0.844827586206897,0.296754250386399,0,0
"38",83,0.072289156626506,0.111111111111111,0.350649350649351,0.397590361445783,0.571428571428571,0.969018932874355,14.412,0.769230769230769,0.326923076923077,0.296296296296296,0
"39",8,0,0,0.375,0.375,0.5,0.875,1.246,0.641025641025641,0.334042553191489,0.333333333333333,0
"40",0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0
"42",99,0.0404040404040404,0.0384615384615385,0.279569892473118,0.313131313131313,0.408602150537634,0.721733463668948,9.966,0.707317073170732,0.346730245231608,0.269230769230769,0.0384615384615385
"43",93,0.0860215053763441,0.16,0.304878048780488,0.376344086021505,0.51219512195122,0.888539207972725,15.196,0.666666666666667,0.284823284823285,0.2,0
"44",31,0.032258064516129,0,0.222222222222222,0.266666666666667,0.259259259259259,0.525925925925926,1.918,1,0.268221574344023,0.166666666666667,0
"45",62,0.17741935483871,0,0.215686274509804,0.354838709677419,0.274509803921569,0.629348513598988,5.644,1,0.275862068965517,0.272727272727273,0
"46",38,0.131578947368421,0,0.151515151515152,0.263157894736842,0.151515151515152,0.414673046251994,1.23,1,0.275862068965517,0,0
"47",36,0.0555555555555556,0.125,0.25,0.333333333333333,0.40625,0.739583333333333,4.376,0.642857142857143,0.358974358974359,0.25,0
"48",33,0.121212121212121,0.375,0.285714285714286,0.393939393939394,0.642857142857143,1.03679653679654,7.064,0.666666666666667,0.355595667870036,0.125,0
"49",92,0.119565217391304,0.181818181818182,0.275,0.369565217391304,0.4625,0.832065217391304,13.486,0.333333333333333,0.260053619302949,0.136363636363636,0
"50",4,0,0,0,0,0,0,-0.376,0.333333333333333,0.205882352941176,0,0
"51",57,0.175438596491228,0.0666666666666667,0.333333333333333,0.456140350877193,0.488888888888889,0.945029239766082,10.524,0.636363636363636,0.311444652908068,0.266666666666667,0
"52",54,0.111111111111111,0.25,0.166666666666667,0.259259259259259,0.3125,0.571759259259259,4.256,0.5,0.283333333333333,0.125,0
"53",40,0.05,0.1,0.277777777777778,0.35,0.416666666666667,0.766666666666667,4.926,0,0.444444444444444,0.2,0
"54",0,0,0,0,0,0,0,0,0,0,0,0
"55",7,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,-0.216,0.675,0.308988764044944,0,0
"56",16,0.125,0,0.285714285714286,0.375,0.285714285714286,0.660714285714286,1.984,0.759259259259259,0.309893704006541,0,0
"57",16,0,0.25,0.25,0.25,0.5,0.75,2.04,0.75,0.26865671641791,0.25,0
"58",8,0.125,0,0,0.125,0,0.125,-0.634,0.631578947368421,0.387832699619772,0,0
"59",89,0.0786516853932584,0.263157894736842,0.231707317073171,0.292134831460674,0.439024390243902,0.731159221704577,9.388,0,0.249027237354086,0.105263157894737,0
"60",66,0.106060606060606,0,0.241379310344828,0.323076923076923,0.327586206896552,0.650663129973475,5.404,0.5,0.304424778761062,0.357142857142857,0
"61",81,0.0864197530864197,0.285714285714286,0.197183098591549,0.271604938271605,0.366197183098592,0.637802121370197,6.872,0,0.236363636363636,0,0
"62",92,0.130434782608696,0.125,0.311688311688312,0.41304347826087,0.519480519480519,0.932523997741389,15.39,0.571428571428571,0.321349963316214,0.291666666666667,0
"63",107,0.14018691588785,0,0.285714285714286,0.386792452830189,0.318681318681319,0.705473771511507,13.678,0.714285714285714,0.351990049751244,0.115384615384615,0
"64",100,0.1,0.121212121212121,0.379310344827586,0.45,0.540229885057471,0.990229885057471,19.624,0.666666666666667,0.336963097398669,0.0606060606060606,0
"65",6,0,0,0.5,0.5,0.666666666666667,1.16666666666667,1.442,0,0.583333333333333,0.333333333333333,0
"66",2,0,0,0.5,0.5,0.5,1,0.41,0,0.266666666666667,0,0
"67",3,0,0,0,0,0,0,-0.278,1,0.305699481865285,0,0
"68",64,0.0625,0.0909090909090909,0.192982456140351,0.238095238095238,0.315789473684211,0.553884711779449,4.532,1,0.270833333333333,0.363636363636364,0
"69",20,0.05,0,0.263157894736842,0.3,0.473684210526316,0.773684210526316,2.52,0.692307692307692,0.342391304347826,0.4,0.2
"70",75,0.0266666666666667,0.0625,0.228571428571429,0.26027397260274,0.3,0.56027397260274,5.662,0.7,0.304511278195489,0.125,0
"71",3,0,0,0.666666666666667,0.666666666666667,0.666666666666667,1.33333333333333,1.09,0.571428571428571,0.282051282051282,0,0
"72",53,0.0943396226415094,0.142857142857143,0.148936170212766,0.245283018867925,0.25531914893617,0.500602167804095,1.826,0.5,0.246031746031746,0.285714285714286,0
"73",45,0.0666666666666667,0,0.228571428571429,0.3,0.257142857142857,0.557142857142857,3.572,0,0.268817204301075,0.125,0
"74",18,0.0555555555555556,0,0.294117647058824,0.333333333333333,0.294117647058824,0.627450980392157,1.752,0.5,0.345211581291759,0,0
"75",96,0.15625,0.142857142857143,0.354430379746835,0.458333333333333,0.544303797468354,1.00263713080169,17.94,0.4,0.343789209535759,0.107142857142857,0
"76",0,0,0,0,0,0,0,0,0,0,0,0
"77",39,0.0512820512820513,0,0.222222222222222,0.282051282051282,0.222222222222222,0.504273504273504,2.436,0.75,0.309713375796178,0,0
"78",78,0.0641025641025641,0.105263157894737,0.267605633802817,0.324675324675325,0.366197183098592,0.690872507773916,7.936,0.579545454545455,0.353068592057762,0.0526315789473684,0
